Name,Address,Telephone
Bridge Education Hetauda,"Hetauda-4, School Road,","9855014172,,"
Scholarkeys,"Pinglasthan, gausala,","9802320803,9802320803,"
Chaitanya Instutitue of Management,"Chaitanya CA Aryan Complex Shankhamul, New Baneshwor Kathmandu, Nepal,","+977-1-478171447824274787235,9851146100,"
Nascent Education Foundation,"Ghantaghar, Link Road, Birgunj,","051-527522071-525028,9806881742,"
Management Notes,"Shantinagar,","9868444365,9868444365,"
Platform Education Foundation,"Bagbazar,kathmandu,","+977 01-4241520,,"
RojekoKhojeko.com,"kathmandu,Tinkune,","9801079609,,"
New Summit College,"Shantinagar Gate, Tinkune, Kathmandu,","014620522,,"
Readmore Edubridge,"Putalisadak Kathmandu,Nepal,","01-4215003,,"
Vibrant education and migration services,"Sorakhutte Kathmandu beside NIC Asia bank,","+977 01 4972690,,"
Logic Education,"Putaliline Dharan Sunsari,","9807085109,9807085109,"
IDP Education Student Services Nepal Pvt. Ltd,"Hattisar, Kathmandu-1, Nepal,","+977-01-4217400,,"
Nepal Entrance,"Kalopul,","9849748711,,"
ADVISORY CENTRE FOR INTERNATIONAL EDUCATION,"Putalisadak,","9801117641,,"
