Name,Address,Telephone
Environmental Camps for Conservation Awareness (ECCA Nepal),"Kupondole, P.O. Box: 9210, Ktm,","00977-1-55504525553870,,"
S. W. Nepal Pvt. Ltd.,"89 Krishna Dhara Marga Maharajgunj, Kathmandu, Nepal,","4411156,9813983367,"
Gham Power,"Gairidhara,","00977-1-40045454004550+977-1-4721486,,"
Golyan Group,"Mills Area,","522790525829525271+977 1 4671200,,"
Khetan Group,"GPO Box: 6156,","+977-1-4446400+977-1-4446401+977-1-4446402,,"
Crystal Eye Pvt Ltd,"Butwal-10, Kalikanagar, Rupandehi ,","9857023662,9851103943,"
Himal Trade Link Pvt. Ltd.,"lalitpur, Satdobato,","015553931,9805226000,"
Thermal Engineering,"Ghodaghodi Municipality, Sukhad Kailali Nepal,","9865650656,9800685535,"
Green Power,"Jorpati-03,","01-4910370,9851006159,"
Allied Power Engineering,"Hetauda Industrial District, Hetauda-8, Makawanpur,","+977-57-413022,+9779802929349,"
Mata Astha Laxmi Ele. & Ele. Supp. P. Ltd.,"Jorpati-01,","01-4910370,9851006159,"
First General Technology Inc.,"No.6,Shin-Ai Rd.,,","88662632460,88662632460,"
Kirloskar Generators Sterling Sales Co. Pvt. Ltd.,"Naxal, Kathmandu,","00977-9801333777 / 9721337777,00977-1-4443952,"
Alternative Concern pvt ltd,"kirtipur, kathmandu nepal,","9849726572,98497265729803820008,"
ecoprise - SOLAR,"3 - Basundhara , Kathmandu, Nepal,","4356592,98020650649801165067,"
Ganapati manufacturing company pvt.ltd.,"Sitapaila,","unknown,+977-985-1112819,"
Prime Multipurpose Services Pvt. Ltd.,"Srijanachowk,","unknown,98251535049825153505,"
Electronics and Solar Energy,"Suryabinayak Municipality - 4, Dadhikot, Bhaktapur,","01-6630468,9841796380,"
Himal Engineering And Power Concern,"Udayapur,","+9779852835025,+9779852835025,"
JAY BHAWANI VIDYUT UDYOG PVT LTD,"Birgunj,","+9779811886638,9811886638,"
Aarambha Energy and Electronics,"Satdobato-15, Lalitpur,","977-01-5533771,9851088010,"
Renewable Nepal Alternative Energy,"Sano Bharyang, Swayambhu,","01-428311801-4282198,,"
Roshni Lamp Industries Pvt. Ltd.,"Patan Industrial Estate,","00977-1-42230685535814,,"
Shree Asian Pipe And Polymers Udhyog,"Balaju Industrial District,","4365257,9851021211,"
Subha Engineering & Aircon Pvt. Ltd.,"Sanepa, Ringroad, Lalitpur,","00977-1-444595044459492297009,98412671009851065260,"
Ultra Energy Trading,"Gaushala,Battisputali (Infront of Dwarika's Hotel),","01-4497261,9851097261,"
Carp Concern,"Kalaiya,Bara,Nepal,","053551496,9845313151,"
Enventa Power Technologies Pvt.Ltd.,"F 399 sector 63,","+919205029545,+919205029545,"
KESHARICHAND BHANWARLALL,"Near Radharaman Temple, Bargachhi,","+977-21-461127+977-21-463471,,"
Telekala Saurya Urja,"Damak, Jhapa,","+97779852675117,+9779814916117,"
Bhuwal insulation cable pvt ltd,"Survey no 1072, 1423, 1437 Coastal highway, Dehari Road Village Dehari, Umbergaon 396170, Gujarat.,","66595907,9930028010,"
Clean Homes Investment,"Sano Bharyang, Kathmandu, Nepal,","014673198,9801134052,"
Mahalaxmi power interprises,"mahalaxmi 2 lalitpur imadol,","unknown,9851166928,"
Mahalaxmi Power Enterprises,"Imadole-6 , Lalitpur,","01-5203435,9851166928,"
Nepal Power Solution (P) Ltd,"Palpasa road hetauda and sanepa lalitpur ,","0097757526606015530098012299766,009779855067760,"
Shubham Power,"Kalanki,","00977-1-4316101,9851143616,"
Atom Energy Pvt. Ltd.,"Fewa Marga shantinagar chowk ,","061531030,9856027505,"
K.B Elex Pvt. Ltd,"Mujeliya-14,","041-527103522272,9815877166,"
Pal Engineering Trade Center,"Satdobato-Ringroad,","+977-1-5521541+977-1-5521234,+977-9851059302,"
THE WAVES GROUPS TRADING PVT. LTD.,"Kapurdhara Marg 140, Lainchaur,","442726444104234410435,,"
ULTRA SOLAR ENERGY,"Naikap 6 Kathmandu,","977 1 4316070431339843017214301722,9851000117,"
Adrina Trader's Kumari Bagh,"Bauniyan VDC 8 Simri Kailali Nepal.,","unknown,9848442358,"
Everest Solar Water Heater Industry,"Baluwatar,","00977-1-442399698510708524033896,9851070852,"
NORTH ENGINEERING COMPANY PVT. LTD.,"Kalikapath, Butwal,","+977-71-550181,,"
International Green Developers Nepal,"Jagati, Bhaktapur Nepal,","01-5122026,,"
Panchakanya Group,"Krishnagalli, Lalitpur,","5526551,,"
PATIL ENGINEERING,"Naxal-Bhatbhateni,","9801333777,9818450800,"
SHEIKH ENTERPRISES,"Opp. to Satghumti Road, Dharan Road , Shiv Mandir Chowk Biratnagar-7 Morang Nepal,","+977-9807043392,+977-9852029370,"
Parasnath traders,"Newroad pako, 22,","9864692254,9619548452,"
INNOVATIVE CREATEERS ARCHITECTS AND ENGINEERS PVT. LTD.,"Jyatha,","4249290,,"
M.A.W. Engineering Pvt. Ltd.,"Tripura Marg,","+977-1-4268253,,"
FUTURE POWER ENERGIES,A-369 GANESH NAGAR,"unknown,,"
Maitri Hanuman Brick Factory,"Jagati,","01-6540769,9801107788,"
P & P Suppliers,"baneswor,","015145098,9851140408,"
RSE Watercare Pvt Ltd,"Maitighar, Kthamndu,","00977 - 1-4259529,0097779813284041,"
SHANTI ENGINEERING WORKS,"Newroad 8 Pokhara Nepal,","061-521305,9856022418,"
Unity Decor & Craft Pvt. Ltd.,"Koteswor,","00977-1-5147180,9851047959,"
Indo Swiss Electricals and Enterprises,"No : 24 (Old No: 106), Armenian Street,,","91- 44 - 42161136,+91 - 9500005505,"
Namuna Biomass Pvt. Ltd.,"Nagarban road, Bharatpur-4, Chitwan,","056-570281,9845674531,"
NEKO Energy Solution,"Anamnagar,","01 4224803,9851168210,"
PCE Instruments UK Ltd,"Units 12/13 Southpoint Business Park Ensign Way, Southampton Hampshire,","0033972353717,0033972353717,"
ATC Solar Industries,"Teku, P.O. Box: 3691, Ktm,","00977-1-42612204262220,,"
Centre for Rural Technology Nepal,"GPO: 3628, Ktm, Tripureshwor,","42601654256819,,"
