Name,Address,Telephone
Folliderm Hair Transplant Clinic,"Baluwatar,","01-4443443985-1110443,9851110443,"
KA HAIR DRESSING SALON,"HOTEL NARAYANI COMPLEX, PULCHOWK,","01-5528848,,"
Barahi Beauty Salon,"13th Street, Barahi Path, Pokhara-6, Lakeside,","97761464260,,"
Anova Skin & Hair Clinic,"Sumeru City Hospital Road Lalitpur, Nepal,","+977 015538323,9851149709,"
KiKi Beauty Salon & Skin Care,"Chabahil,","9779813955243,,"
Makeover beauty salon,"ganeshthan,","011-691270,9843531990,"
Siam Hair Cutting School,"kandevatasthan,kupondole,","+977-1-5423647,,"
Femine Beauty Home and Training Center,"Adarshnagar Main road beside Makhan bhog,","+977-51-530583,+977-9806828841,"
Hair Coat,kathmandu,"+88028920921,+8801715460528,"
Easy Cuts Hair & Beauty,"Chandol: 9818178447, Chabahil: 9818178448, Gyaneshwor: 9818178451, Golfutar: 9818178452,","Chandol: 9818178447Chabahil: 9818178448Gyaneshwor: 9818178451Golfutar: 9818178452,,"
K33 HAIRHOTEL PVT. LTD.,"Koteshwor,","46022074600308,,"
Easy Hair Centre,"Sinamangal, P.O. Box: 20397, Ktm,","00977-1-9851067540,,"
K33 Hairhotel,"Koteshwor, P.O. Box: 23534, Ktm,","00977-1-460220746003084602209,,"
K33 Hairhotel,"Ranipouwa,","541480,,"
Annapurna Sales International,"Jhochhen, P.O. Box: 7839, Ktm,","00977-1-42408214224277,,"
EASYHAIR CENTER PVT. LTD.,"Sinamangal,","448809220620784488233,,"
K33 Hairhotel (P.) Ltd.,"GPO: 14248, Ktm, Koteshwor,","44990039851023939,,"
Shakti Business House,"Lainchaur,","00977-1-4423328,,"
Bliss ir & Beauty Salon,"Naxal,","00977-1-4433396,00977-9841349177,"
KA Hairdressing Salon,"Pulchowk, P.O. Box: 1357, Ktm,","00977-1-55288489803396779,,"
Oshan Hair & Beauty Saloong,"Golphutar,","00977-1-4376837,,"
Protein Hair Design Kathmandu Pvt. Ltd.,"Sinamangal,","00977-1-41107339851067540,,"
The Habibs Hair & Beauty Saloon,"Kupondol,","00977-1-5553377,,"
GORAKH COSMETICS CLINIC,"Anamnagar,","2001381,,"
Gorkha Cosmetic Clinic,"Anamnagar,","00977-1-2001381,,"
Fashion'z,"New Road,","00977-1-9803221757,00977-9841081838,"
Habibs Hair & Beauty Academy,"Kamaladi,","00977-1-42404312004045,,"
Himalayan Hair Care Center,"Bangemudha, P.O. Box: 10261, Ktm,","00977-1-42296639851031560,,"
HIMALAYAN HAIR CARE CENTRE,"Bangemuda,","42296639851031560,,"
NeelDavid's Saloon & Academy,"The Kathmandu Mall,","00977-1-4150058,,"
NeelDavid's Saloon & Academy,"New Baneshwor,","00977-1-2004543,,"
Shear Genius Barber Shop & Beauty Home,"Boudha,","00977-1-9721406238,,"
