Name,Address,Telephone
S&S Logistic Pvt. LTD.,"Uttar Dhoka, Kholagal Marga, Kathmandu, Nepal,","+977 1 4424668+977 1 4416965,+977 9851067192,"
CHITWAN GOODS CARRIER,"nepalganj, manikapur -20,banke,","081550384,9808031705,"
TRANS HIMALAYAN EXPRESS PVT.LTD.,"Putalisadak,","+9771 44321074435513,985102061398510435695,"
Kathmandu Car Services,"Rani Devi Marg, Lazimpat Road","+97714002108,+9779851036473,"
Upaya: City Cargo,"Bluestar Complex, Thapathali,","9881098830,9881098830,"
PASHUPATI ROAD CARRIER NEPAL PVT. LTD.,"Kantipath,","+977 1-5357116+977 1-40391246+977 1- 40391245+977 1-40391247,,"
Nepal Road Carrier,"Bus Park Road,","+977 81-531281,+977-985-8040456,"
SEA SKY CARGO SERVICE,"ward no 26, dolahiti,sunakothi, lalitpur,kathmandu,Nepal,","97715570460,977 98510126,"
Vehicle Consult Pvt. Ltd.,"Biratnagar, Pipal Chowk,","9851166880,9851166880,"
BHAIRAB CARRIERS PVT. LTD.,"Adarshnagar-13, Birgunj,","522362522191,,"
HIMALAYAN TRANSPORT COMPANY PVT. LTD.,"Swyambhu,","014281857014036228,98510328579751032857,"
SHIVA SHAKTI DHUWANI SEWA,"P79Q+V93, Chakrapath,","+977-1-4273733,,"
JAYA SHREE GANAPATI TRANSPORT,"Nepalgunj Road,","014036228014281857,9801032857,"
AMLESHWOR TRANSPORT,"Swayambhu,","42855444270002,,"
DOOARS CARRIERS,"Bhotebahal,","4255654,,"
INDIAN ROADWAYS CORPORATION LTD.,"Khichapokhari,","42495024249786,,"
INDO NEPAL ROADWAYS PVT. LTD.,"Dharmapath,","2030251,,"
INTERSTATE MULTI-MODAL TRANSPORT PVT.LTD.,"Soalteemode,","42714734271987,,"
LAXMI USHA TRANSPORT CO.PVT. LTD.,"Khichapokhari,","42500474252912,,"
SHREE VIKRANT ROADWAYS,"Khichapokhari,","42500474252912,,"
KATHMANDU TRANSPORT,"Sanepa, Lalitpur","55252775545418,,"
NATIONAL TRANSIT AND CLEARING COMPANY,"New Baneshwor,","44979099851032810,,"
SURAKSHIT PARIVAHAN,"Teku,","42694694262121,,"
KALPATARU CARRIERS,"Ganabahal,","42497304249595,,"
KARNALI TRANSPORT,"Ganabahal,","+977 1-4275891,,"
EAST INDIA TRANSPORT AGENCY,"Khichapokhari,","42239544470031,,"
HEERA CARRIERS (NEPAL) PVT.LTD.,"Sundhara,","4223983,,"
HIMALAYAN OFFSHORE CARRIERS,"Kathmandu,","4213324,,"
M.R. CARRIERS PVT. LTD.,"Balkhu,","4670371,,"
NEW PASHUPATI ROAD CARRIERS,"Sundhara,","42588084258809,,"
SHANGRI-LA CARRIERS,"Balkhu,","42717754274060,,"
SHIPPING NEPAL PVT. LTD.,"Tahachal,","42735214273522,,"
SHIV SAGAR TRANSPORT (NEPAL),"Bhotebahal,","42465974246958,,"
SHREE NAGAR TRANSPORT,"Makhan, Palpa","520088520237,,"
SKY ROAD CARRIERS PVT. TD.,"New Road,","4220351,,"
ABC NEPAL PVT. LTD.,"Main Road,","520270520970,,"
ABC TRANSPORT,"Bhrikuti Chowk,","521684,,"
ABHISEK TRANSPORT CO. PVT. LTD.,"Main Road,","520855,,"
A.B. TRANSPORT,"Bhimsensthan,","4266685,,"
ADARSHA TRANSPORT PVT.LTD.,"Adarshnagar,","522718,,"
ANNAPURNA TRANSPORT PVT. LTD.,"Ganabahal,","4213804,,"
