Name,Address,Telephone
Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu,","5538687,9801074963,"
Naxalaya Pvt. Ltd.,"Jhamshikhel chowk,","05527517+977 14416543,9849102008,"
Thermal Engineering,"Ghodaghodi Municipality, Sukhad Kailali Nepal,","9865650656,9800685535,"
Contech Concrete,"Satungal 2, Kathmandu,","97716200400,,"
North Engineering Company P Ltd,"Maina Nagar,","071-5501819857020664,98570341819857034182,"
AB'S ENGINEERING CONSULTANCY PVT. LTD.,"Mahendra Pool,","(977) (61) -537300536377,9856022049,"
NORTH ENGINEERING COMPANY PVT. LTD.,"Kalikapath, Butwal,","+977-71-550181,,"
International Green Developers Nepal,"Jagati, Bhaktapur Nepal,","01-5122026,,"
EAST CONSULT PVT. LTD.,"Lazimpat,","4412062,,"
Narayani Groups,"Baseni, Bharatpur, Chitwan, Nepal,","+97756523406+97756520842,,"
INNOVATIVE CREATEERS ARCHITECTS AND ENGINEERS PVT. LTD.,"Jyatha,","4249290,,"
Enginagar Construction Pvt. Ltd.,"Dhumbaharai,","014541644,,"
ZEBA LABS,"Ward No.11,Babbarmahal, Opp.Tax Office, Kathmandu,,","+977 980 204 4440,,"
GENESIS CONSULTANCY PVT. LTD.,"Baneshwor,","44739234476182,,"
INTEGRATED CONSULTANTS NEPAL PVT.LTD.,"Baneshwor,","44709334499897,,"
NATIONAL DRILLING COMPANY PVT. LTD.,"Maharajgunj ,Kathmandu, Nepal,","977-1-4016148977-1-4016198,98510238679851038236,"
DIVERSE ENGINEERING CONSULTANCY PVT. LTD.,"Kalimati,","9803017968,9860187392,"
AUTO CARTO CONSULT PVT. LTD.,"New Baneshwor,","44658814473923,,"
BDA NEPAL PVT. LTD.,"Patan Dhoka, Lalitpur","55342215523277,,"
BULDING DESIGN AUTHORITY,"Kamaladi,","42273934248200,,"
CONSOLIDATED MANAGEMENT SERVICES PVT.LTD.,"Minbhawan,","44822014493664,,"
COSMIC ELECTRICAL ENG. ASSOCIATES PVT. LTD.,"Kathmandu,","4287602,,"
GEOCE CONSULTANTS PVT. LTD.,"Sanepa, Lalitpur","55455425521175,,"
GEOSURVEY-SCIENTIFIC CONCERN,"Kupandole, Lalitpur","55417229851124013,,"
ITECO NEPAL PVT. LTD.,"Minbhawan,","4493764,,"
K.D. ASSOCIATES PVT. LTD.,"Jyatha,","42153404215341,,"
MRB AND ASSOCIATES PVT. LTD.,"Jamal,","42248024243532,,"
MULTI DISCIPLINARY CONSULTANTS PVT. LTD.,Lalitpur,"55293045525076,,"
NEPAL CONSULT PVT. LTD.,Lalitpur,"55243795536827,,"
