Name,Address,Telephone
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
Gold Mountain Nepal Treks & Expedition Pvt. Ltd,"Kathmandu, Nepal,","+9779849454553,+977-9849454553,"
Nepal Spiritual Trekking P ltd,"Thamel,","9779841928192,9779841928192,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
Kedia Organisation,"Alakhiya Road, P.O. Box: 50, Birgunj,","520077520078522297+977-01-5970708,,"
Lucky Group,"Tripureshwor, P.O. Box: 2337, Ktm,","00977-1-42608784260785+977 -1-4117249,,"
Himalayan Recreation Treks & Expedition Pvt. ltd,"kathmandu NEPAL,","97714388009,9779851101413,"
GARIMA BIKAS BANK LTD.,"Syanja,","440015+977 01-4445424,,"
City Express Money Transfer Pvt. Ltd.,"Ghantaghar, P.O. Box: 15142 KPC 171,","00977-1-423190042334264233812,,"
IME,"Kantipath,","42300744219467+977-1421-7600,,"
Vishal Group,"Khichapokhari, P.O. Box: 3127, Ktm,","00977-1-4220963424157201-5111104,,"
Everest Bank Ltd.,"Duhabi,","540628540627+977 01-4443377,,"
Nepal Bangladesh Bank Ltd.,"New Baneshwor, P.O. Box: 9062, Ktm,","00977-1-478397247839754783976+977-01-4233780,,"
Golyan Group,"Mills Area,","522790525829525271+977 1 4671200,,"
Khetan Group,"GPO Box: 6156,","+977-1-4446400+977-1-4446401+977-1-4446402,,"
Nabil Bank Ltd.,"Adarsh Nagar,","521476521746+977-1-5970015,,"
Durga Beej Bhandar,"Chhireshwornath-5, Dhanusha, Nepal,","041-540238,98078249639844021145,"
GOMATI SANITARY,"#28, Sungava Marg, Bhotebahal, Kathmandu.,","+97714100020,+9779801101350,"
Arun Smart Interactive Services,"Shantinagar-4, Nepal,","9844431480,9844431480,"
Hamro Store (p) Ltd.,"Chapagaun-6, Lalitpur,","01-5230407,9851188334,"
Unnatisilks Prints Pvt. Ltd.,"Lekhnath Marg, Kathmandu, Nepal,","9797005774,9797005774,"
Simrik Real Nepal Treks & Expedition (P) Ltd,"thamel, z-street,","+977-1-4700857,009779849430866,"
Jamb Holdings Inc.,"Thapathali,","00977-1-41015354101551,,"
Monalisa Exclusive Textiles,"Indrachowk, P.O. Box: 8959, Ktm,","00977-1-4220271,,"
wholesalenepal Pvt Ltd WSN group,"PO Box 8974 - CPC 552,","4418151,9818677422,"
Mt. Everest Honey Concern,"Lazimpat-2, kathmaudu,","01-4005229,9818081815,"
Smart It Trading,"New Baneshwor,Kathmandu,","9801333350,9823460751,"
Thermal Engineering,"Ghodaghodi Municipality, Sukhad Kailali Nepal,","9865650656,9800685535,"
Samyak International Pvt Ltd,"Bhaktapur,","unknown,9849825407,"
GOPAL HARDWARE,"Main Road Opposite NIC Asia Bank, Biratnagar Branch Beside Ward Police Office,","+977-21-524497,98027001379852020957,"
Bishnu-Laxmi Concern,"Aloknagar Marg, Kathmandu, Nepal,","01-4106898,9841355155,"
Bag/Suitcase Repair,"Thimi, Dakshinbarahi marg, Bhaktapur ,","9851097552,9851097552,"
B.R.B. Management Service Pvt. Ltd.,"Mahadevsthan Marga-32, Koteshwor,","01-4600105,9849027448,"
Butwal automobile(butwal krishi yantra ghar),"butwal-5 , pulchowk , rupandehi,","071550196,9857033906,"
Siddhi Ratna Bhada Pasal,"Tichhu Galli, Lalitpur - 19, Nepal,","015531227,984157067498089013229813057360,"
Vision World,"C/o Ramit Emporium,Gaighat-2,","+97735420233,+9779852830280,"
Vision engineering consultants,"ITAHARI 20,","9814358885,9862133755,"
About Nepal Treks,"Thamel,","9841100123,9841100123,"
Gandaki Village Trekking and Travel (P) Ltd.,"Paknajol marg-16, Hotel Dream City buliding,","+9779849683092,,"
NEMAXNEPAL,"Bharatpur-14,","+9779840365104,,"
Vicky Stationers,"Bhedasingh,","00977-1-42215014244299,9851060602,"
Goodwill Consult,"Dhobidhara Marg Near Kumari Cinema,","977014420764,977014420764,"
Hari Om Bal Mukundaya Nama: Real Estate,"Chundevi Temple, Baluwatar-4, Maharajgunj,","+977 1 4721466+977 1 4721447,9849897245,"
Silkroad Investment & Trading P. Ltd,"Newroad-22, Sankata Tebahal,","977-1-5713705,9851004802,"
Wholesale Asia,"GPO 8974 - CPC 552,","97714418151,9818677491,"
WSN (business listing) Wholesalenepal group,"720 Thamel Marg ,","44181514417647,9818677422,"
Biz Serve Pvt. Ltd.,"6th Floor, Sunrise Biz Park, Dillibazar,","014413535,,"
KHADKA HARDWARE CONCERN PVT.LTD,"BASUNDHARA,","01 4357727,9860107531,"
Motion Traders,"Jagati,","9841134915,9851330385,"
Nepifieds,"New road,","9811157797,9811157797,"
SP Consult,"Ratnanagar-1, Tandi, Nepal,","unknown,9845832440,"
Wholesalers in Kathmandu,"720 Thamel Marg,","97714418151,9818677422,"
Anuyant Traders,"GR Garden, Greater Noida West UP","+91 7500432378,+91 7500432378,"
Hobb Creation Industries,"Buddhanagar, Kathmandu, Nepal,","(977) 014783422,,"
BG SBLC OFFERS FOR LEASE AND SALES,"London, UK,","447546769978,,"
DAKSHINKALI TAR JALI & METAL WORKS,"balaju,","98511832339851169551,9851183233,"
