Name,Address,Telephone
G.A Builders (P.) Ltd. (Former G.A. Smart Housing),"Lamingtan Marg, Kathmandu 44600,","+977-1-4537766,,"
Medha Builders Pvt.Ltd,"kathmandu , Nepal, sankhumul,","0144786657,9851148723 / 9803545818,"
Amatya Tar Jali and Steel Fabricator,"P8RJ+F9W, Chakrapath,","+977-1-4387227,+977 9851090155+977 9801090155,"
Gujarat Apollo Industries LTD,"pokhara (Ahmedabad Gujarat),","+91 79 26444598,+91 9998607794,"
Dakshinkali Tar Jaali and Metal Works,"BALAJU,","9851169551,98511695519849739313,"
Nepal Adarsha Nirman Co. Pvt. Ltd.,"Kuleshwor, P.O. Box: 5759, Ktm,","00977-1-42786254811612,,"
Nepali Homework,"New Bansehwor, Kathmandu, Nepal,","9800088332,9800088332,"
Panchakanya Group,"Krishnagalli, Lalitpur,","5526551,,"
Sunrise Designers and Engineering Constructions Pvt. Ltd.,"Newroad,","unknown,,"
Jay Bajrang construction,"Bafal-13, Kathmandu,","9801000550,9801083664,"
VemaTRACK,"Kathmandu,","7022789591,7022789591,"
Shree bajra barahi itta udhyog,"Chapagaun; depo:nakhipot,","9851038053,,"
Yala Dhoka Enterprises,"Jwagal, Lalitpur,","01-5556033,+977-9841860635,"
Apex Construction Company Pvt. Ltd.,"Kamaladi-28,","+977-1-4475693,+977-9818322854,"
M.A.W. Engineering Pvt. Ltd.,"Tripura Marg,","+977-1-4268253,,"
Rajesh Hardwares,"2nd Floor, Bagmati Chambers, Teku, Tipureshwor,","01-4100152/4100153,9849208116,"
JSS Aluminum Suppliers,"Teku road,","014247923014254791,9841910496,"
Continental Trading Enterprises Pvt. Ltd.,"KIA Plaza, Tinkune, GPO Box 4016,","977 1 4111616,,"
Total Station,"Banasthali,Kathmandu,","9841805187,9841805187,"
UNIPAVE ENGINEERING PRODUCTS,"Ahraiwadi, Ahmedabad","91-79-2287098422870806,,"
Auto-Electro-Mech Pvt. Ltd.,"Balkumari, Lalitpur, Nepal,","00977-1-500607398511034339851103436,9851103436,"
National Structure & Engineering (P) Ltd.,"Lagankhel, P.O. Box: 20157, Ltp,","00977-1-55214055542393,,"
ARATI AND COMPANY,"Maharajgunj,","47210144720109,,"
Asian International Link (P) Ltd.,"Kupondole, P.O. Box: 20363, Ktm,","00977-1-554524255386559851020629,,"
EMERALD POOLS (A DIVISON OF EKALABYYA ENTERPRISES),"Rajdanga, Kolkata","91-33-241579739830026886,,"
Gyani International,"Pulchowk, P.O. Box: 8975 EPC 1421,","00977-1-5521335,,"
India Gypsum Ltd.,"Tinkune,","00977-1-44939604494445,,"
Jagadamba Steels (Pvt.) Ltd. / Jagadamba Wires (Pvt.) Ltd.,"Simra (Fac.), Bara","053-520090520300520700,,"
Jagadamba Steels (Pvt.) Ltd. / Jagadamba Wires (Pvt.) Ltd.,"New Road, P.O. Box: 2513, Ktm,","00977-1-422349742308934227013,,"
Krishna Chemicals & Paints Industry Pvt. Ltd.,"GPO: 1186, Ktm, Teku,","42679694252458,,"
KRISHNA CHEMICALS AND PAINTS INDUSTRIES. PVT. LTD.,"Tripureshwor,","42679694258375,,"
Neupane Engineering (P.) Ltd.,"Balkhu, Ring Road,","00977-1-51870855187086,9851044521,"
NEW TECHNICAL WATER PROOFING SERVICE AND REHABILITATION PVT. LTD.,"Kupandole, Lalitpur","55452425538655,,"
Paka Overseas (P) Ltd.,"Jawalakhel, P.O. Box: 2743, Ktm,","00977-1-55203025520303,,"
Pashupati Tube Mills Pvt. Ltd.,"GPO: 20690, Ktm, Kupondole,","5544771,,"
Pioneer Wires Pvt. Ltd.,"Kupondole, P.O. Box: 20690, Ktm,","00977-1-5544771,,"
Continental Trading Enterprises (P) Ltd.,"Dhumbarahi Office,","977 1 465079443718612054012,977 1 4650801,"
Duwakot Construction Pvt. Ltd.,"Tinkune,Sallaghari ,,","+16613127,9851003292,"
Shakti Commercial Enterprises,"Near Bajaj Showroom,","+977-1-4255312,,"
Twenty First Nepal Pvt. Ltd.,"New Baneshwor,","47842804784276,,"
Heritage Nepal,"Sabhagriha Chowk,","531564,,"
Khadka Nirman Sewa,"Baijanath -1, Banke,","081403026,,"
Mahalaxmi Aggregate Industry Pvt. Ltd.,"Mahalaxmisthan,","00977-1-5530531,,"
Nahata Brothers (P) Ltd.,"Gyaneshwor Marg,","00977-1-4427411,,"
Continental Trading Enterprises Pvt. Ltd. - Headquarters,"P89F+8XC, Uttar Dhoka Sadak,","+977 1-4426465,,"
Jaya Panchakanya Aggregate & Sand Washing Pvt. Ltd,"Kalanki-13,","00977-1-4032830,00977-9841-317782,"
Koteswor Dandi Pasal,"Koteswor,","00977-1-4992210,00977-9851030314,"
Laafa Pvt. Ltd,"Manapang 3, Tanahun,","065690420,9856040420,"
Shubham Engineering Services,"Kalanki,","00977-1-43161014315701,00977-9851100795,"
Aar Bee Enterprises (P.) Ltd.,"Naxal, P.O. Box: 4416, Ktm,","00977-1-443464844346904434825,,"
Adarsha Trade Concern,"Kamaladi,","00977-1-4435356,,"
Amit Enterprises,"Fasikev, P.O. Box: 12507, Ktm,","00977-1-42557674268174,,"
AMLESHWOR SAND WASHING UDHYOG,"Swayambhu,","42855444270002,,"
Anuhima Trade Concern,"Tripureshwor, P.O. Box: 11337, Ktm,","00977-1-42626274258804,,"
Associated Agencies,"Teku Road, P.O. Box: 5672, Ktm,","00977-1-42466564240465,,"
BHATA TRADERS PVT. LTD.,"Gangabu,","43607924364040,,"
B. M. Enterprises,"Tripureshwor, P.O. Box: 13717, Ktm,","00977-1-42611984266862,,"
Building Material Manufacturing Company,"Patan Ind. Estate,","00977-1-55222535524118,,"
FORCE CONSTRUCTION AND ASSOCIATES PVT. LTD.,"Satdobato,","553339255554395552149,,"
General Overseas Agencies,"Machali Teku Road, P.O. Box: 782, Ktm,","00977-1-42449424224831,,"
GEO-TECH INTERNATIONAL PVT. LTD.,"Bhanimandal, Lalitpur","553507858549206,,"
HIGHWAY NEPAL PVT.LTD.,"Anamnagar,","4240445,,"
HIMAL IRON AND STEEL PVT. LTD.,"Kantipath,","422653042252304225490,,"
IMDC CONSTRUCTION EQUIPMENT AND CHEMICALS,"Anamnagar,","42287084267791,,"
INCO PVT. LTD.,"Kalikasthan,","44319924433045,,"
Jyoti Shree Enterprises,"Putalisadak, P.O. Box: 13254, Ktm,","00977-1-44391674416512,,"
KANTIPUR KITCHEN EQUIPMENT PVT. LTD.,"Sitapaila,","42837814302305,,"
Kunwar Brother's and Son's,unknown,"61-528943,,"
Mainali Construction Solutions,"Omaha,","00977-1-4025989363,,"
Mudbhary and Joshi Construction Pvt. Ltd.,"Sundhara, P.O. Box: 1939, Ktm,","00977-1-42411824231513,,"
Nepal Building Materials,"Putalisadak, P.O. Box: 1473, Ktm,","00977-1-44165124416179,,"
Nepal Orind Magnesite (P.) Ltd.,"Tangal, P.O. Box: 1242, Ktm,","00977-1-44185044410370,,"
Om & Shanta Journal Order Supplier,"Maharajgunj, P.O. Box: 15142 KPC/WME87,","00977-1-44301744417998,,"
PASHUPATI HARDWARE CENTRE,"Maitidevi,","44179694420105,,"
PREFAB CONCRETE INDUSTRIES PVT. LTD.,"Kamaladi,","4240454,,"
Quality Itta Udyog,"GPO: 8975 EPC 2376, Gwarko,","55245555540865,,"
Uday Shree Print Pack Pvt Ltd,"Hatkhola,","977-21-533544,,"
