Name,Address,Telephone
Sony Light & Sound,"New Road,","00977-1-42643444264355,9851043810,"
Live Works,"Patandhoka (Chakupat), Lalitpur, Nepal,","015260734,9801122411,"
JST Productions,"Kupondole Height, Lalitpur,","9818849361,9818849361,"
Nirvana Musical Suppliers,"Tutepani, Satdobato, Lalitpur,","9861313050,,"
Faiz International,"Anchalpur-8, Bhairahawa,","071573834,9857010387,"
JST Corp Pvt Ltd,"Kupondole Height, Lalitpur,","+977 9818849361,,"
Mobiland electronic pvt ltd,"kritipur,","977014334235,9779861087804,"
DISTAR HOME APPLIANCES PVT. LTD.,"Mahabaudha,","4246113,,"
Nepa-Sa,"House # 207,Sankata, Tebahal, New Road,Kathmandu,","977-1-5713604,977-9851023450,"
Himal Sound Service,"Sankhuwasava,Chainpur,","029570109,9842106510,"
NEPA-SA,"House No. 207, Sankata, Tebahal, New Road, Kathmandu,","00977-1-4241959,00977-9851023450,"
RANJANA MUSIC INUSTRIES PVT. LTD.,"New Road,","4250333,,"
A XL LIGHT AND SOUND,"Pako,New Road,Kathmandu,","+97714278356,+9779802041011,"
SK Sound light and music stores pvt.ltd.,"mahendrapul,","+977061525581,+9779856022686+9779817152430,"
First Kathmandu (P) Ltd.,"Kuleshwor, P.O. Box: 24525, Ktm,","00977-1-4278825,00977-9851090755,"
Global Exposition & Management Services P. Ltd. (GEMS Events),"Thapathali, P.O. Box: 8975 EPC 1339,","00977-1-42602324269782,00977-9851107978,"
annapurna cafe,"1833 Broadway AveSeattle, WA 98122, Seattle","206-320-7770,,"
DMI - The Entertainment People,"Maharajgunj, P.O. Box: 20196, Ktm,","00977-1-44153352081040,,"
VISION NEPAL FILMS AND ENTERTAINMENT,"Anamnagar,","20427579851075312,+977-9851075312,"
Destiny Event,"Jhamshikhel,","9841193495,9841193495,"
Promoters Nepal Pvt. Ltd.,"New Baneshwor, P.O. Box: 8973 NPC 603,","00977-1-47806804780748,00977-9851033370,"
Cryastal Events Pvt. Ltd,"Anamnagar,","00977-1-4770717,00977-9721568392,"
