Name,Address,Telephone
Environmental Camps for Conservation Awareness (ECCA Nepal),"Kupondole, P.O. Box: 9210, Ktm,","00977-1-55504525553870,,"
Volunteers Initiative Nepal (VIN),"Balaju, P.O. Box: 19877 , Ktm,","00977-1-4362560,00977-9851070477,"
ADVENTIST DEVELOPMENT AND RELIEF AGENCY NEPAL (ADRA),"Sanepa, Lalitpur,","55559135555914,,"
Kedia Organisation,"Alakhiya Road, P.O. Box: 50, Birgunj,","520077520078522297+977-01-5970708,,"
Federation of Nepal Cottage and Small Industries (FNCSI),"GPO Box: 6530, Maitighar Height,","+977-1-4222751+977-01-2003080,+977-985-7832505,"
International Nepal Fellowship,"Jawalakhel, P.O. Box: 1230, Ktm,","00977-1-5521183+977 61-570111,,"
ICIMOD,"Jawalakhel, Lalitpur,","977-1-5525313977-1-5525310977-1-5525311+977 1-5275222,,"
BP Koirala Memorial Cancer Hospital,"PO Box 34,","056-245012+977-1-4413174,,"
NCell Pvt. Ltd.,"Krishna Towers, P.O. Box: 9900, Ktm,","00977-1-980555444490059809005000,,"
Himalayan Nature,"Lazimpat,","00977-1-44445274439042,,"
"Dura Student Society, Chitwan","Bharatpur, Chitwan,","+977984-567-4450,+977984-567-4450,"
Airlines Operators Association of Nepal,"Lakeside, Pokhara,","00977-61-461577463880,009779856021576,"
Innovative Forum For Community Development,"Sahayogi Nagar, Mahadevsthan, Koteshwar, Sringkhala Galli, H.No. 448/66, P.O. Box: 4025, Ktm,","00977-1-41547314154769,98510-38465,"
Industrial Enterprise Development Institute (IEDI),"Tripureshwor,","+977-1-5361339+977-1-5361469+977-1-5366162+977-1-5366163,,"
MInistry of Education,"Singhadurbar,","+977 1-4200340,,"
Nepal Electricity Authority,"Central Office, Durbarmarg,","+977-1-4153051,,"
Nepal Nursing Council,"Bansbari, P.O.Box. 12541,","+977-1-4372521,,"
Nepal Dairy Association,"New Baneshwar, Thapagaon,","+977-1-5244482,,"
Police Headquarters,"Naxal, Kathmandu,","+977 1-4411210,,"
Salt Trading Corporation Ltd.,"Malaya Road, Ward No 18,","+977-21-520130,,"
Society for Animal Welfare and Management(SAWM),"New Baneswor, P.O. Box: 8973 NPC 284,","00977-1-4451038,00977-9849425552,"
Gurkha Settlement Office,"Manbhawan, Lalitpur,","01-423532901-423532701-4235326,9851 049829,"
Japanese Language Teacher's Association Nepal (JALTAN),"Exhibition Road,","+977-01-1234567,,"
Kopila Nepal,"PO Box 287 Bulaundi 6,","+997-61-453486+977-61-456403,,"
NAGARIK LAGANI KOSH (CITIZEN INVESTMENT TRUST),"Madan Bhandari Road,","+977-1-5970201,,"
Nepal Tourism Board (NTB),"Bhrikuti Mandap, P.O. Box: 11018, Ktm,","00977-1-425690942562304256216,,"
Management Association of Nepal,"Bishalnagar, P.O. Box: 3032, Ktm,","00977-1-4411902,9861834382,"
International Finance Corporation (IFC),"Tebahal-22, New Road, Kathmandu, Nepal,","00977-1-4220877,9807689579,"
Office of the Embassy of Canada,"Lazimpat, P.O. Box: 4574, ktm,","00977-1-4415193,,"
Nepal Aots Alumni Society,"Koteshwor, P.O. Box: 20994, Ktm,","00977-1-51006675100786,,"
Altruistic Community Development Foundation (ACDF),"Bhagwan Bahal, Thamel, P.O. Box: 11569, Ktm,","00977-1-4420840,00977-9851049483,"
COURIER SERVICE ASSOCIATION OF NEPAL (COSAN),"Putalisadak,","4232151,9851088810,"
Dhaulagiri Integrated Rural Development Centre (DIRDC),"Baglung Municipality 1, Baglung, Nepal,","068-520269,,"
Family Planning Association of Nepal Branch Project,"Itahari FHC, Sunsari,","+977-1-583144,+977-9852680222,"
"Human Rights Without Frontiers, Nepal","Maitidevi, P.O. Box: 10660, Ktm,","00977-1-4442367,00977-9851000163,"
Internet Service Providers' Association of Nepal (ISPAN),"P.O. Box 8975, EPC 5368, Sanepa,","+977-1-5530313,,"
JICA Alumni Association of Nepal,"P.O. Box: 4707, Ktm,","00977-1-4285520,00977-9841349691,"
Nepal Red Cross Society,"Janakpur sub metro,","+977-41-520870+977-41-524102,,"
New Zealand Consulate,"Gongabu, P.O. Box: 224, Ktm,","00977-1-43542374361500,00977-9849786967,"
Pro Nepal Tour,"Korunni 108, nepal,","+421 948 250 586,,"
Sandiego Foundation of Nepal (SADFUN),"Thamel, P.O. Box: 14221, Ktm,","00977-1-42127374269197,00977-9851065082,"
Women Development Centre of Nepal(WDCN),"Dholahity, P.O. Box: 9160, Ktm,","00977-1-5574624,00977-9851085475,"
Adivasi Janajati Empowerment and Environment Program (AJEEP),"Kamalpokhari,","00977-1-4422986,,"
Advertising Agencies Association of Nepal (AAAN),"Shantinagar, P.O. Box: 8944, Ktm,","00977-1-41075634107731,,"
Alternative Energy Promotion Centre,"Khumaltar Height, P.O. Box: 14237, Ktm,","00977-1-553939055393915543044,,"
Amnesty International Nepal,"Balaju, P.O. Box: 135, Ktm,","00977-1-43647064365431,,"
