Name,Address,Telephone
The Silver Lining News,"PO Box 17665, Salt Lake City, Utah 84117-7655, USA, Salt Lake City , Utah,","801- 424-3766+977 1-6225777,,"
BHAJURATNA AGENCY PVT. LTD.,"P898+9XH, Lazimpat Rd,","+977-1-4411786061-527293,,"
Khumbu Carpet Industries,"Chapali,","00977-1-437006143720714472418,,"
Online Saathi,"Koteshwor, Kathmandu, Nepal,","+977-01-5147281,9812370139,"
MUNCHA HOUSE,"New Road,","977-1-5535757977-1-553941442214704255479+977 1-5550877,,"
Janaki Furniture - Janaki Steel Industries,"Biratnagar, Lekhnath Marg 77 , Sarouchiya,","021-511931,98520221479842073906,"
Carpet House,"Thamel, P.O. Box: 7840, Ktm,","00977-1-42505324701746,,"
Cleaning Service Nepal,"Chabahil,","9861607898,9861607898,"
Gupta Nursery,"Drivertole, Tilottama-4, Rupendehi, Nepal,","+977-71560205,+977-9867226192,"
Axis Investment and Development Pvt. Ltd.,"Gairigaun, Tinkune,","014494183,9851134183,"
Hk Traders,"lazimpat road, panipokhari,kathmandu,","01-4006615,9851014194,"
Dreams landscaping,"Kathmandu, Nepal,","+977-71560205,+977-9867226192,"
Number One Pest Control Pvt. Ltd.,"Janapath-6,","9857077772,+977-9857037895,"
S. T. Fabrics Pvt. Ltd (ST Carpet),"Kutu Bahal Galli ( near aradhana petrol pump),","01-4494600,9802030759,"
Subha Sagun Wool Handicraft Industries,"Gongabu, Ganeshsthan,","+977(0)14359025,+9779849924135,"
Osmo Solar water Heater,"Maharajgunj,","01-4281018,9851014194,"
Creative Decor Pvt.Ltd,"446 Gairidhara Marga, Gairidhara,","977-4413499,9841242808,"
Janaki Homestore,"Lekhnath Marg 77, Sarouchiya,","9802809000021516055021511931,9802809000,"
New DK Suppliers,"Min Bhawan, Shanti Nagar Gate,","014622158,98510815589851075905,"
Pest Control Pokhara,"Lake side,","9849194481,,"
Sulabhbazar,"Boudha, Nayabasti,","9851154847,,"
Aircon Nepal Private Limited,"Tahachal, Soalteemod,","01-4302740,9802958402,"
Ex Gurkha Khukuri House,"Thamel-29,","977-1 4355032,98413178129851135201,"
AWNINGS MANUFACTURERS IN DELHI,"Chilla Village, Opp. Fraser Suits Hotel, Club Road,","07827490192,07827490192,"
Dreamland Interior Solution,"Bhadrapur Road,","023-546423,9852689502,"
