Name,Address,Telephone
Volunteers Initiative Nepal (VIN),"Balaju, P.O. Box: 19877 , Ktm,","00977-1-4362560,00977-9851070477,"
Dolphin Education Consultancy Centre Pvt. Ltd.,"Putalisadak, P.O. Box: 21551, Ktm,","00977-1-42542824223053,,"
Himalayan World Wide Educational Consultancy,"4th Floor of Himalayan Bank, Opposite to, BICC Hall, (South Gate ) New Baneshwor, Kathmandu 44600, Nepal,","+977 1-4785685,,"
Sparrow SMS,"8975, EPC 1887 Bakhundole, Pulchowk (100m ahead from opposite of Entrance Cafe), Lalitpur,","+977-1-5522942,9802005007,"
e-Zone International,"New Baneshwor, Opposite of BICC West Gate No.2,","+977-1-44830884494072,9802026676,"
BP Koirala Memorial Cancer Hospital,"PO Box 34,","056-245012+977-1-4413174,,"
Broadway Infosys Nepal Pvt. Ltd. (Computer Training Institute ),"Tinkune,","00977-1-20505334117578,00977-9841936873,"
Digital Gurkha,"Old baneshwor, Kathmandu,","+977980518755101-5913819,,"
Premium Academy,"Kalimati,","00977-1-4277632,9841-757769,"
Target International Education Pvt. Ltd.,"Chipledhunga, Pokhara, Nepal,","+977-61-572978,+977-9856032278,"
Nepalese Wood Craft Child Craft,"Chakrabahil, P.O. Box: 8975 EPC 436,","00977-1-55297935534636,,"
Link Way Int'l Education Consultancy Pvt. Ltd.,"Siddhartha Chowk-04, Kaski, Nepal ,","061-521430,9856018463,"
Edwise Studies Pvt. Ltd.,"Chipledhunga (Opposite of Dwa Complex),","061521544,9856038212,"
Admizz,"Putalisadak, Kathmandu,","9802728444,,"
Bridge Education Hetauda,"Hetauda-4, School Road,","9855014172,,"
Volunteers Initiative Nepal,"Saibaba Marga, Balaju,","00977-1-4362560,,"
StudentFolio,"New Baneshwor,","014105073,9801040323,"
Kathmandu Infosys Educational Consultancy,"Putalisadak, P.O. Box: 8975 EPC 5210,","00977-1-44435264430706,,"
Mero Reading Room,"Mid-Baneshwor, Kathmandu-10, Kathmandu, Nepal,","01-4484458,986134342398181314289841755833,"
Prime Soft Services Pvt. Ltd.,"Milan Chowk,","9857041343,9867157330,"
Scholarkeys,"Pinglasthan, gausala,","9802320803,9802320803,"
DIVINE ASTRO INTEGRATION,"35, MAHARASHTRA, INDIA","9823216544,9823216544,"
Nmark Education,"Mahendrapool 09,","061 541051,,"
Vicky Stationers,"Bhedasingh,","00977-1-42215014244299,9851060602,"
GLOBAL OPEN EDUCATIONAL ACADEMY,"Lagankhel, Lalitpur,","01-6201688,9851175318,"
Kathmandu Montessori Training Center,"Putalisadak Chock Bagbazar,","012294222,9851082064,"
Lets Education Nepal pvt.ltd,"Chipledhunga 4 Batas Malla complex, Pokhara Nepal,","061523523,9864466609,"
Nepal hub education consultancy,"chabahil-7,","4494990,9840103396,"
Saraswatinagar Institute for Excellence,"Chabahil,","01-4821817,9841836204,"
Epic Career & Visa Services,"Newplaza, Putalisadak,","01-4445064/65,9813371564,"
Muse Education,"Ram Kunja, Level-1, Putalisadak,","014446077,9803999299,"
Education Matters Pvt. Ltd.,"Bagbazar Opp Hotel Hardik,","014233685,9851089791,"
Career Dream Education Consultancy,"Bhanu Chowk,","41-528402,980160033998540277139813411285,"
Lead Academy For Science And Management Technology,"Bharatpur-10,Chitwan,","056-524344,9849852605,"
Fujiyama Educational Consultancy Pvt. Ltd,"Bagbazar,","+977-014245500,9841298799,"
Infer Education Network,"Bagbazar Kathmandu,","014241148,9863617890,"
Nascent Education Foundation,"Ghantaghar, Link Road, Birgunj,","051-527522071-525028,9806881742,"
Fonet Stationary Center,"Saptagandaki Chowk-10, Chitwan,","+977056526307,9845220077,"
Index Advance Educational Consultancy,"New Baneshwor, Buddha Bhawan 2nd floor, Opposite of Rastirya Banijya Bank Ltd.,","+977-1-4474128,+977-9851120703,"
Tiny Seeds STEM Education,"Nayabazar,","00977-1-4385710,9851242459,"
GLOBAL OPEN EDUCATIONAL ACADEMY,"Basundhara- 3, Samanantar Marga,","+977-01-6923388,+977-98415753189851175318,"
GLOBAL ACADEMY,"Lagankhel, Lalitpur","+977-01-6201688,+977-98511753189841575318,"
GLOBAL ACADEMY (OPEN SCHOOL),"Lagankhel, Lalitpur,","01-6201688,9851175318,"
Gothatar English Secondary School,"Kageswori Manahara-8,Gothatar,","977-01-5148072,977-9843113355,"
HOLY CHILD SCHOOL,"Aawa Road, Baglung Municipality-2, Baglung,","068-521329520930,9857637588,"
ICS POKHARA CENTRE,"Chipledhunga, Pokhara, Gandaki Zone, Nepal,","061-541118,9856072858,"
KTM Consulting Group,"Banepa,","11662797,9851168284,"
PURVIEW EDUCATION,"House No. 1981, Tanka Prasad Ghumti Sadak, Babarmahal,","014222463,98412253729813039309,"
Rainadevi Int'l Education Pvt. Ltd.,"Butwal-08,Rupandehi,Nepal,","071-542791,98570325009857031500,"
SoftwaRise Information technologies,"AAdarsha,","01-6618567,9843033958,"
St. Joseph's Higher Sec. School,"Tinpaini,","+977 -1-513623,9852027842,"
Educare Abroad Consult Pvt. Ltd,"Kalimati, Kathmandu,","+977-01-4288243,+977-9851139992,"
Everest English School,"Mibachhen-2,","+977-1-6611211+977 1-6619662,,"
Nepal Commerce Campus,"Min Bhawan,","+977- 1- 4107044+977-1- 4107048,,"
Premier International IB World School,"Satdobato, P.O. Box: 8975, EPC. 1084,","00977-1-552803200977-1-554984900977-1-5549773,,"
Smart Prabidhi Pvt. Ltd,"Padam Road, Power House,","+97751525771,+9779802940006+9779802940005+9779802969093+9779802969094,"
