Name,Address,Telephone
Metro Pest Control Service,"Dhapasi,","9818679752,9863553355,"
Nepal Construction Mart,"Kupondole, Lalitpur,","015180320,9801188110,"
Pokhara Total Facility Management Company PVT.LTD,"Naya bazar 9 pokhara,","061537565,9856034998,"
Easy Facilities Pvt. Ltd.,"Jarebar,","+977-61-467330,9856026233,"
Number One Pest Control Pvt. Ltd.,"Janapath-6,","9857077772,+977-9857037895,"
Pest Control Pokhara,"Lake side,","9849194481,,"
Kathmandu Pest Control Service,"basundhara,","9849194481,9849194481,"
KANTIPUR PEST CONTROL PVT.LTD,"Baluwatar kathmandu nepal,","9851105846,9851057017,"
PDS Pest Control,"Bijeshwori,","9851053277,9851053277,"
J. J. MARBLE HOUSE,"Samakhushi,","4353017,9802034434,"
Yamraj Pest Control Nepal,"new road,","9843141616,,"
Bed Bug Spray,"Maharajgunj,","9849194481,,"
City Pest Control,"Birtamode, Jhapa, Nepal,","023-545738,9842755058,"
PDS Pest Control Service in Kathmandu,"Bijeshwori,","9851053277,,"
Easy Pest Control,"Shantinagar,","+977-61-522632,9856026233,"
Surakshapestcontrol,"Bal Kumari, Lalitpur nepal,","9801132362,9801132362,"
Pest Control Nepal,"Old Baneshwor, P.O. Box: 11887, Ktm,","00977-1-44922854470092,,"
Himalayan Engineering Traders,"Maharajgunj, P.O. Box: 13443, Ktm,","00977-1-441025844290369851026215,,"
Himalayan Engineering Associates (P) Ltd.,"GPO: 13443, Ktm, Maharajgunj,","441025844290369851026215,,"
Kisan Agro Chemicals,"4/222 hospital road, Birgunj- Nepal,","051-531769,9801531769,"
Capitol Pest Control,"Chabahil,","00977-1-446529944823649851098307,,"
Ladsaria Enterprises,"Lagan, P.O. Box: 1377, Ktm,","00977-1-4253466,,"
Capital Pest Control Pvt. Ltd.,"Chabahil,","00977-1-4482364,00977-9851098307,"
D. R. Pest Control Trade Services,"Kupondole, P.O. Box: 1900, Ktm,","00977-1-55293939851000564,,"
D.R. PEST CONTROL TRADE SERVICES,Lalitpur,"5529393,,"
Silver Heart Int'l Pvt. Ltd.,"Tinkune,","00977-1-4469150,,"
