Name,Address,Telephone
NATRAJ TOURS AND TRAVELS PVT. LTD.,"Kamaladi,","422253242220144220001(977-1) 5261521,,"
S&S Logistic Pvt. LTD.,"Uttar Dhoka, Kholagal Marga, Kathmandu, Nepal,","+977 1 4424668+977 1 4416965,+977 9851067192,"
Upaya: City Cargo,"Babarmahal,","+977 988-1098830,,"
NepXpress,"Buddhanagar Kathmandu, Nepal,","+(977)-01-4783933 | +(977)-01-4783934,9847883300,"
Kantipur Logistics Pvt. Ltd.,"kathmandu,","01-4493142,,"
Namaste De Cargo Pvt. Ltd.,"Thamel Kathmandu Nepal,","014223989,9851148116,"
Aero-Ship Logistics Nepal Pvt. Ltd.,"PO Box 2191,","977-01-425258242525834252584,9851056414,"
IDEAL COURIER SERVICE,"OLD BANESHWOR, BATTISPUTALI ROAD , NEAR DWRIKA HOTEL,","+977-01-4478809,9841653566,"
Namaste Cargo Nepal (P) LTD,"Thamel Kathmandu Nepal, Thamel KTM,","014700720,9801006432,"
Hardik Transformer Services,"Mustang Chowk, Airport Road,","061460398,,"
ARAMEX,"Tinkune,","+977-1-4112306+977-1-4112188+977-1-4112234,,"
Aryan Air Freight Pvt Ltd.,"PO BOX 19731 Thamel,","9771 4255160,,"
Atlas De Cargo Pvt. Ltd.,"Tangal, Thirbam Sadak,","+977-1-4445666,,"
Kourtier couriers pvt.ltd,"maisthan chowk-13,","051-525664,9855523396,"
OMLOT EXPRESS PVT. LTD.,"Kriti Marga,","unknown,+977-986-6622091+977-986-6622092+977-986-6622093,"
Total Logistic Service Pvt Ltd,"Nakhudobato, Lalitpur ,","015548090,,"
Trans Air International Logistics Pvt.Ltd.,"Thapagaun - 10 , New Baneshwor,","+977-1-4480025,+977-9851015214+977-9849180506,"
Upaya: City Cargo,"Bluestar Complex, Thapathali,","9881098830,9881098830,"
Zettta Logistics Pvt. Ltd.,"Mid-Baneswor,","01-447674301-4483087,,"
Air Bridge Cargo (P) Ltd.,"Durbarmarg, P.O. Box: 19253, Ktm,","00977-1-44365544438885,,"
Air Flight Express Courier (P) Ltd.,"Downtown Supermarket Dillibazar,","+977-1-4010541+977-1-4010542+977-1-4010543,,"
DHL Express Nepal P. Ltd.,"KUK Building, Ring Road,","+977-1-4481303,,"
DHL Express Nepal P. Ltd.,"KUK Building, Ring Road,","+977 1-5970274,,"
General Post Office,"Plus code: P84G+7Q Kathmandu Dillibazar,","+977-1-4432891+977-1-4419597,,"
Kourtier Couriers (P) Ltd.,"Buddha Chowk, Yuwa Marg,","+977 57-590864,98025912709829276229,"
Nepal International Freight Pvt. Ltd.,"Baluwatar,","009774428571,009779851010209,"
NATIONAL AIR COURIER SERVICE PVT. LTD.,"Kupandole,","+977 1-5534359+977-1-5529177,980-2028064,"
Rooster Logic,"HAN Building, Gairidhara 2nd Floor, Kathmandu 44600,","+977 441-9107,,"
Vision International Cargo & Courier Service Pvt. Ltd.,"Putalisadak,","00977-1-4232151423215844126384413668,9851001042984915165898490335599849150857,"
Kourtier Couriers SERVICE,"Pragati Marg,","unknown,+977-985-6082608,"
VICTORIA EXPORT PVT. LTD.,"Jyatha,","4232798,,"
Nepal Road Carrier,"Bus Park Road,","+977 81-531281,+977-985-8040456,"
Inter Continental Logistics Pvt Ltd,"Thamel 29,Bhangwan Bahal,","00977-1-4414029,00977-9851023258,"
Kourtier Couriers (P) Ltd.,"Maisthan,","525664,9855023396,"
Ultimate Export & Cargo Pvt.Ltd,"Satghumti Thamel Kathmandu Nepal,","014700867,9851034329,"
FEDEX EXPRESS (FEDEX)),"Kantipath,","+977 1 4269 248,,"
Gandaki Freight International Pvt. Ltd.,"Thamel, P.O. Box: 24884, Ktm,","00977-1-47005834700140,00977-9851054349,"
Lee and Muirhead Private Limited,"New Road, Kathmandu, Nepal,","+977 1422 1318,+977 98011 01100,"
New York Cargo Pvt. Ltd.,"Jyatha, P.O. Box: 21097, Ktm,","00977-1-423831742285754222885,00977-9851015039,"
Silver Star Cargo (P.) Ltd.,"Thamel, P.O. Box: 21682, Ktm,","00977-1-43641734364190,9851023816,"
Worldwide Express Courier Service (P) Ltd.,"New Road,","+977-1-4220360,,"
Aero Connection Cargo (P) Ltd.,"Thamel, P.O. Box: 11534, Ktm,","00977-1-470086847004404700068,,"
AERO-SPEED CARGO PVT. LTD.,"Thamel,","44237524424753,,"
Alpine Cargo (P) Ltd.,"Thamel, P.O. Box: 25254, Ktm,","00977-1-4701845,,"
ANNAPURNA TRAVELS AND TOURS PVT. LTD.,"Durbarmarg,","42235304223940,,"
BEESANTS CARGO SERVICE PVT. LTD,"Jyatha,","42500404262320,,"
Cargo Packers & Movers International Pvt. Ltd.,"Manbhawan, P.O. Box: 13996, Ktm,","00977-1-55470605547314,,"
CARRY CARE INTERNATIOAL,"Kantipath,","42129654220711,,"
CARGO PACKERS AND MOVERS INTERNATIONAL PVT. LTD.,"Man Bhawan, Lalitpur","5547314554706050086575008658,,"
Expolanka Freight Nepal (P.) Ltd.,"Tinkune,","00977-1-411218841123064112234,,"
Expolanka Freight Nepal Pvt. Ltd.,"Tinkune,","449967644794344479435,,"
Kourtier Couriers (P.) Ltd.,"Nayabato, Dhobighat Lalitpur,","+977-1-5554516+977-1-5554517+977-1-5554518,,"
LEGEND CARGO PVT. LTD.,"Thamel,","442143544213544421365,,"
MANDALA CARGO PVT. LTD.,"Thamel,","4258571,,"
NEW YORK TRADERS AND EXPORTERS PVT. LTD.,"Thamel,","42383174228575,,"
OM SHIVA ENTERPRISES PVT. LTD.,"Thamel,","42515594251632,,"
Quickway Cargo (P) Ltd.,"Thamel, P.O. Box: 8974 CPC 577,","00977-1-47012974700539,,"
QUICKWAY CARGO PVT. LTD.,"Thamel,","47012974700539,,"
Rising Star Cargo (P.) Ltd.,"Thamel, P.O. Box: 14311, Ktm,","00977-1-443598944235854436171,,"
RISING STAR CARGO PVT. LTD.,"Thamel,","443598944235854436171,,"
Royal Express Cargo (P) Ltd.,"Thamel, P.O. Box: 5396, Ktm,","00977-1-47000209851078976,,"
ROYAL EXPRESS CARGO PVT. LTD.,"Thamel,","4700020,,"
SAGITTARIUS GLOBAL LOGISTICS PVT.LTD.,"Man Bhawan, Lalitpur","554706055473146203115,,"
Sajha Courier (P.) Ltd.,"Anamangar,","+977 5706789+977 5705269+977 5705373,,"
Secure Freight International (P.) Ltd.,"Thamel, P.O. Box: 23353, Ktm,","00977-1-424297542317864244083,,"
SECURE FREIGHT INTERNATIONAL PVT. LTD.,"Thamel,","42429754231786,,"
Shangri-La Freight (P.) Ltd.,"Bhagawan Bahal, P.O. Box: 11829, Ktm,","00977-1-442445644236714410901,,"
SHAMBALA TRADERS AND EXPORTERS,"Thamel,","47010434700925,,"
Starlight Express P. Ltd,"Minbhawan, P.O. Box: 12713, Ktm,","00977-1-4465222,,"
STARLIGHT EXPRESS PVT. LTD.,"Minbhawan,","4465222,,"
The Fullmoon Export,"Thamel, P.O. Box: 25580, Ktm,","00977-1-470107047014071,,"
United Parcel Service,"New Baneshwor, P.O. Box: 4417, Ktm,","00977-1-4780851-55,,"
United Sajha Courier & Cargo Pvt. Ltd.,"Teku, P.O. Box: 14189, Ktm,","00977-1-42307894230269,,"
UNITED SAJHA COURIER AND CARGO PVT. LTD.,"Anamnagar,","423078942653734230269,,"
Aramex,"P9G6+C6,","+977-1-4112200,,"
Overseas Courier Service,"Kupondole, Lalitpur Nepal. ( GPO Box 283, Kathmandu, Nepal),","00977-1-554390851800475180048,,"
