Name,Address,Telephone
Nepgeeks Technology,"Putalisadak Kathmandu,","9869178426984-3026054,9869178426,"
The Silver Lining News,"PO Box 17665, Salt Lake City, Utah 84117-7655, USA, Salt Lake City , Utah,","801- 424-3766+977 1-6225777,,"
NepalLink Network Pvt. Ltd.,"Khusibu,","00977-1-42608222296776+977 1 5525877,,"
Prabidhi Info,"New Baneshwor, Kathmandu, Nepal,","9804136959,,"
Softech Foundation Pvt. Ltd.,"Baneshwor (Office),","00977-1-243892301-4435890,,"
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
Tarang Tech,"Maitidevi,Kathmandu BA 44600,Nepal,","+9779867123563,+9779867123563,"
Techmind Solution,"Babarmahal,","977-1-4102299+977 1 4102213,977-1-41022134102239,"
Nepasoft Solutions Pvt. Ltd.,"Kantipath, P.O. Box: 11291, Ktm,","00977-1-426360042437064255088+977-1-5900182,,"
Analogue Inc,"Gausala,","+9779802320803,,"
Voxcrow P. Ltd.,"Nagpokhari, Kathmandu,","9802329903+977 9802071665,9802329903,"
Nimble Infosys,"New Baneshwor,","01-4104381/82+977 -1-597-0077,98511-26328,"
Complete Business Solution Pvt. Ltd.,"Talchikhel, Lalitpur,","015550656+977 981-3898246,9851173362,"
Nepfinder Innovative I.T. Solution Pvt. Ltd.,"Bashundhara, Kathmandu, Nepal,","014360230,9851189313,"
Trinity Infosys Pvt. Ltd.,"New Road-22,","+977-01-4238034+977 985-1007524,+977-9851007524,"
Bent Ray Technologies,"Jwagal,","00977-1-5526996+977 1526-0252,,"
Web Technology Pvt. Ltd.,"Thamel,","00977-1-444162016914019,00977-9841319835,"
Next Generation World,"Kathmandu Mall, P.O. Box: 24678, Ktm,","00977-1-4150066+977 01 4469417,,"
Raindrops Creation,"Lazimpat,","9849167154+977 9801842333,9849167154,"
Agile Solutions Pvt. Ltd.,"Nil Saraswati Marga, Gairidhara, Kathmandu, Nepal,","01-400478901-4004790,,"
Neptrox Solutions Pvt. Ltd.,"Imadol, Gwarko, lalitpur, Kathmandu Valley, Nepal,","01-6201277,98511201719851220381,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Nur Nepsol Solutions Pvt Ltd,"Munni Bhairab Marg, Tinkune, Koteshwor,","977 980 10 111 85,,"
Web Creation Nepal Pvt. Ltd.,"Bagbazar,","977 42462494243968,977 9851029233,"
Dristi Tech Pvt. Ltd.,"Lazimpat,","00977-1-4427949+977 -01-5919103,,"
Tulips Technologies Pvt. Ltd.,"Bijulibazar,","00977-1-478120901-4795677,00977-9841472917,"
MeroNetwork,"Thapathali Rd,","+977 (1) 5111100+977 -01-4426702,09808213062,"
Pracas Infosys,"Main Road Pokhariya,","021-4633777+977 98520-25735,9852025735,"
E-Signature Pvt. Ltd,"Chandol,","+977 1-4410178,,"
sah technology pvt. ltd.,"baneswer ,","4283433+977-1-4780466,9840016595,"
OM Networks Pvt Ltd,"Dillibazaar,","01-4435018,,"
MARS GROUP PVT. LTD.,"Jawalakhel,","5547157980-8760316,,"
