Name,Address,Telephone
GHALE TREKS AND EXPEDITION PVT. LTD.,"Thamel,","44209144437187,,"
GUIDE FOR ALL SEASONS TREKKING PVT.LTD.,"Gairidhara,","4410897,,"
HARD ROCK TREKS AND EXPEDITION PVT. LTD.,"Thamel,","42590674263375,,"
Holidays to Nepal Pvt. Ltd.,"Lainchaur-29,","0097714413408,009779851166779,"
Attentive Holiday Travels and Tours pvt ltd,"A1 business complex Thamel Marg Thamel,","977-01-4412379+977-01-4412379/4413848,977-9851070284,"
Gold Mountain Nepal Treks & Expedition Pvt. Ltd,"Kathmandu, Nepal,","+9779849454553,+977-9849454553,"
Ethic Himalaya Treks & Expedition P. Ltd,"Shorakhutte, P.O. Box: 9972, Ktm,","00977-1-4365416+977 -1- 4002128,00977-9751006092,"
NEPAL VISION TREKS AND EXPEDITION PVT. LTD.,"Thamel,","441391544232974424762+977 443-0653,,"
KAILASH HIMALAYA TREKS,"Bagbazar,","4241249+977 9813585999,+9779851002789,"
Himalayan Mentor Pvt. Ltd.,"Thamel,","00977-1-977 1 44139014414127+977 1- 4360381,00977-977 9808143648,"
Peak Promotion Pvt. Ltd.,"Jyatha, P.O. Box: 5237, Ktm,","00977-1-426311542638394243296+977 9841135705,,"
High Camp Adventure,"Thamel Marg, Thamel, Kathmandu,","985-1031822,985-1031822,"
Index Adventure Pvt. Ltd,"Chaksibari Marg, Kathmandu 44600,","985-1167996,985-1167996,"
Advent Himalaya Treks (P) Ltd.,"Ranibari, P.O. Box: 20364, ktm,","00977-1-4385532016211837+977 1 4357394,00977-9841479947,"
Nepal Kailash Trekking Pvt. Ltd.,"Yoyesworu Marg,","014365099,9851064386,"
SHAKTI TRAVELS AND TOURS PVT. LTD.,"Lazimpat,","442855244286914428729+977 -985-1026424,,"
Global Adventure Trekking,"44600 Chakshibari Marg,","97714700356+977 1 4700355,9841485631,"
Welcome Nepal Treks & Tours P.ltd,"Thamel, P.O. Box: 15142 KPC 547,","00977-1-4253677,00977-9841767236,"
Trekking Experts (P) Ltd. | Best Trekking Agency,"P.O. Box: 8008, Kathmandu, Nepal,","+977 1 4376800+977 -984-102-7075,+977 9841027075,"
Mountain Monarch Adventures (P) Ltd.,"Lainchour, P.O. Box: 980, Ktm,","00977-1-4361668+977 -98510-79588,,"
MONTEROSA TREKS AND EXPEDITION PVT. LTD.,"Thamel,","4700348+977-9801031674,+977 9851031674,"
Mountain Hawk Treks & Expedition Pvt.Ltd.,"Thamel, P.O. Box: 10923, Ktm,","00977-1-4438258+977 4438259,00977-9841441618,"
Himalayan Ecological Trekking (P) Ltd.,"P.O. Box: 10413, Ktm,","00977-1-44143284410782+977 9851006023,,"
Sajilo Tours & Travels Pvt. Ltd.,"Thamel,","00977-1-44190164419017+977 9843 605 094,00977-9849948999,"
Friends Adventure Team (P.) Ltd.,"Samakhushi, P.O. Box: 21276, Ktm,","00977-1-4364838+977-9851027397,9851027397,"
Ace the Himalaya,"Thamel, P.O. Box: 1280, Ktm,","00977-1-44237204423719,00977-9851102225,"
Alpine Ramble Treks,"Nayabazzar, Marg,","014380127+9779851175531,9851175531,"
Simrik Real Nepal Treks & Expedition (P) Ltd,"Nagarjun Municipality ward no 2, Gairigaun, Kathmandu, Kathmandu, Nepal,","014891126,,"
FULL MOON TREKKING SHOP,"Lakeside,","626009,,"
Nepal Wildlife Resort Pvt.Ltd,"Kathmandu-4, Baluwatar, P.O. Box: 1044, Bardiya","97714426642,97714426642,"
GORKHA ADVENTURE PVT. LTD.,"Nayabazar-16,","+977-1-4390234,977-9851203873,"
ALPS Adventure Treks & Expedition (P) Ltd.,"Naxal-1, Kathmandu,","+977-01-4452993,9841293254,"
Beyond The Limits Treks & Expedition (P.) Ltd.,"Chaksibari Marg, Thamel, Kathmandu,","+977 5318625,+977 9851093729,"
Edelweiss Treks & Mountaineering Pvt. Ltd.,"G.P.O.Box: 5863, Sainbu-9 Magar Gaun, Bhainsepati,Lalitpur,",": +977 (1) 4-219-810,+9741062414,"
FUJIYAMA TREKS AND EXPEDITION PVT. LTD.,"Lakeside,","061 463060061 462589,98560 20264,"
Higher Limits Trek & Expedition Pvt. Ltd.,"Bhagwati Bahal, Thamel Marg, P.O. Box: 12386, Ktm,","00977-1-4410237,00977-9851163811,"
Mountain Legend Pvt. Ltd.,"Baluwatar, P.O. Box: 2613, Ktm,","00977-01-452999401-4526387,9851112637,"
PARIKRAMA TREKS AND EXPEDITIONS PVT. LTD.,"Khadka Bhadrakali, Hattigaunda 2,","+977 1 4379006,+977 9851056547,"
Raniban Treks & Expeditions,"Lakeside, P.O. Box: 230, Pkr,","522219,+977 9856023451,"
ARUN TREKS AND EXPEDITION PVT. LTD.,"Nagpokhari,","4412571016202642,,"
Broad Adventure (P.) Ltd.,"Thamel, P.O. Box: 12033, Ktm,","00977-1-4233347,00977-9841342398,"
Harmony Trekking (P) Ltd.,"Lake Side 6,","977 61 463494,977 9846054439,"
Traveltimes Treks (P) Ltd.,"Bhagwan Bahal, P.O. Box: 8975 EPC 5537,","00977-1-2142826,009851157461,"
Asian Adventure Trips P. Ltd.,"Galkopakha, P.O. Box: 7567, Ktm,","00977-1-4383405,00977-9851013490,"
Lama Parivar Himalayan Treks (P) Ltd.,"Kantipath, P.O. Box: 8501, Ktm,","00977-1-4223469,9851031897,"
Yatra Tours and Travels,"Lazimpat,","4001696,+977-98644 75969,"
PIGEON TRAVEL AND TOURS PVT. LTD.,"Thamel,","4410350,,"
RIVER VIEW JUNGLE CAMP,"Chitwan National Park, Sauraha,","00977-56-580096,00977-9855080096,"
Travel Times Treks P.ltd,"Thamel, P.O. Box: 8947 E 5537,","00977-1-2142826,00977-9851157461,"
Adventure Discovery Treks & Expedition,"Thamel, Kathmandu,","4701156+9779851087389,9851087389,"
GLOBAL ADVENTURE TREKKING PVT. LTD.,"Thamel,","470035547003564700841,,"
Himalayan World Wide Treks & Expedition (P) Ltd.,"Thamel, P.O. Box: 15142 KPC 994,","00977-1-47009624362336,,"
Les Portes De L'Aventure Treks & Expedition,"Thamel, P.O. Box: 9038, Ktm,","00977-1-44224974425289,,"
Ramdung Expedition Pvt. Ltd.,"Thamel, P.O. Box: 5319, Ktm,","00977-1-4252046,,"
Green Valley Nepal Treks & Research Hub P. Ltd,"Thamel, P.O. Box: 7265, Ktm,","00977-1-4222723,00977-9842523982,"
Gurkha Encounters (P) Ltd.,"Nayabazar, Khusibu Town-Planning, P.O. Box: 20195, Kathmandu, Nepal,","00977-1-43822404382318,,"
Himalayan Holidays Trekking Pvt. Ltd.,"Nava Marg, Lazimpat P.O. Box: 5513, Ktm,","01-443807001-4428756,,"
Nepal GOGO Treks Pvt. Ltd.,"Thamel, P.O. Box: 7122, Ktm,","00977-1-42129219851078583,,"
World Trail Finder Adventure Treks,"Thamel, P.O. Box: 11180, Ktm,","00977-1-4414593,00977-9841918103,"
Adventure Connexion Pvt. Ltd,"POBOX - 19760, Rani Devi Marg, Kathmandu 44600,","+97714002108,,"
