Name,Address,Telephone
"Shree Yoga Retreat, Nepal","Maitrinagar, Kirtipur,","9864537187+977-9814140515,9814140515,"
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
Boss Digital,"Unit 2209, 22/F, Wu Chung House, 213 Queens Road East, Wan Chai, Hong Kong,","2402 4289,,"
R. C. Agro House,"Golfutar,","4370549986-1608199,,"
Nepal Art & Craft Industries,"Dallu, P.O. Box: 9614, Ktm,","00977-1-9841549384+977 -1-4248003,,"
Accessible Adventure Pvt. Ltd,"Kaldhara,","+97714254273+9779851058702,+9779846271875,"
Nepal Spiritual Trekking P ltd,"Thamel,","9779841928192,9779841928192,"
Landmark Recruitment Agency,"Samakhusi,","97714390092,97714390092,"
S. W. Nepal Pvt. Ltd.,"89 Krishna Dhara Marga Maharajgunj, Kathmandu, Nepal,","4411156,9813983367,"
ADVENTIST DEVELOPMENT AND RELIEF AGENCY NEPAL (ADRA),"Sanepa, Lalitpur,","55559135555914,,"
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
Professional Computer Systems (P) Ltd.,"Kupondole,","00977-1-55480825543554+977 -1-5260820,,"
Tarang Tech,"Maitidevi,Kathmandu BA 44600,Nepal,","+9779867123563,+9779867123563,"
Nepal Airlines,"NAC Building, P.O. Box: 401, Ktm,","00977-1-42207574248614 toll free 16600110787,,"
BHAJURATNA AGENCY PVT. LTD.,"P898+9XH, Lazimpat Rd,","+977-1-4411786061-527293,,"
Nepasoft Solutions Pvt. Ltd.,"Kantipath, P.O. Box: 11291, Ktm,","00977-1-426360042437064255088+977-1-5900182,,"
Prime Life Insurance,"Manakamana Marga,","+977 1-5970057+977-144 414 14+977 -01-4024071,,"
Asian Heritage Tours And Travels Pvt. Ltd.,"Jyatha,","42151774257068985-1019279,,"
Nepal Gateway Overseas Pvt. Ltd.,"Basundhara, P.O. Box: 26302, ktm,","00977-1-43609244360853+977014512103,,"
Nepal Mountain Trekkers,"Thamel,","97714248594,9841657877,"
Alpine Eco Trek & Expedition (P) Ltd.,"Thamel Marga 26, Thamel kathmandu, Nepal,","+977-1-4420187985-1036844,+977 98510 36 844,"
Alignstech (P). Ltd.,"Anamnagar, P.O. Box: 1818, Ktm,","00977-1-62083592041825+977 1-4350441,,"
Next Generation World,"Kathmandu Mall, P.O. Box: 24678, Ktm,","00977-1-4150066+977 01 4469417,,"
Raindrops Creation,"Lazimpat,","9849167154+977 9801842333,9849167154,"
AUS Studies Consultants Pvt. Ltd.,"Kantipath, P.O. Box: 8975 EPC 5740,","00977-1-4222793,,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
NEPAL YELLOW PAGES,"Baneshwor,","44766334461716+977 984-1472979,,"
Nepal Yoga Institute,"Budhanilkantha-11,Nepal - 44600,","+977-9813777458+977-9849521819,+977 9860480478,"
Greentick Nepal (P) Ltd,"4th Floor, Mahalaxmi Complex, Minbhavan, Kathmandu, Nepal,","+977-1-4620741,,"
Sunrise Bank Limited,"Birgunj (Branch),","524784524785+977 4004560,,"
Neoteric Nepal Pvt. Ltd.,"Ganabahal, P.O. Box: 363, Ktm,","00977-1-42124114250001+977 1 5553222,,"
Himalayan Ecological Trekking (P) Ltd.,"P.O. Box: 10413, Ktm,","00977-1-44143284410782+977 9851006023,,"
Hilltake Gas Geyser,"Durbar Marg,","00977-1-42157714215788+977 1 4388691,,"
Prime Commercial Bank Ltd.,"Bagmati,","056-533240533241+977-01-4423432/3/6+977-01-4423432/3/6,,"
AccessWorld Tech Pvt. Ltd,"5th Floor , Bhatbhateene Super Store , Pulchowk ,","9801000575,9801053824,"
MeroNetwork,"Thapathali Rd,","+977 (1) 5111100+977 -01-4426702,09808213062,"
Nepzy,"A One Technology Pvt Ltd, 3rd floor, Alliance tower Dilli Bazzar,","4426684,9801246776,"
Jyoti Bikash Bank Ltd.,"Kamaladi, P.O. Box: 26518, Ktm,","00977-1-442755044276274437181+977-01-5970306,,"
Hulas Wire Industries (P) Ltd.,"Ganabahal, P.O. Box: 363, Ktm,","00977-1-4250001+977-21-420117,,"
IME,"Kantipath,","42300744219467+977-1421-7600,,"
Vishal Group,"Khichapokhari, P.O. Box: 3127, Ktm,","00977-1-4220963424157201-5111104,,"
Broadway Infosys Nepal Pvt. Ltd. (Computer Training Institute ),"Tinkune,","00977-1-20505334117578,00977-9841936873,"
Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal,","061460932,9816162802,"
Nepal Life Insurance Company Ltd.,"Kamaladi, P.O. Box: 11030, Ktm,","00977-1-416908241690834169085+977 1-5970971,,"
Foodmandu Pvt. Ltd.,"Anamnagar, P.O. Box: 7469, Ktm,","+977 1-4444177+977 1-4440979,,"
Prabhu Finance Company Limited,"Kantipath, P.O. Box: 5211, Ktm,","00977-1-42545804254581+977 1-478-8500,,"
DATAHUB PVT LTD,"Thapathali,","+977-1-42473044222025,,"
SURYA NEPAL PVT. LTD.,"Shree Bal Sadan, 1870,","+977-1-4248280,,"
Metro Pest Control Service,"Dhapasi,","9818679752,9863553355,"
S&S Logistic Pvt. LTD.,"Uttar Dhoka, Kholagal Marga, Kathmandu, Nepal,","+977 1 4424668+977 1 4416965,+977 9851067192,"
Modern Cleaning,"Balkumari-9,","977-1-5186684 5186681,9801084561 9801084563,"
Annies Icecream,"Jhamsikel Lalitpur,","5541935,9802055672,"
IMTC Power Systems,"Jawalakhel, P.O. Box: 8975 EPC 1686,","00977-1-55310235547666,,"
Chen Resik Pashmina,"Jyatha, P.O. Box: 413, Ktm,","00977-1-42247164470826,,"
Highland Pashmina,"Kopundole,","00977-1-5524113,,"
Saraswati Oil Distributors,unknown,"520835,,"
Visit Himalaya Treks Pvt.Ltd.,"Thamel marg, Kathmandu,","01441028,+9779851171527,"
Samyak International Pvt Ltd,"Bhaktapur,","unknown,9849825407,"
Green Suppliers,"Lainchour-29, Kathmandu, Nepal (Opposite to Pacific Guest House),","+977-1-4024037444273344410184024044,98510982899851048831,"
Himalayan Sanctuary Adventure,"Sorakhutte,","+9779843138264,+9779843138264,"
Everest Flyers,"Pinglashthan, Gaushala, Kathmandu,","01-4113819,9849405110,"
Nepal Solar & Water Purifier Pvt. Ltd.,"sukedhara, ringroad,","00977-1-4435116,00977-985109022000977-9851176078,"
Ocean Plastic Industries,"Parwanipur,","051-411227,9855035227,"
Sarojani Enterprises Pvt. Ltd,"New Baneshwor,","9851179971,,"
New Shubha-Laxmi Engineering Works,"Urlabari, Morang,","+977-021541377,+9779816362468,"
Electrical Safety Testing laboratory,"Plot no. 362, Industrial Area, Phase 2, Panchkula, Haryana - 134113","+911725066372,+918196980555,"
Garg Printers,"Radhakrishna Marg, Biratnagar 1,","021-463394,9852022244,"
ISO Certification Service,"Unit No. 4F-CS-67, Fourth Floor, Ansal Plaza,Sector-I, Vaishali","+911203838500,+918196980555,"
MOTEL AVOCADO & ORCHID RESORT P. LTD.,"Hetauda-2, Makwanpur, GPO Box: 19, Hetauda Hetauda,","520235-520429,9855069560,"
Namaste Traders,"Wotu Marg,","unknown,9841056893,"
