Name,Address,Telephone
Oldpinch Online Shopping,"Bagdol-4, Lalitpur,","015191399+977 -9864478470,9864478470,"
Online Saathi,"Koteshwor, Kathmandu, Nepal,","+977-01-5147281,9812370139,"
Caravan Readymade Company Private Limited,"Baburam Acharya Sadak,Setopul, Old Baneshwor,,","9841017539+977 9851097552,9851097552,"
PRANAM INTERNATIONAL,"Kalimati,","42770219851052097,,"
KathmanduClothing.com,"Hotel Marga, Lazimpat Road 29,","+97714005037,+97714005037,"
Daraz Nepal,"Kathmandu, Central Development Region,","+977 980 1292 929,,"
Live Works,"Patandhoka (Chakupat), Lalitpur, Nepal,","015260734,9801122411,"
S. T. Fabrics Pvt. Ltd (ST Carpet),"Kutu Bahal Galli ( near aradhana petrol pump),","01-4494600,9802030759,"
Neelez Fashion Boutique,"Kumaripati, Laltipur,","9801033880,9862375917,"
tsquad entertainment pvt ltd,"balaju nepal,","9808106554,9860003701,"
unity event,"balkhu ,","9851140040,9841607709,"
Crusade Himalaya,"Keshar mahal, Thamel,","4423578980-8121644,,"
Institute of film and photography,"Anamnagar,","unknown,9851120234,"
Ktm vape city,"Kathmandu 44600,","+977 9869348275,,"
DREAMS AND IDEAS,"Teku,","426098942303559851052708,98510527089841122333,"
Lumiere Nepal,"Bagmati,","unknown,,"
Yeipu Fashion Designing Institute,"Pulchowk , in front of Saleways Department ,","015536202,9841557564,"
Sastodeal,"Pandol Marga, Kathmandu 44600,","+977-15-970-000,,"
Virjeans Collection,"Kathmandu ,","015713732,9851170180,"
Virgo Fashion Studio & Collection,"Dhapakhel, Lalitpur,","9803450387,9803450387,"
Gorkhali Garima Enterprises,"Kumaripati, Lalitpur,","009779851104528,009779851059511,"
Ok Dam Online Shopping,"Bagmati,","+977 9801322220,,"
RADHA STRUCTURE AND ENGINEERING WORKS PVT. LTD.,"Baneshwor,","44721114491132,,"
UDECO PVT. LTD.,"Satdobato, Lalitpur","5541289,,"
Cybersansar.com,"Teku,","00977-1-4230355,,"
Dreams & Ideas,"Teku, P.O. Box: 3094, Ktm,","00977-1-42609899851052708,,"
Modelsansar.com,"Teku,","00977-1-4260989,,"
Purnaa,"Karyabinayak 44700,","unknown,,"
S.Kumar Watch Company,"Tribhuwan chowk,","081521118,009779848031176009779847996635,"
Trends events & advertising Marketing Consultants Pvt. Ltd.,"Putalisadak, P.O. Box: 8975 EPC 5680,","00977-1-44410734445938,,"
ANMOL NARROW FABRICS,"Bahuwari,","527276528597,,"
CLASSIC THE FURNISHING CENTER,"Kamaladi,","0162040834218117,,"
GYASIKA TEXTILE PVT. LTD.,"Ind.State,","977-57-412260,9855068002,"
NEW MADAN FURNISHERS PVT. LTD.,Lalitpur,"55232365520318,,"
OM STEEL STRUCTURE PVT. LTD.,"Imadole, Lalitpur","98510794719841323582,,"
PADMA SHREE PVT. LTD.,"Nagpokhari,","44119004435688,,"
P.B. FURNISHING,"Bagbazar,","42290174252388,,"
PURNA METAL CONCERN PVT. LTD.,"Ind.State, Lalitpur","55214075526062,,"
RATUAL ENTERPRISES,"Man Bhawan, Lalitpur","55269635528959,,"
SEL-INTERNATIONAL PVT. LTD.,"Tripureshwor,","42608584260874,,"
SHIV SHAKTI CHEMOPLAST PVT. LTD.,"Teku,","41000414100042-45,,"
APALA D,"Surkhet Road,","5237489858023242,,"
MALLA FURNITURE LAND,"New Road,","551563,,"
NAMASTE FASHION CRAFTS,"Jyatha,","4250862,,"
PASHUPATI FURNITURE'S,"Bagbazar,","42455394246595,,"
PATAN IRON AND STEEL INDUSTRIES PVT. LTD.,"Ind.State, Lalitpur","55264165527617,,"
R.S. ENTERPRISES PVT. LTD.,"Putalisadak,","44283574439121,,"
STYLE CHECK,"Khichapokhari,","42403769851025761,,"
The Creation - School of Design,"Lazimpat,","977 1 4437892 / 4435957,,"
Myshopasiacom,"Bagmati,","+977 -1-4372677,,"
AGRO ENGINEERING WORKS PVT. LTD.,"Butwal/Bhairahawa,","520179540797,,"
AMATYA FASHION CENTRE,"Thamel,","4416658,,"
BUTWAL KAPADA UDYOG PVT. LTD.,"Ind.State, Butwal/Bhairahawa","537282,,"
DAS FASHION DESIGN,"Thamel,","44267044261095,,"
INTER-TECH PVT. LTD.,"Ind.State, Butwal/Bhairahawa","540149,,"
INTER-TECH PACKAGING PVT. LTD.,"Butwal/Bhairahawa,","548147,,"
MANETA FASHION CENTRE,"Thamel,","4418296,,"
NATIONAL STRUCTURE AND ENGG. PVT. LTD.,"Idustrial Estate, Lalitpur","5521405,,"
NAVA JEEWAN TEXTILE PVT.LTD.,"Ind.State, Lalitpur","5526537,,"
SHREE TEXTILE PVT.LTD.,"Ind.State, Lalitpur","55223125522412,,"
SHRUTI FRUNISHERS,"Adarshnagar,","525946523964,,"
SIDDHI FURNISHING CENTER,"Lagankhel, Lalitpur","5524164,,"
SILK PALACE,unknown,"4228210,,"
SUPREME TEXTILE,"Ind.State, Lalitpur","5524649,,"
THE INSCAPE INTERIOR DESIGNERS,"Kamaladi,","4224857,,"
ARIHANT MULTI-FABRICS LTD,"Sonapur,","540385,,"
ARUNA TEXTILES PVT. LTD.,"Ind.State,","6611301,,"
BABALUKO PASAL,"Narayangadh, Chitwan","533032,,"
BAJRANGA BALI CHURI BHANDAR,"Singhadevi,","520585,,"
BHAIRAV IMPEX AND SUPPLIERS,"Narayan Path, Butwal/Bhairahawa","520717,,"
BHAWANISHERS FURNITURE AND FURNISHING,"Dillibazar,","4418916,,"
BISHAL IMPEX,"Jhapa,","540406,,"
BLUE BELLS SILK FABRIC IND.,"Kathmandu,","42672884230876,,"
BOMBAY DYEING,"Putalisadak,","4242046,,"
CHANDRA GOPAL UMA SHANKER,"Narayangadh, Chitwan","520474521834,,"
DARK HORSE,"Thamel,","4217703,,"
EVEREST METAL INDUSTRIES,"Ind.State,","521647,,"
FASHION DESIGNERS,"Khichapokhari,","4213047,,"
FEMINA KURTA COLLECTION,"Asan,","4221100,,"
FURNITURE AND FURNISHING,"Bagbazar,","4244100,,"
Galaxy Modeling,"Bagbazar,","00977-1-4245538,,"
G.K. FURNISHING,"Dillibazar,","44408334440949,,"
HARI FURNISHING CENTRE,"Putalisadak,","44228724430602,,"
HIMALAYAN ENGINEERING WORKS,"Ind.State,","521747,,"
