Name,Address,Telephone
"Shree Yoga Retreat, Nepal","Maitrinagar, Kirtipur,","9864537187+977-9814140515,9814140515,"
Volunteer and Internship Foundation Nepal,"Banasthali kathmandu,","+977-9843290700,,"
PREMIER TOURS AND TRAVELS,"NAGPOKHARI NEAR JAI NEPAL HALL,","+977-01-444335801-4437919,9849078549,"
Snepal Tours & Travel Pvt. Ltd.,"Thamel,","00977-1-4260072,+919873014569,"
Star Adventure Asia Treks (P) Limited,"Boudha-6, Kathmandu, Nepal,","00977-1-4499244,00977-9803626021,"
Everest Expeditions Nepal Pvt. Ltd.,"Budanilkantha-12, Kathmandu, Nepal, Kapan-1,","014820243,9841704019,"
Retreat Serviced Apartments,"Bijeshworimarg, Swayambhunath,","977-01- 4274837,977-9801098941,"
World Race Travels & Tours,"Koteshwor,","015147079015147220016923746,9851012105,"
We Volunteer Nepal,"Radha Krishna road, Raniban,","9818828440,9818828440,"
Accessible Adventure Pvt. Ltd,"Kaldhara, Thamel,","+97714701444+9779851058702,+9779801026351,"
Friendship World Treks,"Budanilkantha-12, Kathmandu, Nepal,","+97714820951,+97714820951,"
Incredible Himalayan Sherpa Adventure Pvt.Ltd,"Amrit Marg st. Bhagwan Bahal, Thamel, ktm,","+977-1-4411641,+9779841071023,"
Adam Tribe Organic Farm Pvt. Ltd.,"Pakhure, Makanpur , Ghadichhina , Kaski , Ghandichok 8,","9856034795,9808483777,"
The Nepal Trekking Company (p).Ltd,"Thamel Chhetrapati 16,Kathmandu Nepal,","014 219082,+977 9841812218,"
The Milestone Hotel,"Chibahal Marg, Thamel,","+97715352312,+9779813553698,"
Hotel National Park Sauraha,"sauraha road 44200, Chitwan National Park, Chitwan, Nepal,","09845155749,09845155749,"
Nepal Holiday Trek and Expedition,"Thamel, kathmandu,","+97714414328,+9779851003754,"
Global Link Tour & Travel,"Bagmati,","014440560,9851195940,"
Mountain Sherpa Trekking and Expeditions,"Bhagwan Bahal, Thamel, Dabali Marg-29,","(+)977 - 1 - 44 35 828,,"
The Nepal Trekking Company (p).Ltd,"Thamel Chhetrapati 16,Kathmandu Nepal,","014 219082,+977 9841812218,"
Ace Holidays Travel & Adventure,"Bhagawatibahal, Thamel,","+9779806848760,+9779806848760,"
Adventure Mountain Treks and Expedition Pvt. Ltd,"Nayabazar-16,","9841720005,9841720005,"
Nepal Club Travel & Tours,"Changunarayan - 8, Bhaktapur, Nepal,","unknown,0977 9841655954,"
Tranquil Homestay,"P.O.B 6817, Mulpani-9, Mulpani Chaur (near Sikhsyalaya School and Nepal Engineering College),","977 1 4160069,9779849600410,"
Eco Homestay Chitwan,"Ratnanagar-12, Jirauna, Chitwan, Nepal,","056-561942,9845591149,"
Hotel Kamal,"KamalPokhari,","01-44165684416354,9851170732,"
Non profit,"Jorpati,","9851002112,9851002112,"
Sineru Serviced Apartments,"Tokha Road, Dhapasi,","01-5125023,+977-9801098946,"
Snow touch travel and treks pvt. ltd,"lakeside 6 pokhara,","061-467645,9856047927,"
Nepal Trekking & Tour Guide,"Manamaiju-8,Kathmandu,","0977-014361311,0977-9851051658,"
Real Adventure Nepal,"Thamel,","44 44 618,9801035699,"
Backpacker Treks & Expedition (p).Ltd.,"Sorhakhutte,Kathmandu,Nepal,","unknown,9851053697,"
DESTINATION BUDDHA TOURS & TREK SERVICES,"Amrit Marg, Jyatha-30, Thamel, Attention: Simon, Kathmandu, Nepal,","+977-1-4220462,+977- 9861 677021,"
Hike Himalaya Treks & Expeditions Pvt. Ltd.,"Gokarneshwor-15,Kathmandu,Nepal,","+97714916076,9813209399,"
Hotel Leela,"Prithivi Chowk-08, Pokhara,","061-530029/520029,9856030029,"
Kailash Holidays Pvt Ltd,"Thamel, Baghwan Bahal,","+977-1-4429014,9751012762,"
Shin Haru Treks and Expedition (P) Ltd,"Chaksibari Marga, J. P Road, Thamel-29, Kathmandu,","+977-1-42613334257266,98510419549841541573,"
DEBONAIR TRAVEL AND TOURS PVT. LTD.,"JYATHA , THAMEL KATHMANDU,","59047475904748,9843181391,"
Aaphanta Travels and Tours,"Centerpoint, lakeside,","+977-061-467054,+977-9816647729,"
DEURALI TRAVELS AND TOURS,"ILAM, BUSPARK,","027520228,,"
First Fly Travels & tours P.Ltd,"thamel, Kathmandu ,","977-1-4413260/4413620,977-9851083206/9808473529,"
Mission Himalaya Treks and Expeditions Pvt. Ltd.,"Thamel, Kathmandu, Nepal,","+977 1 4410175,+977 9841965533,"
Seven Star Trekking & Tours Pvt. Ltd,"Thamel,","+977-1-4265559,+977-9851138559,"
"TEAM HIMALAYA P,LTD","THAMEL,","014387378,,"
Uttam Kuti Homestay,"Panauti-1 Gairigau,","977-11-440811,977-97510117359841659322,"
Epic Adventure,"Thamel,Kathmandu,","014700419,9861500419,"
Namaste homestay and apartment,"Gyandeep Marg, Lazimpat,","9851001068,9803667047,"
