Name,Address,Telephone
OM Networks Pvt Ltd,"Dillibazaar,","01-4435018,,"
GOMATI SANITARY,"#28, Sungava Marg, Bhotebahal, Kathmandu.,","+97714100020,+9779801101350,"
GOPAL HARDWARE,"Main Road Opposite NIC Asia Bank, Biratnagar Branch Beside Ward Police Office,","+977-21-524497,98027001379852020957,"
Prime Soft Services Pvt. Ltd.,"Milan Chowk,","9857041343,9867157330,"
Manakamana Trade And Senetary,"Bauniyan Bazaar Highway Road Kailali Nepal ,","9868528726,9868528726,"
Sulabhbazar,"Boudha, Nayabasti,","9851154847,,"
HELPING SOCIETY TRADING PVT LTD,"Kathmandu Metropolitan 25, Chittadhar Marg, Tengal, Kathmandu,","014249226,9840253927,"
Rainson Traders,"Murli Chowk-4 Janakpur ( Nepal ),","9844028696,9844028696,"
Tirupati Impex,"Soalteemod,","+977-1-4271416,,"
R.B. Enterprises,"Jawalakhel, Lalitpur ,","015530669,9851217336,"
Bageshwory Glass House & Traders,"Khas karkado, surkhet road 18 nepalganj banke,","+9779816520381,+9779858027617,"
NEW KALPANA TRADERS,"dallu kathmandu,","015007571,9841917909,"
New Janki Glass House,"Bhanu Chowk mils area janakpur,","041523217,9801623217,"
JAY TRADERS AND HARDWARES,"Surkhet Road,","+977-81-411102+977-81-411003,985802001698195325519858033650,"
Smriti Khusbu Traders,"Near Jilla Prasasan Karyalaya, Dhangadi,","9848429740,9808100093,"
Ranjeet Ply & Hardware,"Janakpur 4, Murali Chowk ,","041527253,9801627253,"
Surya hardware,"linkroad ghantaghar,","051-529567,9855036021,"
Kankai Mai Hardware & Supplier's,"Kalanki-14, Inside Ringroad,","9841327482,9851004349,"
Ktm vape city,"Kathmandu 44600,","+977 9869348275,,"
City Ply & Hardware,"Mils area bhanu chowk road,","9844556745,9801623217,"
N. L. HARDWARE AND GLASS CENTRE,"Mahalaxmi Sthan, Lalitpur,","5537066,+9779849199647,"
Aman Enterprises (Hardware Store),"Aman Enterprises (Hardware Store), Mercantile Building, Near Laxmi Bank, Adarshnagar, GP Road, Birgunj, Parsa, Nepal,","009779814255707,,"
Prima Trading Concern,"Kalanki-13, P.O. Box: 2669, Ktm,","00977-1-42607005225451,9801030216,"
SIDDHARTHA OVERSEAS,"East-West Highway,","+977-71-438546+977-71-438547,,"
BAGMATI COMMERCIAL PVT LTD,"Bhansar Marg, Teku-12,","01-4239429,9851126112,"
GADHI MAI TRADERS,"AALU MAILA CHOWK,","061538717,9856029071,"
Gautam Suppliers,"Chiple Dhunga,","521854524852520951,+9779856020593+9779846026672,"
KAMAL HARDWARE,"birtamode,east highway,near hicola,jhapa,","97723540170,9779852671003,"
Shree Krishna almuniem and steel trades,"Bharatpur-10,","9865066510,9865066510,"
Shree Shyam Hardware (P) Ltd.,"Hanagulu Chowk, Balkhu, Kuleshwor, KTM.,","009771537583500977142732120097714282337,009779851013876009779851197601009779851198204009779851057275,"
B. Glass & Plywood,"Tersapatti,","061-524667061-539625,,"
H. B. BEARING,"Ghadiarwa Pokhri road,","521908525991,,"
KAILASHPATI ENTERPRISES,"Shahid Chowk, Narayangarh, E - W Hwy,","+977-56-595457,,"
RAJEEV TRADING CONCERN,"Main Road, Butwal/Bhairahawa,","5206095226099857020609,,"
Govind Hardware,"Hanuman Das Marg, Biratnagar 56613,","021-530377,,"
New R. K. Enterprises,"New Baneshwor,","977-1-4782338,977-9851037410,"
Roshika Muskan Hardware,"Sinamangal 9,","9860599103,9803243139,"
Jain enterprises,"Bhotebahal,","+977-1-4215982,+977-9841501808,"
ABHINAY INTERNATIONAL CONCERN,"Mid Baneshwor,","44918649841427671,,"
Bajra & Bajracharya Enterprises,"Lagankhel, P.O. Box: 8975 ktm,","00977-1-5524851Ext 117,,"
BAJRA AND BAJRACHARYA ENTERPRISES,"Lagankhel, Lalitpur","553341355248515533447,,"
EVEREST HARDWARE COMPANY,"Tripureshwor,","42231504241724,,"
FIXO TECHS PVT. LTD./RUF TECHS INDUSTRY PVT. LTD.,"PIA, Lalitpur","55500315536638,,"
GAUTAM OVERSEASE,"Kuleshwor,","42878144285783,,"
Giznp,"Bagmati,","unknown,,"
HILLTAKE INDUSTRIES PVT. LTD.,"Soalteemode,","42700134283485,,"
Jyoti Overseas Traders,"Tripureshwor, P.O. Box: 2829, Ktm,","00977-1-426371842545684244010,,"
