Name,Address,Telephone
Shangri-La Hotel,"Lazimpat, P.O. Box: 655, Ktm,","00977-1-441299944197424419743,,"
Photo Choice Nepal Wedding photography,"Koteshwor,","015149951+977 1 443 8055,9841509591,"
God Entertainment,"Putalisadak,","9851222031,9851222031,"
Apollo Events and Advertisement Pvt. Ltd.,"Maharajgunj-4, Kathmandu,","+9779851197877 / 9803868510,9851197877,"
VENUS IVF,"Venus IVF centre third floor-Venus hospital Mid Baneshwor Kathmandu Nepal,","977-980-8383703,,"
Love World Travel and tours pvt ltd,"Satdobato, Lalitpur,","+977-1-5527846,9803977860,"
Mac Support Pvt.Ltd,"kathmandu Nepal,","9808612382,9808612382,"
Global Events Pvt. Ltd,"Maharajgunj-4,,","+977 9851-197877,9851197877,"
Clover,"Kamaladi apex building,","014168619,9841966259,"
Hotel Swapna Bagh,"Sumipatan, Lakeside, Baidam-6, Pokhara, Nepal,","00977-61-467223,9851123614,"
JST Productions,"Kupondole Height, Lalitpur,","9818849361,9818849361,"
Hotel Bikash,"Hasanpur 5 kailali Nepal ,","00977-91-525033,,"
Devsuits Pvt. Ltd.,"Chandragiri - 20, Kathmandu,","+977 1 5523280,+977 9813702070,"
Blue Moon Weds,"Baneshwor, Kathmandu 44600,","9851122049,9801122049,"
DESTINATION BUDDHA TOURS & TREK SERVICES,"Amrit Marg, Jyatha-30, Thamel, Attention: Simon, Kathmandu, Nepal,","+977-1-4220462,+977- 9861 677021,"
tsquad entertainment pvt ltd,"balaju nepal,","9808106554,9860003701,"
JANASEWA TOUR & TRAVELS PVT. LTD.,unknown,"071-544491,9857011717,"
Malka International Travel & Tours pvt.ltd,"chuchepati-07,","4468909,9843491977,"
Nepscrew Event Management,"Birgunj and Kathmandu,","9845190850,,"
PIGEON TRAVEL AND TOURS PVT. LTD.,"Thamel,","4410350,,"
Budhanilkantha BandBaja,"budhanilkantha,","+977-984180996198497937589818933558,,"
Event Solution Pvt.Ltd.,"Kupondole-01, Lalitpur,","01-5180402 / 01-5524061,,"
HOTEL DEVOTEE,"Kailali,","091521618,,"
Doctors on Call Nepal,"Kamalpokhari, Kathmandu-28, Nepal,","+977 (1) 4011777,,"
Zigzag Digital Photo Studio,"Madhyapur Thimi-7, millroad,","6636014,9841213296,"
ABLE NEPAL TRAVELS AND TOURS PVT. LTD.,"P8C9+9W6,","+977-1-4422777,,"
Institute of Solar Technology,"Kalimati,Kuleswor ( Naya Basti ) - 14, Kathamandu, Nepal.,","977-1- 0000000,+977-9841440353,"
Kritya Hub,"Bluebird Mall, Kathmandu 44600,","+977 1-533-8338,,"
ANNAPURNA TRAVELS AND TOURS PVT. LTD.,"Durbarmarg,","42235304223940,,"
EXPLORE HIMALAYA TRAVEL AND ADVENTURE PVT. LTD.,"Bhagwan Bahal,","44181004418400,,"
GREEN PLANET TRAVELS AND TOURS PVT. LTD.,"Thamel,","42605494262059,,"
LES PORTES DE L,"Thamel,","44224974425289,,"
PEACE HIMALAYAN TRAVELS AND TOURS PVT. LTD.,"Thamel,","47009104701017016218242,,"
SAHARA WORLDWIDE TRAVELS AND TOURS PVT. LTD.,"Thamel,","0162088934215965,,"
TIBET FAMILY TOURS AND TRAVELS PVT. LTD.,"Thamel,","4257275,,"
TRAIL BLAZER TRAVELS AND TOURS PVT. LTD.,"Thamel,","977 9851027025 (Suresh Amgain)44110214411366,,"
Destiny Event,"Jhamshikhel,","9841193495,9841193495,"
MOUNTAIN MONARCH ADVENTURES PVT. LTD.,"Lainchaur,","4021768+977 -98510-79588,,"
THE EAGLE EXPORT,"Thamel,","4701022,9841710743,"
BLUE SKY TRAVEL AND TOURS PVT. LTD.,"Thamel,","44113224413757,,"
EventsMo,"Bagmati,","+977-9841472979,,"
Stemcrafters,"texas,","9729051777,,"
ABC TOURS AND TRAVELS,"Bouddha,","448755244669624479728,,"
ANGY,"Pulchowk, Lalitpur","50106595010364,,"
BHANDARI TOURS AND TRAVELS PVT. LTD.,"Thamel,","47002674701157,,"
BLUE SKY TREKS AND EXPLORATION PVT. LTD.,"Thamel,","4253205,,"
BUSINESS PROMOTION CENTRE,"Pulchowk, Lalitpur","55253485525898,,"
DIRECTION EXHIBITION AND CONVENTION CENTER,"Tripureshwor,","41171014117104,,"
HIMALAYAN ABODE TRAVELS AND TOURS PVT. LTD.,"Thamel,","47009314700951,,"
ICELAND TRAVEL AND TOURS PVT. LTD.,"Chuchepati,","4465302446530144908552141400,,"
ICT ASSOCIATION OF NEPAL,"New Road,","4246031,,"
INTERWORLD TRAVEL SERVICES PVT. LTD.,"Kamalpokhari,","4440407-084444269,,"
MACTREK AND EXPEDITION PVT. LTD.,"Thamel,","42489724260219,,"
MARKET PROMOTION CENTRE PVT. LTD.,"Baluwatar,","4419781,,"
MONA LISA TOURS AND TRAVELS PVT. LTD.,"Lakeside,","533314521970,,"
SAI TRAVELS AND TOURS PVT. LTD.,"Thapathali,","42194794258447,,"
SPACE CRAFT TRAVEL AND TOURS PVT. LTD.,"Thamel,","4227180,,"
SUNNY TRAVEL SERVICES PVT. LTD.,"Baluwatar,","443219044267414420443,,"
Wallpaper Mart Butwal,"Traffick Choke,","9857072036,9857072036,"
MARUTI NANDAN TOURS AND TRAVELS PVT. LTD.,"Dharampath, New Road,","+977-1-4242288,,"
ADMIRE TOURS AND TRAVELS PVT. LTD.,"Lakeside,","98462323189804132577,,"
DE EVEREST TRAVELS AND TOURS PVT. LTD.,"Thamel,","47000144700687,,"
METRO EVEREST TREKS AND EXPEDITION PVT. LTD.,"Thamel,","47001822013050016207476,,"
SPEEDY TRAVELS SERVICE,"Bhagwan Bahal,","44227102090523,,"
Storm Communications Nepal Pvt Ltd,"Naxal,","014438410,9802080079,"
BON-JOUR TOURS AND TRAVELS PVT. LTD.,"Barmelitole, Butwal/Bhairahawa","525236225237,,"
