Name,Address,Telephone
Asian Mystery Treks,"Thamel,","+977 1 4414079+977 -985-112-2733,+977 9851122733,"
Chandranigahpur Guest House,"Chandranigahpur,","055540,9845116448,"
HOTEL JAY VIJAY,"Sunauli, Butwal/Bhairahawa","523029,98470122119804482622,"
NEW PARENT GUEST HOUSE,"Lakeside,","4621609846093666,,"
Active Journey Holidays Pvt. Ltd.,"Thamel- 26, Kathmandu,","9741253004,9841448249,"
"Namgyal Lodge, Machermo","Gokyo Lake Marg, Khumjung, Solukhumbu, Nepal,","+977 98101188409803615643,+977 98101188409803615643,"
Mountain River Rafting,"Thamel, Kathmandu Nepal,","09851088440,09851088440,"
"Professional freelancer trek/tour guide in Pokhara, Nepal","Lakeside-6,Pokhara, Nepal,","009779846058846,009779846058846,"
Pushkar Guest House,"Lakeside,","97761463053,9779846155717,"
Yeti guest house,"Lakeside,","061462423,9856047915980104242,"
The Milestone Hotel,"Chibahal Marg, Thamel,","+97715352312,+9779813553698,"
Hotel Dream City,"Paknajol marg-16, Thamel ,","+9779849683092,,"
Hotel National Park Sauraha,"sauraha road 44200, Chitwan National Park, Chitwan, Nepal,","09845155749,09845155749,"
MANDALA HOTEL PVT.LTD,"LAZIMPAT-2, KATHMANDU, NEPAL,","+97714001733,+9779849867202,"
Three Brothers Apartment & Hotel,"Lazimpat,","+977-1-4002084,+9779841227317,"
Friend's Guest House,"Lalachhen, Bhaktapur, 44800,","+977-016618444,+977- 980-8515544,"
Royal Astoria Hotel,"G.P.O. Box 981, Hattigaunda, Kathmandu, Nepal,","977 1 43728844376845,9851022447,"
Tranquil Homestay,"P.O.B 6817, Mulpani-9, Mulpani Chaur (near Sikhsyalaya School and Nepal Engineering College),","977 1 4160069,9779849600410,"
Sagarmatha Apartment Bed & Breakfast,"Milap Road, Sanepa, Lalitpur,","+977-1-5525556,+977-9813118965,"
Traveler's Holiday Inn Pvt. Ltd,"Amrit Marg, Jyatha Thamel,","+97714248945,+97714248945,"
Iblues Restro,"Nayabazar Road, Pokhara 33700,","061-541639,,"
Mountain Delights Treks & Expedition Pvt. Ltd.,"Z street, Thamel, Kathmandu, Nepal,","+97714700190,+97714700190,"
Kiwi Guest House,"Lake Side,","9804158455061463652,9804158455,"
Buddha Rooms,"Jawalakel Lalitpur,","980883599,980883599,"
HOTEL RED PANDA AND LODGE,"Thamel-16,Paknajol Marga,Kathmandu,Nepal","+97714700668,9851148369,"
New Friendly Home,"256 Lakeside Marg, Gaurighat.,","+97761461677,+9779846070587,"
Annapurna Guest House (P.) Ltd.,"Thamel, P.O. Box: 20928, Ktm,","00977-1-441746144201594422070,00977-9851041362,"
INFINITE TOURS & TRAVELS PVT.LTD,"P O Box 06, Thamel, Kathmandu,","01-4218271,9851179971,"
International Guest House Pvt. Ltd.,"Kaldhara, P.O. Box: 7060, Ktm,","00977-1-425166142522994267888,00977-9851040832,"
LAKE VISION GUEST HOUSE,"Lakeside,","4622019846022757,9846294623,"
Mahabuddha Guest House,"Mahabauddha, P.O. Box: 395, Ltp,","00977-1-5540575,00977-9841591385,"
Rhino Lodge Bardia (P.) Ltd.,"Bardia, Bardiya","084-6904899858022720,9851031791,"
Siesta Guest House,"Thamel Marg-29, P.O. Box: 12030,","00977-1-+977-1-4212818,00977-+977-9851022200,"
Annapurna Guest House (Pvt.) Ltd.,"Thamel,","44174614420159,,"
Highlander Guest House (P) Ltd.,"Thamel, P.O. Box: 10987, Ktm,","00977-1-4700066,,"
International Guest House (P) Ltd.,"GPO: 7060, Ktm, Kaldhara,","425229942516614410533,,"
Khangsar Guest House (P) Ltd.,"Thamel, P.O. Box: 25451, Ktm,","00977-1-4260788,,"
Pal Rabten Khangsar Guest House,"Boudha, P.O. Box: 4377, Ktm,","00977-1-44681114465055,,"
Potala Guest House,"Thamel, P.O. Box: 5390, Ktm,","00977-1-4220467,,"
SHECHEN GUEST HOUSE AND VEGETARIAN GARDEN CAF,"Bouddha,","4479009,,"
Siesta House (P) Ltd.,"Thamel, P.O. Box: 12030, Ktm,","00977-1-4212818,,"
Souvenir Guest House,"Thamel, P.O. Box: 20005, Ktm,","00977-1-441027744182254412886,,"
Tushita Rest House (P) Ltd.,"Lazimpat, P.O. Box: 3004, Ktm,","00977-1-44329574432960,,"
Gurkha Lodge,"Lakeside, Thadopasal,shanti patan, Baidam-6 ,","061-462798,9846021237 / 9846153887,"
Kathmandu Madhuban Guest House (P) Ltd.,"Chhetrapati, P.O. Box: 10985, Ktm,","00977-1-42638019841910721,00977-9841340216,"
