Name,Address,Telephone
EXCOM GROUP (P) Ltd,"Sixth Floor, Four Square Complex, Naxal,","977-1-4416941/43,,"
D & S Complex,"35-37 Bhimbazaar Marg, Taxichok, Bagar-1,","061521526,+9779806706692+9779856035526,"
Ghar Gadi Nepal,"Lalitpur,","unknown,9801033880,"
Gharghaderikinaun.com,"Kapan, Kathmandu,","9841935603,9841935603,"
Nana Properties Pvt. Ltd.,"House no. 756 Lamtinga Marg, Baluwatar,","+01 444 37014429790,,"
Property 360 Nepal,"4 Square Complex Narayanchour Naxal,","01-4416943,,"
PropNepal,"Kalanki,","9861532963,9861532963,"
The Unity Eco Village,"Lauruk Kaski 4,","9805865724,9861686866,"
House for rent,"35-37 Bhimbazaar, Taxichok, Bagar-1,","97761521526,9779806706692,"
Property Care Online - Property Management System,"Thapathali,","977-1-4101043,,"
