Name,Address,Telephone
Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu,","5538687,9801074963,"
IME GENERAL INSURANCE LIMITED (IGI),"Narayanchour, Naxal, Kathmandu, Nepal ,","+977 01 44115104411520441173544255084425509,+977-9843214881,"
Eversafe Nepal Pvt. Ltd.,"Ravibhawan,","00977-1-523463052346315234632,00977-98510240949801024094,"
Nepal Multipurpose Co-Operative Society Ltd.,"JXRR+23F,","+977-23-540653,,"
Pashchimanchal Finance Co. Ltd.,"Butwal-10, Sukrapath,","541609543609,,"
Khalti Digital Wallet,"Bakhundole, Lalitpur,","1660-01-5-8888 (Toll Free)01-5010651,9801165561,"
Nepal Multipurpose Cooperative Society Ltd.,"J5X3+9GP, Mechinagar 57200,","+977-23-562022,,"
JANAKI FINANCE COMPANY LTD.,"Bhanu Chowk,","521586523339,,"
Touchstone Saving & Credit Co-Operative Ltd.,"Nayabazar, P.O. Box: 2175, Ktm,","00977-1-41506624150663,,"
Dove International Pvt. Ltd.,"GPO: 20184, Ktm, Baneshwore,","4499113,,"
Nibs Saving & Credit Co-operative Ltd,"Lekhnathmarg,","00977-1-4412562,00977-9841448358,"
PRASHANNA LAXMI SAVING & CREDIT CO-OPERATIVE,"KHICHAPOKHARI,NEWROAD,","+977-1-4248533,,"
B. B. Trade Links,"Thapathali, P.O. Box: 3016, Ktm,","00977-1-42453744245444,,"
Samriddhi Enterprises,"Bhairahawa,","071-522929,,"
