Name,Address,Telephone
Premium Academy,"Kalimati,","00977-1-4277632,9841-757769,"
Target International Education Pvt. Ltd.,"Chipledhunga, Pokhara, Nepal,","+977-61-572978,+977-9856032278,"
NAAST College,unknown,"525651,,"
Sagarmatha College of Science & Techology,"Sanepa, P.O. Box: 19910, Ktm,","00977-1-55272745547463,,"
Academia International College,"Gwarko Chowk, Lalitpur,","00977-1-55253935543037,,"
Sagarmatha College of Science & Technology,"Sanepa, Lalitpur, P.O. Box: 19910,","+977 1 55272745547463,,"
The British College,"Thapathali,","00977-1-4491653,,"
College of Business Management,"Dillibazar, P.O. Box: 3261, Ktm,","00977-1-44188694439716,9843969953,"
Seed financial academy,"Dillibazar, kathmandu,","01-4410113,9801904777,"
Index Advance Educational Consultancy,"New Baneshwor, Buddha Bhawan 2nd floor, Opposite of Rastirya Banijya Bank Ltd.,","+977-1-4474128,+977-9851120703,"
New Millennium College,"Dhumbarahi,","00977-1-44185854427987,014427987,"
Khwopa College,"Dekocha, Bhaktapur -5 (way to Changu Narayan),","977-1-6610932661803166143366616018,,"
Samriddhi College,"Nepal,","9810311677,9810311677,"
Nepal Commerce Campus,"Min Bhawan,","+977- 1- 4107044+977-1- 4107048,,"
NOBEL ACADEMY,"New Baneshwor,","+977-1-4781401,,"
Janakpur Engineering College,"Technovalley Janakpur-24 Dhanusha,","041-620888,9854025191,"
New Summit College,"Shantinagar Gate, Tinkune, Kathmandu,","014620522,,"
Presidential Business School,"Buddhanagar, P.O. Box: 25840, Ktm,","+977-1-4497706977-1-4482306,9851098593,"
Sagarmatha Engineering College,"Sanepa, Lalitpur, P.O. Box: 19910,","+977-1-55272745547463,,"
Top College in Nepal,"Thamel ,","014432892,,"
Pokhara College of Technology,"Simalchaur, P.O. Box: 42, Pkr,","5231635534683532844,,"
Sunway International Business School,"Maitidevi,","00977-1-44237364431725,9823047066,"
Eastern College of Engineering,"Radha krishna marga Pokhariya-2 ,","538412526925,9852026070,"
HARI KHETAN MULTIPLE CAMPUS,"Aadarsanagar Birgunj,","526167522961,,"
Khwopa Engineering College,"P.O. Box: 84, Bkt,","00977-1-66147946614798,,"
Institute of Solar Technology,"Kalimati,Kuleswor ( Naya Basti ) - 14, Kathamandu, Nepal.,","977-1- 0000000,+977-9841440353,"
Kumari Engineering College,"Boudha,","01-447040801-4469303,9851131132,"
Aarambha College,"Nahar Chowk, Bypass Road, Chitwan Bharatpur, Nepal 44207,","056-513664,9855033664,"
Lumbini Medical College,unknown,"075-520840522217,9857020307,"
Silver Mountain Graduate Business School,"Lainchour, P.O. Box: 8856, Ktm,","00977-1-44150384429151,00977-9851049329,"
AJW Institute of Advanced Studies,"Maharajgunj,","00977-1-442819744131374002547,,"
A.J. WILD INSTITUTE OF ADVANCED STUDIES,"Panipokhari,","44281974413137,,"
Apollo International College,"Lakhechaur Marga,New Baneshwor, Kathmandu,","00977-1-447484500977-1-4474851,,"
Asian College For Advanced Studies (ACAS),"Satdobato,","00977-1-55401832230359,,"
College for Professional Studies Pvt. Ltd.,"Maitidevi,","00977-1-44118054424431,,"
College of Information Technology & Engineering,"Subidhanagar, P.O. Box: 12277, Ktm,","00977-1-41118404111503,,"
Cosmos International College,"Palikhe Chowk,","541324,,"
Gandaki Medical College,"Prithivi Chowk,","538595526044207130,,"
Ganesh Boarding School,"Changunarayan Municipality - 3, Sundarthali, Jhaukhel, Bhaktapur,","9841042201,,"
Gautam Buddha IT & Management College,"Maitidevi,","44118054442431,,"
Golden Gate Int'l College,"Old Baneshwor, P.O. Box: 4059, Ktm,","00977-1-44770824495165,,"
Goldengate Int'l College,"Battisputali, P.O. Box: 4059, Ktm,","00977-1-44770824495165,,"
INDIRA GANDHI NATIONAL OPEN UNIVERSITY,"Gyaneshwor, Beside German Embassy,","+977-1-4445540+977-1-4434492+977-1-4413104,,"
International Institute of Higher Studies & Research,"Maitidevi,","44118054424431,,"
JANA MAITRI MULTIPLE CAMPUS,"Kuleshwor,","42772024286283,,"
Kathmandu School of Law (KSL),"Dadhikot,","00977-1-66344556634663,,"
KDBC Business School,"Koteshwor,","00977-1-460239669147396915129,,"
Liberty College,"Anamnagar, P.O. Box: 10407, Ktm,","00977-1-4222612,,"
