Name,Address,Telephone
ADVENTIST DEVELOPMENT AND RELIEF AGENCY NEPAL (ADRA),"Sanepa, Lalitpur,","55559135555914,,"
Federation of Nepal Cottage and Small Industries (FNCSI),"GPO Box: 6530, Maitighar Height,","+977-1-4222751+977-01-2003080,+977-985-7832505,"
International Nepal Fellowship,"Jawalakhel, P.O. Box: 1230, Ktm,","00977-1-5521183+977 61-570111,,"
ICIMOD,"Jawalakhel, Lalitpur,","977-1-5525313977-1-5525310977-1-5525311+977 1-5275222,,"
Nabil Bank Ltd.,"Adarsh Nagar,","521476521746+977-1-5970015,,"
Divya Technology-Accounting Software Solution,"3rd Floor Signature II, Sahid Shukra Marg, Teku ,","+977-01-4100068,,"
"Dura Student Society, Chitwan","Bharatpur, Chitwan,","+977984-567-4450,+977984-567-4450,"
Future Nepal Friendship Organization,"Thamel,","9849056230,9849056230,"
Gravity Water,"Bagmati,","unknown,,"
Co-operative Training and Research Center,"Bagmati,","+977-411-5678,,"
Daayitwa,"M8J4+36H 44600https - //www.google.com/local/place/rap/edit/location, Milap Rd, Lalitpur 44600,","+977-1-5444914,,"
Women LEAD,"Maitri Marg, Lalitpur 44600,","+977 981-855-3355,,"
National Innovation Center Nepal,"Bagmati,","+977 9841592361,,"
Indra Foundation,"Bagmati,","unknown,,"
Himalayan Climate Initiative,"Bagmati,","+977 980-181-9080,,"
