Name,Address,Telephone
Adventure White Mountain Pvt.Ltd,"Thamel ,","+977144111982,+9779851154520,"
Auto Parts International,"Putalisadak, P.O. Box: 3466, Ktm,","00977-1-42256074244317,,"
Raj Auto Works,"Kalanki,","00977-1-22002114271920,,"
Shibako Auto Trading,"Kalimati,","00977-1-42732274273034,00977-9851052587,"
Shibako Auto Trading,"Bafal,","00977-1-427451620133012013302,00977-9851052587,"
Vishwakarma Enterprises,"Putalisadak,","00977-1-42218044242321,,"
INCO Private Limited,"Kalikasthan, P.O. Box: 19849, Ktm,","00977-1-44319924433045,,"
J & K Enterprises,"Gwarko, P.O. Box: 8975 EPC 2208,","00977-1-5200971,,"
Maliram Shivakumar (SKF),"Jhochhen Tole, P.O. Box: 556, Ktm,","00977-1-42225234241504,,"
Shree STC Pvt. Ltd.,"Balkhu,","00977-1-5187249/5187352/5187353,9860131517,"
SKF Bearing,"GPO: 556, Ktm, Jhochhen Tole,","42225234241504,,"
Agni Incorporated Pvt. Ltd.,"Kuleshwor,","00977-1-4277140,,"
Biratnagar Diesels,"Kalanki,","00977-1-4036545 4036546,,"
Auto Point Center,"Teku,","00977-1-42445914253680,00977-9851015000,"
Bageshwari Trading,"Godawari Road,","091-520001,9858421000,"
Basanta Motors,"Basantapur, P.O. Box: 2241, Ktm,","00977-1-424036742447274240283,00977-9851039991,"
Alpha Spares & Tool Co.,"Kuleshwor,","00977-1-4288703,,"
Anuj Auto Parts,"Teku,","00977-1-4266625,,"
Asiatic Trading Incorporated.,"Kamaladi, P.O. Box: 8975 EPC 5095,","00977-1-42464284245890,,"
Auto Service,"Balaju,","00977-1-43533994355111,,"
Autoland,"Teku, P.O. Box: 4790, Ktm,","00977-1-42612354261433,,"
Awai Auto Trading Co.,"Jyatha, P.O. Box: 1241, Ktm,","00977-1-42493754249115,,"
Bhadrakali Motor Parts Centre,"Kalanki,","00977-1-4271806,,"
Bir Singh Auto Centre,"Sitapaila, P.O. Box: 5697, Ktm,","00977-1-42702434276880,,"
Biratnagar Diesels,"Biratnagar (H.O.),","522708521113,,"
B. S. Enterprises,"Exhibition Road, P.O. Box: 5697, Ktm,","00977-1-42240994230528,,"
Car Plaza,"Dharan Road,","522538521344,,"
Cross Road International,"Teku,","00977-1-42161454243505,,"
Cube Intercontinental Pvt. Ltd.,"Kamaladi, P.O. Box: 21226, Ktm,","00977-1-421935042193514241132,,"
Gandak Traders,"Tripureshwor, P.O. Box: 14203, Ktm,","00977-1-42607334261092,,"
International Auto Parts & Engineering Works Shop,"Srijana Chowk, P.O. Box: 492, Pkr,","525729528943,,"
International Business Centre (P.) Ltd.,"Gongabu,","00977-1-4355589,,"
Kajala Bearings,"Dharan Road,","522300,,"
Kantipur Auto Concern,"Naxal,","00977-1-44133022081135,,"
Laxmi Auto Parts,"New Baneshwor, P.O. Box: 2757, Ktm,","00977-1-4780929,,"
