Name,Address,Telephone
MUNCHA HOUSE,"New Road,","977-1-5535757977-1-553941442214704255479+977 1-5550877,,"
Babyshopnepal.com,"Sukedhara,","9801087615,9801087615,"
HAPPY HOURS TOYS,"Durbarmarg,","4233559,9851239025,"
Furni World,"New Baneshwor,","01-4104367,985109219098484177159804621743,"
Enroz Group P. Ltd: Online shopping in Nepal,"Old Baneshwor, Kathmandu, Nepal,","01-4487312,,"
RK electronic and crafts,"Janpath tole, Biratnagar, Nepal ,","9812327166,9812327166,"
Evergreen Kid Zone,"Kareshwor Marga, Kathmandu 44600,","9862147900,9862147900,"
Neelez Fashion Boutique,"Kumaripati, Laltipur,","9801033880,9862375917,"
Discount Pashmina,"720 Thamel Marg Kathmandu, Nepal,","4418151,9818677491,"
LEATHER WINGS PVT.LTD.,"Bansbari,","+977 1 437062043714804372120,,"
RedDoko,"Kathmandu,","01-4031771,9801044204,"
Babyland,"Siddhartha Chowk,","+9779856029435,,"
"iCare Maternity Clothing Co.,Ltd","45th Building, Block1, Zhangkeng, Minzhi, Shenzhen, China","86-755-33167678,,"
Rahul Funiture Industry,"Beldangi Road, Nearby LifeLine Hospital,","9842649889,9806087122,"
Radhakrishna Trade and Concern,"Pepsicola-32, Kathmnadu,","01 4991197,9851071896,"
S R International pvt. ltd.,"Nikosera, thimi, Bhaktapur,","9843317867,,"
Big Apple,"Durbar Marg,","00977-1-4231154,,"
CASHMIRE COLLECTION INDUSTRIES PVT.LTD.,"Kalanki-14,","009779843455657,009779843455657,"
Ratna Furniture,"Kharahani, Parsa,","9855066538,9845083328,"
LIBERTY SHOES SHOW ROOM,"Chabahil,","+977 1-4222016,,"
Maayus.com,"Lalitpur 4,","9823404777,,"
SKYSHOP NEPAL PVT. LTD.,"Kathmandu Mall,","9851058159,9851058159,"
My Shop - online shopping in Nepal,"Nakkhu, Lalitpur,","unknown,9851222136,"
EDUCATIONAL TOYS CENTER,"Pulchowk, Lalitpur,","98414024969851063593,9861135530,"
AJAY POLYMER INDUSTRIES,"Murli,","522773521773,,"
CHAINE TRADING HOUSE,"Baluwatar,","44264294417062,,"
D.R. TRADE CONCERN PVT. LTD.,"Khichapokhari,","42577634252285,,"
KHUKURI FOOTWEAR INDUSTRIES PVT. LTD.,"Adarshnagar,","521669525085,,"
Kosheli House,"Bhotahity,","00977-1-42495964248818,,"
NARAYAN INDUSTRIES PVT. LTD.,"Butwal/Bhairahawa,","540178541256,,"
NEPAL FOOTWEAR CO. LTD.,"Teku,","410004141000424100043-45,,"
SHIKHAR SHOE INDUSTRIES PVT. LTD.,"Guchhatole,","42591334252234,,"
NEPALESE WOOD CRAFT,"Chakrabahil, Lalitpur,","55346365529793,,"
RARA CHAPPAL UDYOG,"Murli,","522773521773,,"
SUPREME RUBBER INDUSTRIES,"Murli,","522773521773,,"
D SHOPPIE,"Kumaripati, Lalitpur","55250389841192239,,"
PAUPOSH SHOE CENTRE,"Bishalbazar,","4228725,,"
SARASHOWTI SHOE CENTER,"Old Baneshwor,","9841568747,,"
VIJAY SHREE IMPEX,"Bhotebahal,","4255207,,"
ARA SHOE INDUSTRIES,"Bahuwari,","522223,,"
ARIHANT TRADE CONCERN,"Dharmapath,","4241453,,"
Bhadrakali Toys Store,"Wotu Tole,","00977-1-42243354246819,,"
COSELI CHHALA JUTTA UDYOG PVT. LTD.,"Balaju,","4356711,,"
HIMAL FOOT WEAR INDUSTRY PVT LTD,"Bijeshwori,","42701404224216,,"
MAHIMA SHOES AND LEATHER HOUSE,"Amarpath, Butwal/Bhairahawa","543557540167,,"
NEPAL SHOE INDUSTRY PVT. LTD,"Lazimpat,","4414477,,"
RELAXO FOOTWEAR IND. PVT. LTD.,"Khichapokhari,","42500664249880,,"
TOSCANA NEPAL PVT. LTD,"Daalhi,","4474609,,"
WING TRADERS,"Bansbari,","43714804372120,,"
NEPAL GRIHINI UDYOG,"Ghattekulo, GPO Box: 6403,","+977-1-4421031,,"
ANNAPURNA FOOTWEAR INDUSTRY,"Krishnagalli, Lalitpur","5522283,,"
A. S. FOOTWEAR PRODUCTS PVT. LTD.,"Kathmandu,","4373337,,"
BAJAJ TRADE LINKS,"Pyukha,","4229217,,"
BASUNDHARA SHOES CENTER,"Basundhara,","4355858,,"
BATA SHOES AGENCY,"Mills Area,","520106,,"
Bhotahity Toys Store,"Bhotihity,","00977-1-4249274,,"
BHUMIKA TRADERS,"Main Road,","5217609848424161,,"
BINOD EMPORIUM,"Wotu,","4214627,,"
BIRAT SHOE COMPANY LTD.,"Baluwatar,","4428893,,"
B.K. FOOTWEAR PVT. LTD.,"Hattiban, Lalitpur","55431419851060624,,"
B.K. FOOTWEAR,unknown,"55239324214989,,"
BUTWAL SWADESHI CHAPPAL UDYOG PVT. LTD.,"Rajmarg Chowk, Butwal/Bhairahawa","520694541694,,"
CHANDRASURYA JUTTA PASAL,"Gharbari Tole,","520934,,"
CHITWAN SAMAGRI BIKRI KENDRA,"Narayangadh, Chitwan","520940,,"
CITY MODE,"Khichapokhari,","4248980,,"
CITY SHOES COLLECTION,"Mahendra Pool,","5217259846056725,,"
C.L. TRADERS,"Mahabaudha,","42554224220122,,"
FAMOUS SHOE CENTER,"Chabahil,","4482711,,"
FAVORITE SHOP,"Khichapokhari,","4221914,,"
FOOT LOCKER,"Amarpath, Butwal/Bhairahawa","542380,,"
G.A. SHOES CENTER,"Main Road,","5240589848421528,,"
GLAMOUR SHOES,"Khichapokhari,","4266171,,"
GOLDEN SHOES MATERIALS,"Chauraha,","521384,,"
KHASA EMPORIUM,"Gallamandi, Butwal/Bhairahawa","520339,,"
Khelauna Wholesale,"Thahity,","00977-1-4251749,,"
LAXMI GANESH ENTERPRISES,"Guchhatole,","4220387,,"
LOCOUL AND SONS,"Sangampath, Butwal/Bhairahawa","440993,,"
MAHALAXMI SUPPLIERS,"Bhimsensthan,","4211195,,"
MANJIL FOOTWEAR INDUSTRY,"Dillibazar,","44107534411647,,"
MEHBOOB EMPORIUM,"Mahendra Pool,","520854522673,,"
MICHELLE,"Bishalbazar,","4228271,,"
MISS NEW,"Asan,","4220372,,"
My Kid's Collection,"Tripureshwor,","00977-1-16219971,,"
NEPAL UNIVERSAL FOOTWEAR PRO.,"Bhuntandeviroad,","20650,,"
NEPAL IMPEX,"Amarpath, Butwal/Bhairahawa","5469729857025678,,"
NEPALESE WOODEN KITS INDUSTRIES,"Haugal Bazar, Lalitpur","5522635,,"
NEW FOOTWARE,"Biratnagar,","5237529852022946,,"
NEW LUMBINI SHOES CENTER,"Hospital Line,","5258239848424188,,"
OM FOOTWEAR INDUSTRIES PVT.LTD.,"Golkupakha,","4351157,,"
PALESWAN COLLECTION,"Khichapokhari,","4240852,,"
PALESWAN COLLOCTION,"Khichapokhari,","4240852,,"
PARAGON FOOTWEAR,"Bhotahiti,","4220304,,"
PASHUPATI FOOTWEAR INDUSTRIES PVT. LTD.,"Tankisinwari,","526271522789540229,,"
PRADEEP FOOTWEAR INDUSTRIES,"Pipara,","521992,,"
RARA ENTERPRISES,"Gallamandi, Butwal/Bhairahawa","522840,,"
SANJEEV FOOTWEAR,"New Road,","4242543,,"
SERVICE HOUSE,"Tebahal,","4246457,,"
SHIKHAR FOOTWEAR,"Birgunj,","523361523909,,"
SHOE AND SHOE MATERIALS WHOLESELLERS AND RET. CENTRE,"Mangal Bazar, Lalitpur","55273575523357,,"
SHOE AND SHOE MATERIALS CENTRE,"Mangal Bazar, Lalitpur","55273575523357,,"
SHREE RAM STORE,"Gharbari Tole,","523013,,"
SHUBHA KAMANA TRADE CONCERN,"New Road,","423214142241389851099774,,"
SHUBHA KAMANA FOOTWEAR,"Pyukha,","4249872,,"
SIKHAR SHOES,"Gongabu,","4353372,,"
S.K. FOOTWEAR,"Kalimati,","4271156,,"
Surendra Toys Shop,"Indrachowk,","00977-1-4263957,,"
SURAVI POLYMERS PVT. LTD.,"Biratnagar,","5237529852022946,,"
