Name,Address,Telephone
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
Dristi Tech Pvt. Ltd.,"Lazimpat,","00977-1-4427949+977 -01-5919103,,"
sah technology pvt. ltd.,"baneswer ,","4283433+977-1-4780466,9840016595,"
OM Networks Pvt Ltd,"Dillibazaar,","01-4435018,,"
Worldlink Communications Pvt. Ltd.,"Bagmati,","522634,,"
Green Edge Technologies Pvt. Ltd. (GETS),"Aadrasha Marga, Newroad-8, Pokhara, Gandaki,","061526092,985602609298028311339802831134,"
Kyrios,"Phulbari Complex - Shop No. 214, Boudha - 6,","014812782,98602402269851101667,"
Kasturi Sanjaal,"Annadamargha,Chitwan,","9855052636,9845520490,"
School of Information Technologies,"Raja Janak Marg, Tinkune ,","01 4117999,9861666678,"
FirstLink Pvt. Ltd.,"Baluwatar-04 Kathmandu, Nepal,","+977 01 4439687,,"
MultiTechSys,"Tinkune , Kathmandu ,","01-4117917,9807777076,"
Sky Net Computer,"chandranigahpur,","9866047122,9817273850,"
Bluefin Technologies,"Damauli Tanahun,","065-562601,9851233334,"
FiberTel FiberNet pvt Ltd,"lamki-chuha 2 motipur,","091-540305,9865885244,"
Busy(Idea infotech pvt ltd) Butwal,"Kalikanagar,(behind of shiva mandir),","071-437181,9857036188,"
New Microland Computer And Suppliers,"Siraha Road, Rajbiraj,","+977-031-533722,9814747550,"
Prime Multipurpose Services Pvt. Ltd.,"Srijanachowk,","unknown,98251535049825153505,"
Technology of nepal,"itahari 5 sunsari,","9842582078,9842582078,"
Everest wireless network,"Jumla nepal, network,","9848333002,9802536630,"
One Touch Solution,"Pulchowk (near by Global Bank , behind Alaka Hospital),","01 54 54 107,98511-57582,"
Techno Savvys,"Jaycees Chowk, Near Sadak Bivag Gate,","023-585947,97723585947,"
Insight Technology Pvt. Ltd.,"Kupondole,","01-5181047,9801148547,"
NepalFAQ,"720 thamel Marg,","44181514417647,9818677422,"
Computer Repair and Maintaince,"Kawasoti-10, Magarkot,","078540507,9847560762,"
Kritan Associates Pvt. Ltd.,"Kathmandu-32,Nepal,","9779808018766,9779801108552,"
MICROPLUS PVT. LTD.,"160 Kumari Marga 6, Dillibazar,","01 4521032,,"
Pro Tech Enterprises,"Bagbazar 31, Kathmandu, Nepal,","01-4256699,98410180989849779758,"
Tune Gear Electronics and Technology Pvt.Ltd,"Lalitpur, Kathmandu,","015521917,9843485592,"
WE Infotech Systems,"1,","unknown,,"
MOHRAIN WEBSOFT PVT. LTD,"Kailali pool ,","00977-91-524243,9848513793,"
Ronish construction pvt.ltd.,"dhanusha pirari chok,","015153444,9851177227,"
Yantra Solution,"Milap Marg, Sanepa, Lalitpur,","+97715525768,9841077158984156033298415749559841123947,"
Argon Pvt. Ltd.,"Sanubharang, Nagarjung-2,","unknown,+977 9851244787,"
Busy Mind International Pvt. Ltd.,"Chabahil, Kathmandu,","014483883,9841509331,"
Tulaja IT Solutions,"Pulchowk, Lalitpur,","01-5538013,9841841318,"
Alpha Wire Pvt. Ltd,"Mithila Municipality , Dhalkewar -06 , Dhanusha, Nepal,","041-560244,9801663653,"
Instand IT Support Pvt. Ltd,"Anamnagar, Opposite of Hanumansthan Temple,","00977-1-5705396,9851191460,"
Enepstudios Pvt .Ltd,"Boudha, Kathmandu 44600,","9818066049,9843851703,"
SmartChoice Technologies Pvt. Ltd.,"P.O.Box: 13162, Baluwatar,","+977-1-4414166+977-1-4414211+977-1-4414155,,"
THE WAVES GROUPS TRADING PVT. LTD.,"Kapurdhara Marg 140, Lainchaur,","442726444104234410435,,"
UNI-TECH COMPUTER,"Birgunj ranighat -13 parsa nepal,","unknown,9845255206,"
Cloud Tech Solutions Pvt. Ltd.,"Naxal-01, Kathmandu,Nepal,","+977-01-4425136,9801147603,"
EasyNetwork Solution,"Babarmahal, Kathmandu, Nepal,","9779851051578,9779851051578,"
Nabbu International Trading Concern,"Sinamangal,","4574194,9801163637,"
Unified Communication Pvt. Ltd.,"Damak -05,","+977-23-582120,,"
Crystal Light IT Pvt. Ltd.,"Belchowk, Narayanghat,","977-56-571410,98550514109841320388,"
Deep Digital Pvt.Ltd,"Putalisadak,","4421402,9851075365,"
Mohrain Technologies (P) Ltd.,"Naya Bazzar,","091-524243,9848420288,"
Techno Care Services Pvt. Ltd.,"Damkal Chowk, Pulchowk, Lalitpur,","01-5534897,9841733597,"
DREAMS | Double Ray Engineering And Multi Service,"Maitripath,","unknown,+977 9815444817,"
NEPAL TELECOM & POWER SOLUTION,"Shreepur,Parsa,near Nepal insurance, Fulwaritole,","9845121234,9845121234,"
New Nepal Computer Care,"Rupani Road,","unknown,+977-9804752133,"
RS CYBER,"kirtipur-18, town planing,","014331325,9843152515,"
Vairav Technology,"Bagmati,","+977-01-4441540,,"
Pooja Computer Institution,"Chhireshwarnath Municipality, Dhanusha,","041540092,9844311047,"
DreamPC,"Putalisadak,","4231434,9841222634,"
Multimedia Computer,"Ranighat-12, Birgunj,","9845257460,9809138772,"
Grantha Networks,"Bagmati,","+977-4435-413-414,,"
Etihad Technology Pvt. Ltd.,"44600 Maitidevi, Kathmandu Nepal,","+9779816275786,+9779845512786,"
Global Infosys,"Sevoke Road,","+9779801552555,98015525559852652555,"
Vertex web surf,"Samakhusi, Near Tokha Road ,","01-4388511 01-6200858,9813269368,"
All IT Solution Pvt. Ltd. (AITSP),"Jeevan Street, Kathmandu, Nepal,","unknown,9801039953,"
Global Link Technology Pvt Ltd.,"Thapathali Road, Kathmandu 44600, Nepal,","01-4100572 / 01-4100573/74,,"
Next Services Pvt Ltd,"72 Ga Nag Pokhari Colony Marg ,","977 1 4429026977 1 4101697,,"
Nyokas Concern,"Naghdhunga,","061536661,9802812226,"
SAMARI IT SOLUTION PVT. LTD.,"Kathmandu,","20033094215848,9851125789,"
GLOBAL LINK TECHNOLOGY Pvt. Ltd,"Thapathali, Kathmandu, Nepal.,","01-410057201-410057301-4100574,,"
Dynamic Solution,"Chitwan,","056570969,977-9855060249,"
iDream Professionals Pvt. Ltd.,"Thapathali,","00977-1-4247994,00977-9851102978,"
Royal Technical Sales & Services,"Satdobatto,","9840022476,9840022476,"
Abacus Nepal NMC,"119 Udaya Sadan,Newplaza Marg, Putalisadak,","44220344422012,9851030147,"
CNC Pvt. Ltd.,"Dillibazar,","00977-1-4416530,00977-9841074236,"
Data Space Pvt. Ltd.,"Putalisadak,","00977-1-42429674242523,,"
GAJUR PVT. LTD.,"Putalisadak,","4246978,,"
GREEN LINK INTERNATIONAL,"Panipokhari,","44232004423500,,"
HIMALAYAN SANGRILA PVT. LTD.,"Tripureshwor,","426964520932034254773,,"
iDream Professionals Pvt. Ltd,"Putalisadk Chowk,","00977-1-42419944215430,,"
IID Pvt. Ltd.,"Mid Baneshwor, P.O. Box: 23531, Ktm,","00977-1-44905184487099,,"
New Apple International,"new road muncha house gali,","9801180976,9841480967,"
Reliant Techno Networking Pvt. Ltd.,"Lamkichuha -04 Baliya, Kailali","+977-166081537779801700100,,"
SAJHA COMPUTER,"PF28+M9H,","+977-71-543893,,"
BAR CODE NEPAL INC. PVT. LTD.,"Anamnagar,","42200834262267,,"
BELTRONIX COMPUTER AND ELECTRONICS ENGINEERS,"Newplaza,","4429777,,"
Icon Solution (P) Ltd.,"Manbhawan, P.O. Box: 1228, Ktm,","00977-1-9841215034,,"
