Name,Address,Telephone
Jyoti Group,"Kantipath, P.O. Box: 133, Ktm,","00977-1-42254904225230+977-9801178845,,"
Subha Sagun Wool Handicraft Industries,"Gongabu, Ganeshsthan,","+977(0)14359025,+9779849924135,"
KACHINS,"Shop No. 119 (Ground Floor) Civil Trade Center china town route,","+977-1-5363372,9801089628,"
Harati Valley Carpet Traders,"Tushal, Bouddha,","unknown,9851097164,"
Kohinoor textile industries pvt ltd,"Adarshnagar, Murti Chowk, Near Nepal Rastra Bank,","+977-51-520006,+977-9841111110,"
NOBLE TEXTILES PVT. LTD.,"House No. 219, Ward No. 11 Resham Kothi, Road No. 3 Mahabir Mandir Temple Street,","unknown,+977-9802750991,"
100patri,"New Baneshwor,","9843818363,,"
TEX YARN RECYCLING MILLS PVT. LTD.,"Madhauliya,","560559,,"
Bansal Emporium,"Main Road,","021512785,9852028851,"
Nepal Hosiery,"Balaju ,","015102116,,"
Pragati Textile Industries (P) Ltd.,"Bishal Basti (Ka) Marg,","+977-1-4422428,,"
SOMET MACHINERY,"Odhav, Ahmedabad","91-79-2289457791-9824301667,,"
USHANTI,"Vatva, Ahmedabad","2583331525894903,,"
Ajay Overseas (P) Ltd.,"Shanti Shiksha Marg,Near Thaity Chowk,Kathmandu,Nepal,","00977-1-422638242316134226024,980801150,"
BHARAT PATTERN WORKS,"Odhav, Ahmedabad","91-79-22874815255244596291-9825309633,,"
Ishan Import and Export,"Subhidha Nagar, P.O. Box: 8973 NPC 222,","00977-1-6611122,00977-9851025679,"
Lath Traders,"New Road,","00977-1-4259881,,"
Renu Enterprises,"Sitapaila Heights, Kathmandu, Nepal,","unknown,+977-9813446611,"
Wild Fibers,"Thamel, P.O. Box: 5741, Ktm,","00977-1-42184104439772,00977-9851010298,"
B.T.C. TEXTILE,"Bhaktapur,","6610853,,"
CLEAN COMBUSTION LTD.,"Navrangpura, Ahmedabad","91-79-2640285526405068,,"
Ishan Textile Pvt. Ltd.,"P.O. Box: 8973 NPC 222,","00977-1-204022266111224038503,,"
NEW BHAGAWATIVIJAY ENGG. WORKS,"Odhav, Ahmedabad","91-79-2287045491-9824480454,,"
PASHUPATI SPINNING MILLS PVT. LTD,"Shiva Arcade,","4241504,,"
Sangrilla Textile Industries Pvt. Ltd.,"Koteshwor, P.O. Box: 950, Ktm,","00977-1-6630770,,"
SHRINATHAJEE ENTERPRISE,"Maninagar, Ahmedabad","91-79-2546511025469692,,"
SONA EXPORTS NEPAL PVT. LTD.,"Kathmandu,","4782975,,"
SR Traders,"Dhare Chwok, Bharatpur, Chitwan Nepal,","056526767,9855051020,"
SUSMATEX MACHINERY AND FABRICATORS,"Vatva, Ahmedabad","91-79- 25841616,,"
Sunmoon Pashmin Crafts,"Nayabazar,","00977-1-985044226,00977-9851044226,"
Koselee Textiles (P) Ltd.,"Gaindakot,","522765,,"
SWASTIK ENGINEERS,"Rakhail, Ahmedabad","91-79-22744175,,"
Ashok Textile Industries (P) Ltd.,"New Road, P.O. Box: 1390, Ktm,","00977-1-42514944223855,,"
Ashok Textile Industries (P) Ltd.,"Mills Area,","526798522768,,"
Balaju Kapada Udyog,"Balaju, P.O. Box: 12843, Ktm,","00977-1-4350958,,"
Bhaktapur Traditional Cotton Textile,unknown,"00977-1-66108536612244,,"
Birgunj Textile Industries,"Bahuwari,","527233,,"
Bishnu Textile Processing Industries (P) Ltd.,"Balaju, P.O. Box: 139, Ktm,","00977-1-4350929,,"
B. T. C. Textile,unknown,"00977-1-66108536612244,,"
Budhathoki Cotton Mill,"Jorpati, P.O. Box: 8975, Ktm,","00977-1-44906164485616,,"
C. DOCTOR AND CO,"Vatva, Ahmedabad","91-79-5842216,,"
Dynamic Fabrics (P) Ltd.,"Kathmandu Off, P.O. Box: EPC 5258,","00977-1-4240490,,"
Eastern Textile Industries Limited,"Pyukha Tole, P.O. Box: 2501, Ktm,","00977-1-422272942249284220377,,"
EASTERN TEXTILE IND. LTD.,"Pyukha,","42227294224928,,"
Exclusive Textiles,"Lake Side,","521263,,"
Ganga Dharam Cotton & Terry Fabrics (P) Ltd.,"Jhamsikhel, P.O. Box: 5953, Ktm,","00977-1-55259675531678,,"
Global Export Textile,"Thamel, P.O. Box: 4376, Ktm,","00977-1-4700108,,"
GUNJAN PAINTS LTD.,"Thaltej, Ahmedabad","91-79-68588816852383,,"
Himgiri Textile Industries Ltd.,"New Road, P.O. Box: 2441, Ktm,","00977-1-4250015,,"
HIMGIRI TEXTILE INDUSTRIES PVT. LTD,"Khichapokhari,","4250015,,"
JANAK SYAKAR TEXTILES PVT. LTD.,"Parwanipur,","580063,,"
Jayshree Textiles,"Matrika Road,","527145522719,,"
Krishna Textile Udhyog,"Lalitpur,","00977-1-55600799851025602,,"
Mahalaxmi Textiles (P) Ltd.,"Tripureshwor, P.O. Box: 806, Ktm,","00977-1-42201724222948,,"
Manjushree Fabrics,"P.O. Box: 4297, Ktm,","00977-1-42289924259823,,"
Navjeevan Textile Pvt. Ltd.,"Patan Industrial Estate, P.O. Box: 2042, Ktm,","00977-1-55265525526537,,"
Olympia Textile Industries Pvt. Ltd.,"Fasikewa, P.O. Box: 6529, Ktm,","00977-1-4250015,,"
Pashupati Spinning Mills (P) Ltd.,"Basantapur, P.O. Box: 556, Ktm,","00977-1-424150442457024241493,,"
Pashupati Textiles Mills (P) Ltd.,"Jhochhen Tole, P.O. Box: 556, Ktm,","00977-1-42252844241504,,"
Pragati Textile Industries (P) Ltd.,"Gyaneshwor, P.O. Box: 4482, Ktm,","00977-1-44104394422428,,"
