Name,Address,Telephone
R. R. JEWELLERS,"Amrit Marg, Thamel,","4241947,9803783436,"
SANJIT JEWELLERS,"Tribeni Mode,","523128,,"
wholesalenepal Pvt Ltd WSN group,"PO Box 8974 - CPC 552,","4418151,9818677422,"
Samyak International Pvt Ltd,"Bhaktapur,","unknown,9849825407,"
Buddhist Art Gallery,"Boudha,","9818940763,9851054428,"
Javana Jewellery Pvt. Ltd,"Baber Mahal Revisited,","00977-1-4260369,,"
Nplmarket,"banasthali,","9823474650,9823474650,"
Siddhartha Silver,"patan durbar square,","5537981,9803153168,"
Mahaguthi Craft with Conscience,"Kupondole, Lalitpur,","552160755331975532981,,"
Wholesalers in Kathmandu,"720 Thamel Marg,","97714418151,9818677422,"
Gahana stores,"Ghattekulo marg,","4429477,9851044771,"
RedDoko,"Kathmandu,","01-4031771,9801044204,"
Ruhee Handicrafts,"Hallanchowk Lakeside,","9817114580,9806502341,"
Himalayan crystal collection centre,"Thamel,kwabahal,","014259639,9841237635,"
Top Brand Nepal WSN,"720 Thamel Margh,","01-441815101-4417647,9841815891,"
Bishal Gold and Silver Shop,"sandhikharka, arghakhanchi, Nepal","077420554,,"
Titan Nepal Pvt. Ltd.,"1081 Durbar Marg,","+977-1-4256236+977-1-4218213+977-1-4231990+977-1-4212790,,"
Lumbinimart.com,"Bouddha - 6,","unknown,+977-9849147972,"
Fewa Mart,"Muni Bhairab Marga, Tinkune,","977-1-5199731,9851239244,"
Gold Silver Mart (Rathi),"#14/12 Ram Janki Path, Thakurbadi Road, Biratnagar -12,","530855530856,,"
Natraj Jewellers,"Bishal Bazar, New Road,","+977-1-4221893,,"
Javana Jewellery Pvt. Ltd,"Baber Mahal Revisited, Baber Mahal ,","01-426 0369,,"
NEPAL TRADITIONAL CRAFTS PVT. LTD.,Lalitpur,"55279165523608,,"
Apala Jewels,"Gyaneshwore, Kathmandu,","+977 9801011122,+977 9801011122,"
Himalaya Crafts,"Narayan Arcade,","4357912,9851130425,"
Royal Gems jewellery and handicraft,"Royal Singi hotel,","00977-1-2023450,00977-9841533304,"
Himalayan Silver Crafts (P) Ltd.,"Thamel, P.O. Box: 11716, Ktm,","00977-1-44442449851034357,,"
RB DIAMOND JEWELLERS,"Pyukha,","4222291,,"
Shinninng diva,"Madhyapur-thimi,","9811187870,,"
Sulux Centre,"Bluebird Department Store, Tripureshwor,","00977-1-2012166,,"
Atc Exim Pvt Ltd.,"Dharmapath, P.O. Box: 666, Ktm,","00977-1-42237044244809,,"
Barah Jewellery Industries Pvt. Ltd.,"New Road,","00977-1-21900044266799,,"
Gold House Nepal,unknown,"00977-1-42317529851050176,,"
GURUS SILVER SMITH,"Basantapur,","4269843,,"
Hawk Traders,"Dallu, P.O. Box: 7709, Ktm,","00977-1-42781064276031,,"
