Name,Address,Telephone
Landmark Recruitment Agency,"Samakhusi,","97714390092,97714390092,"
Target Consultants Human Resources Pvt. Ltd.,"Lazimpat,","00977-1-4005039+977 014478737,00977-9851079010,"
Prime Life Insurance,"Manakamana Marga,","+977 1-5970057+977-144 414 14+977 -01-4024071,,"
Voxcrow P. Ltd.,"Nagpokhari, Kathmandu,","9802329903+977 9802071665,9802329903,"
Nimble Infosys,"New Baneshwor,","01-4104381/82+977 -1-597-0077,98511-26328,"
Complete Business Solution Pvt. Ltd.,"Talchikhel, Lalitpur,","015550656+977 981-3898246,9851173362,"
Nepal Gateway Overseas Pvt. Ltd.,"Basundhara, P.O. Box: 26302, ktm,","00977-1-43609244360853+977014512103,,"
Greentick Nepal (P) Ltd,"4th Floor, Mahalaxmi Complex, Minbhavan, Kathmandu, Nepal,","+977-1-4620741,,"
Kumari Job,"Thapagaun,","+977 1-5199600,9801178845,"
CMS Nepal (P.) Ltd.,"Bhotahity, P.O. Box: 10302,","00977-1-4250508+977 9851062974,,"
Landmark HR Consultant,"Maitidevi, Kathmandu,","01-4390092,9813054004,"
City Express Money Transfer Pvt. Ltd.,"Ghantaghar, P.O. Box: 15142 KPC 171,","00977-1-423190042334264233812,,"
Kantipur Management Private Limited,"Lagankhel-19, Lalitpur, Nepal,","+977 1 55305995532572,9801800020,"
P. L. A. BUSINESS SOLUTIONS,"Hanumandas Road, Biratnagar - 7, Nepal,","+977-9814388965,,"
International Standard Icon- ISI NEPAL,"Balkumari,Kathmandu,","+977-1-5 186 186,9851117676,"
Modern Cleaning,"Balkumari-9,","977-1-5186684 5186681,9801084561 9801084563,"
"Thakur International for Call Centre, BPO Services","Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal,","0097714720270,9851187077,"
Al Amal Overseas Pvt. Ltd.,"Samakhusi Town Planning, In front of Telecom office.,","+977 1 496 00 15,+977 98 410 38 461/ 98 512 40 247,"
Achievers Consulting Services Pvt. Ltd.,"Jahada Road, Biratnagar-13, Morang- Nepal,","9804606448,9852026448,"
Avatar Human Resources Pvt. Ltd.,"Sinamangal, Shambhu Marg, Kathmandu, Nepal,","44860114486770,98010035029851226480,"
TNV Certification Private Limited,"537-B/187-B, Amber Vihar,","919839062155,919839062155,"
Global Dream Recruitment Pvt. Ltd.,"Sharadha Chowk, Sinamangal, Kathmandu,","01-44860114486770,9801003502,"
Link Way Int'l Education Consultancy Pvt. Ltd.,"Siddhartha Chowk-04, Kaski, Nepal ,","061-521430,9856018463,"
Sagar Recruitment Pvt. Ltd.,"Dhumbarahi, Kathmandu, Nepal,","+977-1-4442232,9851016252,"
EK CALL HOME SOLUTIONS,"Matepani -12, opposite to Hill Point High School,","061-528333,9856035404,"
Easy Facilities Pvt. Ltd.,"Jarebar,","+977-61-467330,9856026233,"
ManpowerLink Pvt. Ltd.,"Prakash Marga - 4, Dhumbarahi, Kathmandu NEpal,","+977 1 4008697 / 98 / 99,+9779801064086,"
JST Consultants,"Milap House, Sanepa, Lalitpur, Nepal,","+977 1 55354335521691,98609309609818329805,"
Shree Rani Sati Trading Concern,"Rani Sati House, Near Radha Bhawan,","+977-1-4215455,,"
Al-Samit Manpower Pvt. Ltd.,"Samakhusi Town Planning,","+977-1-4384444+977-1-4382444+977-1-4381364,,"
About Nepal Treks,"Thamel,","9841100123,9841100123,"
Nmark Education,"Mahendrapool 09,","061 541051,,"
Stellar Education,"Adwait marg, putalisadak, kathmandu,","+977-01-4253002016201234,9823005613,"
FLYTECH INTERNATIONAL AIR HOSTESS ACADEMY,"New Plaza, Putalisadak,","4432169,9841245427,"
Lets Education Nepal pvt.ltd,"Chipledhunga 4 Batas Malla complex, Pokhara Nepal,","061523523,9864466609,"
NEED EMPLOYMENT SERVICES PVT. LTD.,"DHAPASI-8,","+977-1-4384248+977-1-4384251,,"
About Nepal Treks,"Thamel ,","014388009,9841100123,"
Himalayan Nepal Trek P. Ltd,"Kapan,","01 4811839,9841405095,"
Yuwa Job Nepal,"Kathmandu,","9813397900,9843220099,"
Al Shahid Overseas Pvt. Ltd.,"Aanandanagar Marg, Dhumbarahi -04, Kathmandu, Nepal,","+977-1-4414440,+9779801040407,"
Nepal Realistic Solution,"Kumaripati,","015525887,977-9801175050,"
AECC GLOBAL,"Level-3, Pokhara Trade Mall, Chipledhungha, Pokhara,","+977-61-537428,+61292835900,"
Career Dream Education Consultancy,"Bhanu Chowk,","41-528402,980160033998540277139813411285,"
Goodluck Glocal Pvt. Ltd,"Ikalu tower, Shankhamul, New baneshwor,","01-4786324,9818877980,"
K. K. Outsourcing Pvt. Ltd.,"Babarmahal, Kathmandu,","01-5707166,,"
Al Ajeets Management and Outsourcing Pvt Ltd,"Slesh Mantak Marg, Sinamangal-9, Panchakumari Mandir, Kathmandu, Nepal,","+977-9803395899,919090095993,"
Manpower Link Pvt. Ltd.,"Umanga Tole, Dhobi Khola Corridor, Mandikatar,","+977-1-4008698+977-1-4008699,9849153854,"
Mithila Manpower Services Pvt. Ltd.,"Kalimatidole Airport(Manpower Bazar)KTM,","00977-1-44911044479823,98020163159801018905,"
Nepal Speakers Bureau,"Kathmandu,","+977,9843772688,"
Nepal Manpower Agency | Sagar Recruitment P. Ltd,"Dhumbarahi - 4,","014542232,9851016252,"
NIB Foundation,"Putalisadak, Kathmandu 44605, Nepal,","(+977) 9823384885,(+977) 9823384885,"
Platinum Educational Consultancy Pvt. Ltd.,"Dillibazar 32, Kathmandu ,","01-4423085,9841083440,"
Third Eye Risk Management And Associate Pvt.Ltd.,"Kirtipur, Kathmandu, Nepal,","9867415458,9813032440,"
Kantipurjob.com,"Lalitpur,","+977 1-4251599+977 1-5532572,,"
Online gharbazar,"New Baneshwor,","9851035201,,"
Pro Skills,"Anamnagar, kathmandu Nepal,","01-5172148,,"
Raspberry Solution Pvt. Ltd,"Jyatha Thamel, Kathmandu, Nepal,","+977 980101200,,"
S. B manokamana electric parts,"Prithivichowk,","+977 061-540136,+977 9866041811,"
Tokyo International Education Institute,"Mid Baneshwor,","+977-1-4569078,+977-9745667878,"
Water Team Nepal,"Nayabazar ,","014351761,9849142459,"
Yantra Solution,"Milap Marg, Sanepa, Lalitpur,","+97715525768,9841077158984156033298415749559841123947,"
Asia Link Services (P) Ltd.,"Airport,Manpower Bazar),Kathmandu,Nepal P.O.Box21574,","00977-1-4112801/2,+977-9851007988,"
Bridge Education Foundation,"Putalisadak-31,","01-4232561,9851196133,"
Career International Services Pvt. Ltd.,"Kathmandu, Dhumbarahi,","01 4009643,9801055721,"
Damaru Resources Pvt. Ltd.,"Gairigaon, Tinkune,","+977-1-4112433,+977-984-1120520,"
Decent Employment Pvt. Ltd.,"P88F+VJJ,","+977-1-5903104,+977-9857089191,"
EvergreenJob,"Shubidhanagar, Tinkune, Kathmandu, Nepal,","012294065,9813077838,"
EVERGREEN EMPLOYMENT PVT LTD,"New Baneshwer -10 ,","+977 14784353,,"
Jobspot International Pvt. Ltd.,"P8QV+6CG, Jana Marg,","+977-1 4015500+977-1 4015600,+977-9851036070,"
KTM Consulting Group,"Banepa,","11662797,9851168284,"
Lahan Achievers Consulting Services,"Sahid Chowk,Lahan-1, Siraha,Nepal,","9811730247,9811730247,"
Mega Excess Pvt. Ltd.,"Maitidevi - Kathmandu,State - 3, Nepal ,","9801134363,9801134361,"
Miracle Career Consult,"MCC House, Dillibazar,","+97714436022,+9779851056103,"
Number One Pest Control Pvt. Ltd.,"Chandol Kathmandu,","9857077772,9857077772,"
Perfect Connection Employment Pvt. Ltd.,"Basundhara,","00977-1-43850334350212,9801087552,"
PIONEER OVERSEAS SERVICES PVT. LTD.,"Dhumbarahi, Beside Shankha Park,","+977-1-44332034424946,+977-9851061892,"
Seven Seas Intercontinental Services Pvt. Ltd.,"P.O. Box: 7531, Ktm,","+977-1-44797884479655,+977-9851130444,"
Sherpa International Manpower Consultancy Pvt. Ltd.,"P.O. Box No. 8916 Dapasi-9, Basundhara,","+977-1-4364821,+977-9851073017,"
Aakriti Recruiting Pvt. Ltd.,"Sinamangal, P.O. Box: 5885, Ktm,","00977-1-4499369,,"
Aakarshan International Pvt. Ltd.,"Aakarshan Building, Shambhu Marga (Near Airport),","+977-1-4498701,,"
Alpha Sigma Overseas Pvt. Ltd.,"Sinamangal - 9,","+977-1-4461946+977-1-4461827,,"
BM Jobs,"Jwagal, P.O. Box: 3271, Ktm,","00977-1-50110915523736,,"
Diyalo International Employment Agency Pvt. Ltd.,"P.O. Box: 2019 Sinamangal-9,","+977-1-4460600+977-1-4460922,,"
Everest International Manpower Supply Service (P) Ltd.,"Beside Bangladesh Embassy, Basundhara, Kathmandu-3, Nepal,","00977-1-5906503,,"
Goreto Educational Consultancy,"New Baneswhor, Kathmandu, Nepal,","+97701-5916252+9779851273832+97701-4583252,,"
Gulf Manpower Services Pvt. Ltd.,"P.O.BOX 732, Hattigauda,","+977-1-4374395+977-1-4379332+977-1-4379333,,"
iBestJob Nepal,"Pingalasthan-09,","+977-014495027,+977 9851089901,"
Inspire Nepal 2015,"Pulchowk,","977 1 5543018,,"
KAILASH INTERNATIONALS MANPOWER PVT. LTD.,"Samakhushi,","43577344381922,,"
Kantipur Manpower Pvt. Ltd.,"P.O. Box 9644 Samakhusi -29,","+977-1-4388866+977-1-4388808+977-1-4364338+977-1-4357631,,"
Landmark Manpower Solution Pvt. Ltd.,"Samakhushi, P.O. Box: 26407, Ktm,","00977-1-4390091,,"
Mero Career,"Thapathali,","+977-4101608,,"
Nepal Realistic Solution,"Kumaripati,Lalitpur,","977-015525887,977-9801175050,"
Pds pestcontrol,"kathmandu,Nepal,","+9779851053277,+9779823152936,"
RAJ OVERSEAS PVT. LTD.,"Sinamangal Rd 9,","+977-1-4106538+977-1-4106559+977-1- 4106788,,"
ROYAL OVERSEAS NEPAL PVT. LTD.,"Lazimpat,","+977-1-4421156+977-1-4432244,,"
Sajhajob.com,"P83C+5W8, Kathmandu 44600, Nepal,","+977 980-1138666,9856065444,"
Sewabajar,"Jay Shambhu Bhawan, Jadibuti-32, Koteshwor, Kathmandu,","+977-1-5149267,,"
SOS MANPOWER SERVICE,"G.P.O. Box: 3565, Dhapasi,","+977-1-4365986,,"
