Name,Address,Telephone
Maruti Pharma Pvt. Ltd.,"Jawalakhel,","00977-1-5540531+977 1454 4183,,"
National Drug House,"Shantipatan, Lakeside,","9846026811,9856026811,"
RAJDHANI MEDICAL HALL,"Kalimati-4,","+9779841476903,+9779841476903,"
Krishna international,"Udyog Marg, Hattiban, Dhapakhel, Kathmandu Valley,,","+977 1 5250282,+977 9802540001,"
Online Aushadhi Pvt. Ltd.,"Sanepa, Jhamsikhel,","9841568568,,"
ATM Pharmacy,"Koteswore, Kathmandu,","9801165986,9861665986,"
Get Well Soon Nepal Pvt Ltd,"Dhobighat, Lalitpur-3,","+977-015153315,,"
OK Pharma - Online Pharmacy Pokhara,"Bhakti Marg, New Road, Behind Lumbini Bank and Kantipur Dental Hospital,","9846198129,,"
Annapurna Pharmacy P. Ltd.,"Maitighar,","+977 1-2091348,9851149866,"
Yeti Pharmachem Distributors,"44-Mahadev Marg, Bag durbar, Sundhara,","+977-1- 4243356+977-1- 4225244,,"
Fleur Himalayan Ltd.,"Jeetpur, Simra (Bara), Nepal,","+977-1-5529059,,"
Get Well Soon Nepal Pvt Ltd,"Dhobighat,","01-5153315,9861596135,"
G.M.P. Pharma,"Kuleshwor, P.O. Box: 24802, Ktm,","00977-1-43025794302780,00977-9851043497,"
ROYALTRADERS,"DASS,","9810403604,,"
MediHolic Pharmacy,"Sitapaila, OPP. Suvekchya Int. Hospital,","9851239202,9848154034,"
Rachana Orhto-Neuro Rehabilitation Center,"Lagankhel, Lalitpur Opposite to Patan Hospital,","+97715004068,+9779840013209,"
Hemant Medicine Distributors,"Main Bazar Chowck,Inaruwa-1,Sunsari,","025-561195,9852041311,"
Zenith International,"Ranighat,","+97751524011,,"
G.M.P. Pharma,"Durbarmarg, P.O. Box: 24802, KTM,","00977-1-4302374,00977-9849801066,"
Regards Medical Hall Pvt. Ltd.,"Kanti marg, Basundhara chawki,","unknown,9841805593,"
Luja Pharmacy,"M8V7+6RH, Tripura Marg,","+977-1-4260423,,"
Shree Ram Pharma,"P8MJ+Q8W,","+977-1-4424917,,"
Glenmark Pharmaceuticals Ltd.,"Sundhara,","+977-1-6227728,,"
