Name,Address,Telephone
SURYA NEPAL PVT. LTD.,"Shree Bal Sadan, 1870,","+977-1-4248280,,"
Surya Nepal (P) Ltd.,"GPO: 1864, Ktm, Kantipath,","053-520175,,"
Namaste Mart Pvt. Ltd.,"Swoyambhu, Kimdol Taxi Stand,","01-4278914,00977-9818110550,"
Surya Nepal (P) Ltd.,"Shree Bal Sadan, 1870, Kantipath,","+977-1-4248280,,"
Trade Chitwan Pvt. Ltd.,"Near Indradev Cinema, Shahid Chowk, Narayangarh, Chitwan,","unknown,,"
Dhanawat Bidi Factory,"Tinpaini,","525545521746,,"
GOLDEN TOBBACO INDUSTRIES,"Chabahil,","44814212072384,,"
Janakpur Cigarette Factory Ltd.,"New Baneshwor,","00977-1-478017647802384782239,,"
JANAKPUR CIGARETTE CO. LTD.,"Baneshwor,","478017647802384782239,,"
Nepal Tobacco Co. (P) Ltd.,"Tripureshwor, P.O. Box: 3625, Ktm,","00977-1-42460684231894,,"
NEPAL TOBACCO CO. PVT. LTD.,"Tripureshwor,","42460684231894,,"
Om Keshari Enterprises (P) Ltd.,"Maitighar, P.O. Box: 4701, Ktm,","00977-1-4263301,,"
Seti Cigarette Factory Ltd.,"Maharajgunj, P.O. Box: 3071, Ktm,","00977-1-44344194434707,,"
Shiva Bidi Factory,"Devkota Chowk,","530313522631,,"
TRIPURA INDUSTRIES (NEPAL) PVT. LTD.,"Ind.State,","523714520742,,"
Vishal Jarda Factory,"Jahada Road, P.O. Box: 211, Btr,","524274522738521906,,"
ABC Marketing (P) Ltd.,"Anamnagar,","00977-1-6611492,,"
Dhanawat Bidi Factory,"Tinpaini,","023-520170,,"
NAWADURGA SUPPLIERS,"Byasi,","6616491,,"
Nepal Tobacco Co. (P) Ltd.,"Factory (HID),","520331,,"
Bijay Bidi Factory,"Tinpaini,","527841522546,,"
Janakpur Cigarette Factory Ltd.,"Mills Area, P.O. Box: 5, Janakpur,","520127520150521149,,"
GORKHA LAHARI PVT. LTD.,"Ind.State,","523714520602,,"
Perfect Blends Nepal (P) Ltd.,"Sanepa, P.O. Box: 1070,","+977-1-5521994,,"
ABC Marketing (P) Ltd.,"Chabahil,","00977-1-4495156,,"
ABC Marketing (P) Ltd.,"Kalimati,","00977-1-4271569,,"
Badri Narayan Bidi Factory,"Dhanusha Path,","520115,,"
Bijaya Bidi Factory,"Main Road,","522546,,"
Butwal Bidi Office,"Milan Chowk, Bhairahawa","540186,,"
CHAUBE TAMAKHU INDUSTRIES,"Malaya Road,","523276,,"
Damodar Bidi Factory,unknown,"522237,,"
DAMODHAR BIDI FACTORY,"Kanchanbari,","522237,,"
DARS TRADE LINE,"Khichapokhari,","4224079,,"
DHANAWAD BIDI FACTORY,"Tinpani,","522083,,"
DILIP KUMAR JAISWAL,"Basantpath, Butwal/Bhairahawa","520882,,"
Gandaki Surti Jarda Udyog,"Anchalpur, Bhairahawa","520408,,"
Himgiri Traders,"Laxmi Sadak,","025-520446025-531570,,"
Jai Jagadamba Enterprises,"Dhamboji,","520093,,"
Jai Shree Traders,"Sadar Line,","520628,,"
Janak Cigarettee Factory Ltd.,"Ward 14,","525216,,"
Janakpur Cigarette Factory Ltd.,unknown,"520402,,"
Janakpur Cigarette Factory Ltd.,"Birta,","522073,,"
Janakpur Cigarette Factory Ltd.,"Main Road,","520492,,"
Janakpur Cigarette Factory Ltd.,"Shrijana Chowk,","520041,,"
Janakpur Cigarette Factory Ltd.,"Paklihawa, Bhairahawa","520442,,"
Janakpur Cigarette Factory Ltd.,"Sukha Nagar, Bhairahawa","540029540129,,"
Krishna Bidi Udyog,unknown,"580073,,"
Mahesh Bidi Factory,unknown,"525870,,"
MAKHAN LAL GUPTA,"Gallamandi, Butwal/Bhairahawa","521203,,"
Nabayuwak Bidi Factory,"Hospital Mode, Jhapa","023-520115,,"
Nepal Cigarette Factory,"Birta,","522246,,"
NEPAL TRADE LINKS,"Narayan Path, Butwal/Bhairahawa","520448,,"
Pashupati Surti Choon Udyog,"Prahari Tole, Bhairahawa","520809,,"
Pashupati Surti Jarda Udyog,"Adarsha Nagar,","522939,,"
Ram Bidi Company,"Mahabir Road,","522463,,"
RAM LAL YADAV,"Khajuria, Butwal/Bhairahawa","521277,,"
Shiva Bidi Company,"Bazar Adda, Bhairahawa","520241,,"
Shiva Bidi Factory,"Ranighat,","522292,,"
Surti Bikash Co. Ltd.,unknown,"520327520360520160,,"
Surya Tobacco Co. (P) Ltd.,"Industrial Estate,","520460,,"
SURTI BIKASH COMPANY,"Murli,","520160,,"
SURYA TOBACCO CO. PVT. LTD.,"Ind.State,","520331520460,,"
