Name,Address,Telephone
Core Dreams Innovations Pvt Ltd,"Tikhedewal,Bishalchowk,Lalitpur.44700,","015543015,,"
OUTSIDE VALLEY,"Kathmandu,","4257800425790001-5554982,,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
Softech Foundation Pvt. Ltd.,"Baneshwor (Office),","00977-1-243892301-4435890,,"
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
Professional Computer Systems (P) Ltd.,"Kupondole,","00977-1-55480825543554+977 -1-5260820,,"
CAD Nepal,"P.O. Box: 1442,Ktm,","00977-1-5525278,,"
Techmind Solution,"Babarmahal,","977-1-4102299+977 1 4102213,977-1-41022134102239,"
Nepasoft Solutions Pvt. Ltd.,"Kantipath, P.O. Box: 11291, Ktm,","00977-1-426360042437064255088+977-1-5900182,,"
Analogue Inc,"Gausala,","+9779802320803,,"
Voxcrow P. Ltd.,"Nagpokhari, Kathmandu,","9802329903+977 9802071665,9802329903,"
Nimble Infosys,"New Baneshwor,","01-4104381/82+977 -1-597-0077,98511-26328,"
Complete Business Solution Pvt. Ltd.,"Talchikhel, Lalitpur,","015550656+977 981-3898246,9851173362,"
PIE,"Mitrapark, Chabahil,","014475239,9801820110,"
Nepfinder Innovative I.T. Solution Pvt. Ltd.,"Bashundhara, Kathmandu, Nepal,","014360230,9851189313,"
Trinity Infosys Pvt. Ltd.,"New Road-22,","+977-01-4238034+977 985-1007524,+977-9851007524,"
Alignstech (P). Ltd.,"Anamnagar, P.O. Box: 1818, Ktm,","00977-1-62083592041825+977 1-4350441,,"
Capital Eye Nepal,"Jhamsikhel,","00977-1-5013564+977-01-5526615,,"
Web Technology Pvt. Ltd.,"Thamel,","00977-1-444162016914019,00977-9841319835,"
Next Generation World,"Kathmandu Mall, P.O. Box: 24678, Ktm,","00977-1-4150066+977 01 4469417,,"
Raindrops Creation,"Lazimpat,","9849167154+977 9801842333,9849167154,"
Young Innovations Pvt. Ltd.,"Pulchowk, P.O. Box: 9876 EPC 241,","00977-1-2291892+977-1-5536093,,"
Neptrox Solutions Pvt. Ltd.,"Imadol, Gwarko, lalitpur, Kathmandu Valley, Nepal,","01-6201277,98511201719851220381,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Nur Nepsol Solutions Pvt Ltd,"Munni Bhairab Marg, Tinkune, Koteshwor,","977 980 10 111 85,,"
Web Creation Nepal Pvt. Ltd.,"Bagbazar,","977 42462494243968,977 9851029233,"
Best Nepal Pvt. Ltd.,"Thamel,","00977-1-47008080097714426808,,"
Vertex Solution Inc,"Puspalal Path,","9841238560+977-1-4381826,9851238565,"
CMS Nepal (P.) Ltd.,"Bhotahity, P.O. Box: 10302,","00977-1-4250508+977 9851062974,,"
AccessWorld Tech Pvt. Ltd,"5th Floor , Bhatbhateene Super Store , Pulchowk ,","9801000575,9801053824,"
Weblink Nepal IT Institute Pvt. Ltd,"Bagbazar, P.O. Box: 21466, Ktm,","00977-1-4248668+977 980 1114897,00977-9841506331,"
MeroNetwork,"Thapathali Rd,","+977 (1) 5111100+977 -01-4426702,09808213062,"
E-Signature Pvt. Ltd,"Chandol,","+977 1-4410178,,"
Hi Tech Solutions & Services Pvt. Ltd.,"Teku,","00977-1-42489934219334+977 980-3601598,,"
IME,"Kantipath,","42300744219467+977-1421-7600,,"
SoftNEP,"Bhimsen Gola Marg, Min Bhawan,","977-01-4115934,,"
OM Networks Pvt Ltd,"Dillibazaar,","01-4435018,,"
Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal,","061460932,9816162802,"
