Name,Address,Telephone
Book and Fly Tours,"Tanka Prasad Ghumti Sadak, Anamnagar, Kathmandu,","+977 9802347500,,"
7S Incorporates Pvt Ltd,"Lalitpur-4, Bagdol, Lalitpur,","+977 9847 693 124,+977 9847 693 124,"
Achievers Consulting Services Pvt. Ltd.,"Jahada Road, Biratnagar-13, Morang- Nepal,","9804606448,9852026448,"
Pathik foundation,"Dhaulagiri awas-10 ,satungal,kathmandu,","9771 4310972,977 9851199747,"
Hotel Simara,"Simara, Bara,","053-521802,9855024292,"
Cdesk websoution,"Swayambhu chowk,","9807649747,,"
Hotel Bishram,"Barahi Path , Lakeside , Pokhara , Nepal,","97761464734,97798460618339846049227,"
TV Annapurna,"Basantanagar-16, Balaju, Kathmandu, Bagmati, Nepal 44611,","014380648,,"
Hotel Prince Plaza,"Kathmandu, Nepal,","+977 1-4439142,+977-9851075345,"
Hotel Dream City,"Paknajol marg-16. thamel, Kathmandu ,","4251256,+9779849683092,"
Jungle Safari Lodge,"Sauraha,","01-4444999,9851008399,"
Hotel National Park Sauraha,"sauraha road 44200, Chitwan National Park, Chitwan, Nepal,","09845155749,09845155749,"
The Sunrise Hotel & Lodge,"Rolpa,","+977-86-440065440365,9867313759,"
Eco Home Kathmandu Hotel,"Raniban ,Kathmandu,","01-5103115,9841624252,"
Adventure Great Himalaya Treks and Expedition,"Saatghumti, Thamel Kathmandu,","4701263,9841273869,"
Inspire Nepal 2015,"Pulchowk,","977 1 5543018,,"
Lead Leap Educational Consultancy Pvt.Ltd,"Dillibazar-32 Kathmandu,Nepal,","01-4412749,9851107152,"
Yellow House Resort,"Kalika, Gaindakot,","9806927163,9806927163,"
Astrological Service and Advisory center,"Wolkhu,","015521869,9843129915,"
Balaji Restaurent & Lodge,"master marga, kalanki,","9779842877439,9779801071231,"
Hotel the mirror inn,"New bus terminal butwal 11,","071548252,9847131867,"
OnAir Nepal,"Bagbazar, Kathmandu,","01-4253907,,"
Gharbheti.com,"Mid Baneshwor, Kathmandu,","977-01-4482995,,"
Red Apple PR Agency Pvt Ltd,"Buddhanagar New Baneshwor,","9851117175,9801077175,"
KSP Chartered Consutants Pvt. Ltd,"New Baneshwor Chowk,","9860732504,,"
Pagoda Labs,"Kumaripati Jagannath Marg 147, Lalitpur 44600,","+977 1-5529041,,"
Shambhu Hotel,"Koshi Barrage, Haripur","9810441295,,"
Sulavbazar,"Bhaktapur,Nepal,","9843274788,9843274788,"
Swastika,"kalimati, teku,","01-4244319,9841664724,"
Aussizz Group,"Kalyan Complex, New Plaza Chowk, Putalisadak, ,","+977 1 4230803,,"
Gautam Buddha Airport Hotel,"siddharthanagar,","+977 9861378471,,"
Jobs Dynamics,"Kamalpokhari, Kathmandu, Nepal,","977-1-62258334432458,,"
PEC Attestation & Appostile Services,"33/15, Prashant Building, Karve Road, Opp Abasaheb Garware College, Pune 411004,","02049027000,9404450674,"
Shikri Devi Hotel,"Thadoline-Bayarghari,","9846632209,9846632209,"
Mysansar,"Bagmati,","+977 9841 31 7265,,"
