Name,Address,Telephone
SK Trading & Filter House,"Maitri Path,","unknown,+977-985-7029991,"
Hk Traders,"lazimpat road, panipokhari,kathmandu,","01-4006615,9851014194,"
Aquagrant Water Purifier Pvt Ltd.,"House No- 126,ward no-17 Opposite ANFA, near Pal Engineering,Satdobato lalitpur (Nepal),","+97715528381,+977-9801-123-391,"
Regal Water Solution Pvt. Ltd.,"Gopikrishna Margh, Chabahil,","01-4486392,9841197527,"
Reeva ElectroTech Pvt. Ltd.,"satdobato-15, Lalitpur,","4478305,9849987898,"
Technical Associates Services Pvt. Ltd.,"Aspen Marg, Maitighar St. Xavier College Rd,","+977-1-5339555,,"
S. Sahara Trade Service,"Maharajgunj,","01-4427012,9801030700,"
Navin Distributors Pvt. Ltd.,"AT Complex, New Plaza Marg,","+977-1-4428196+977-1-4430785,,"
ASIA PACIFIC TRADERS,"Teku,","42150754256049,,"
Bimal Valley Enterprises,"Bhotebahal, P.O. Box: 134, Ltp,","00977-1-4231597,,"
SANTOSHI MACHINERY STORES,"Surkhet Road,","+977 81 411013,9848035422,"
Engineering Construction,"Dhapasi,Kathmandu,","9843692991,9843692991,"
Shrestha Water House,"Gabahal,","00977-1-55337769851038237,00977-9841248594,"
HILLTAKE INDUSTRIES PVT. LTD.,"Soalteemode,","42700134283485,,"
KSB PUMPS LIMITED,"NOIDA,","91 120 2541091-932541501-3,,"
Geoce Groundwater Development Company (P) Ltd.,"GPO: 624, Ktm, New Plaza,","44240139851021204,,"
MAECO INTERNATIONAL PVT. LTD.,"Baluwatar,","44367874429076,,"
RAJESH SANITARY WARE,"Tripureshwor,","42516964260714,,"
STERLING SALES CO. PVT. LTD.,"Naxal,","44439504444053,,"
Trans Everest Enterprises (P) Ltd.,"Bagbazar, P.O. Box: 1666, Ktm,","00977-1-42245384252029,,"
United Trade Link Pvt. Ltd.,"Sinamangal, P.O. Box: 83, Ktm,","00977-1-20112719851033659,,"
United Suppliers,"GPO: 624, Ktm, Ram Shah Path,","4424013,,"
NEPATOP WATER TANK AND PUMP,"Kathmandu,","43530204357131-32,,"
GROUNDWATER RESOURCES EXPLORATION AND MANAGEMENT CONSULTANCY,"Sinamangal,","44905044467324,,"
Kalpana Enterprises,"Dharan Road,","524859,,"
R.K TRADE LINKS PVT.LTD.,"Hetauda,","057-23902,,"
Shree Ganesh Enterprises Trade,"Maitidevi,","00977-1-443728321012309841224781,,"
Shree National Rower Pump Suppliers,"Old Baneshwor,","00977-1-4488848,,"
BISHWANATH TRADERS,"Thamel,","42472474223117,,"
Hans Electronics & Electricals,"GPO: 8975 EPC 5550, Putalisadak,","4226876,,"
JAY NEPAL TRADING CENTER,"Narayan Path, Butwal/Bhairahawa","5233899804430157,,"
PRABIN HARDWARE,"Kalanki,","42715194273992,,"
Shrestha Electric Motor Works,"Gabahal,","00977-1-55337765533759,,"
Shrestha Machinery Concern,"Sundhara, P.O. Box: 10240, Ktm,","00977-1-42285664255653,,"
TRANS EVEREST ENTERPRISES,"Bagbazar,","4224538,,"
Annapurna Trading,"New Road,Pokhara,","061540907,9856023301,"
B. G. Tractors Spares,"Biratchowk,","539718,,"
B. K. Machinery Concern,"Kumaripati,","00977-1-5538489,,"
CALCUTTA MACHINERY,"Dharan Road,","521536,,"
G.S. ELECTRIC AND MACHINERY,"Narayangadh, Chitwan","5701245714519845046798,,"
HARATI MACHINERY AND PARTS,"Teku,","20131369851048932,,"
MOHIT ENTERPRISES,"Teku,","42406939851068353,,"
NEPAL POWER PUMP TRADERS,"Minbhawan,","4211507,,"
NEW ANIKA HARDWARE,"Attariya, Kailali","5500866907869848426562,,"
Peerless Aqua International,"Nagpokhari, P.O. Box: 11655, Ktm,","00977-1-4433857,,"
PUMP MART MACHINERY,"Chabahil,","207478344658509851037647,,"
Satyam Sanitary Ware & Tiles,"Koteshwor,","00977-1-4479624,,"
SHIVA SHAKTI STORES PVT.LTD.,"Ghantaghar,","051-5275379806897461/9806897461,,"
SIDDARTHA MACHINERY STORES,"Alkhiya Road,","521867,,"
Sirjana Marketing Concern,unknown,"023-580712,,"
TAJ TRADERS AND SUPPLIERS,"Godawari Road,","520941,,"
VALLEY PUMP SERVICE,"Babarmahal,","4213347,,"
