Name,Address,Telephone
Nepal Kailash Trekking Pvt. Ltd.,"Yoyesworu Marg,","014365099,9851064386,"
Nepal Tours,"Lazimpat Road, Kathmandu, Nepal,","+97714002108+97715554471,9851090345,"
Chhaimale Resort,"Ramche Bhanjyang-6, Kathmandu, Nepal,","01-4268121,98511814099860676495,"
PREMIER TOURS AND TRAVELS,"NAGPOKHARI NEAR JAI NEPAL HALL,","+977-01-444335801-4437919,9849078549,"
HOTEL JAY VIJAY,"Sunauli, Butwal/Bhairahawa","523029,98470122119804482622,"
Nepal Trekking Trails Pvt. Ltd.,"Naya Bazzar 17 Nepal,","01-4350828,9818852722,"
Himalayan Trekking Path P.Ltd.,"Paknajol marg-16, Hotel Dream City buliding,","+97714251256,+9779849683092,"
The Nepal Trekking Company (p).Ltd,"Yapikhya Marga,Thamel Kathmandu Nepal,","014 219082,+977 9841812218,"
World Race Travels & Tours,"Koteshwor,","015147079015147220016923746,9851012105,"
Highland Expeditions Nepal Pvt Ltd,"Saraswatinagar-06, Kathmandu, Nepal,","+977-1-4821396+9779851029564,+977-9851029564,"
Nepal Mother House Treks & Expedition Pvt. Ltd.,"Bhagwan Bahal, Thamel, House No: 125, Kathmandu, Nepal.,","0977-1-4510370,0977-9841368753,"
Accessible Adventure Pvt. Ltd,"Kaldhara, Thamel,","+97714701444+9779851058702,+9779801026351,"
Peregrine Treks and Expedition Pvt Ltd,"Nayabazar, Kathmandu, Nepal,","+97714700033+9779851052413,9851052413,"
Adam Tribe Organic Farm Pvt. Ltd.,"Pakhure, Makanpur , Ghadichhina , Kaski , Ghandichok 8,","9856034795,9808483777,"
Massif Holidays Pvt. Ltd.,"Palpasa Marga, Nayabazar,","+97714389823,9849088214,"
Nepal Holiday Treks And Tours Pvt. Ltd,"Thamel, chowk Kathmandu ,","14700952,+9779843770916,"
Sisne Rover Trekking (P) Ltd,"Lakeside-6,","+977 61-462208+977-(0)61-461893,+977-9856020976,"
The Nepal Trekking Company (p).Ltd,"Thamel Chhetrapati 16,Kathmandu Nepal,","014 219082,+977 9841812218,"
THe Nepal Trekking Company,"Chhetrapati Chowk, Thamel Kathmandu Nepal,","+977 014 219082,+977 9841812218/ 9810107286,"
ARV Holidays Pvt. Ltd.,"7th Floor, New Road Complex, New Road, Kathmandu,","08527006665,,"
Hotel National Park Sauraha,"sauraha road 44200, Chitwan National Park, Chitwan, Nepal,","09845155749,09845155749,"
Info Trekking Nepal,"Thamel, Kathmandu, Nepal,","9849074797,+977-1-4387710,"
Himal Eco Treks Pvt. Ltd.,"Dhalku , kathmandu,","+977 01 4250061,9843253637,"
Eco-Friendly Treks & Expeditions,"Khusibu,","9851066416,,"
Royal Mountain Trekking Pvt. Ltd.,"Durbar Marg, Kathmandu,","+977-1-4241452,9851023943,"
Adventure Mountain Treks and Expedition Pvt. Ltd,"Nayabazar-16,","9841720005,9841720005,"
ALPS ADVENTURE TREK AND EXPEDITION PVT. LTD.,"Naxal-1, Kathmandu,","+977-01-4425993,9841293254,"
Future Nepal Friendship Organization,"Thamel,","9849056230,9849056230,"
Himkala Adventure,"Lekhnath Marga - 28,","+9779841376470,+9779841376470,"
Sineru Serviced Apartments,"Tokha Road, Dhapasi,","01-5125023,+977-9801098946,"
Snow touch travel and treks pvt. ltd,"lakeside 6 pokhara,","061-467645,9856047927,"
Nepal Trekking & Tour Guide,"Manamaiju-8,Kathmandu,","0977-014361311,0977-9851051658,"
Water Team Nepal,"Nayabazar ,","014351761,9849142459,"
HAMIMA TRAVEL AND TREKKING (P.) LTD.,"KOTESHWOR-35,","+977-1-4601500,+9779803032566,"
Mountain Movers Pvt. Ltd.,"Narsinghchowk, Thamel,","014264759,9818370840,"
Hike Himalaya Treks & Expeditions Pvt. Ltd.,"Gokarneshwor-15,Kathmandu,Nepal,","+97714916076,9813209399,"
Himalayan Exodus Treks & Tours P. Ltd,"Thamel, Bhagwan Bahal,","977-1-4429014,+9779851016655,"
Mountain Fuji Adventure Pvt. Ltd,"G.P.O. Box# 8974, CPC 167, Tridevimarg, Thamel, Kathmandu, Nepal,","977 1 4438118,977 9851018068977 9851050313977 9851057312,"
Diana Trekking Pvt. Ltd.,"Chaksibari Marga, Thamel-26, Kathmandu ,","977-01-4700890,9779851057890,"
Mountain Rock Treks & Expedition Pvt. Ltd.,"Z-Street, Thamel, Kathmandu, Nepal,","+977 1 4701233,+977 9849023179,"
Hotel florid nepal,"Z street thamel,","014701233,9849023179,"
Emerging Nepal Trek & Tours,"P.O. Box: 19235, Narsing Chowk, Thamel, Kathmandu, Nepal,","+977-1-4257561+977 - 9849833672,,"
MyNepalTours,"Ganeshman Singh Rd, Kalimati (Opposite to Sworna Laxmi Co-operative) 2nd Floor Kathmandu,","4272458,,"
Nepal Travel Guide,"Pepsicola, Swabalambi Marg,","unknown,9843397089,"
Kundalini Travel Nepal Pvt. Ltd.,"Sundhara,","00977-1-42531284254398,00977-9851102129,"
Classic Himalayan Travels & Tours,"G. P. O. Box 7860, Nag Pokhari, Naxal Kathmandu, NEPAL,","+977 (1) 4414943,+977 (1) 4414944,"
Exotic Mt. Treks Pvt. Ltd.,"Gongabu Chowk, in front of Infinity Movies, P.O. Box: 7263, KTM, Nepal,","+977-1-4958704,+977-9841457324,"
Mission Himalaya Treks and Expeditions Pvt. Ltd.,"Thamel, Kathmandu, Nepal,","+977 1 4410175,+977 9841965533,"
Nepal Everest Base Camp Company,"Thamel Marg, Kathmandu, Nepal,","+977 9851087391,+977 9851087391,"
Skyline Holiday,"Near Bus station,","9623883366,9823883366,"
"TEAM HIMALAYA P,LTD","THAMEL,","014387378,,"
TheEverestHoliday,"sorakhutte,Thamel,","+977-9851022303,,"
Breeze Adventure,"Thamel Marg, Kathmandu, Nepal,","+9779851045078,,"
Epic Adventure,"Thamel,Kathmandu,","014700419,9861500419,"
High Camp Adventure,"P.O. Box: 2611, Thamel Marg, Kathmandu, Nepal,","+977 9851031822,,"
Global Fellowship Nepal,"Balaju, Kathmandu,","+977-1-4357410,+977-9851002506,"
Nepal Holiday Treks And Tours Pvt. Ltd,"Thamel, chowk Kathmandu ,","+977 14700952,+977 9843770916,"
WINDHORSE TREKKING PVT. LTD.,"Dhumbarahi, New Colony,","977-1-4376641,,"
