Name,Address,Telephone
Photo Choice Nepal Wedding photography,"Koteshwor,","015149951+977 1 443 8055,9841509591,"
R. R. JEWELLERS,"Amrit Marg, Thamel,","4241947,9803783436,"
"Fabulous Enterprises, Lokanthali","Madhyapur Thimi - 16, Lokanthali, Bhaktapur, Nepal,","01-6637947,98496001909818989698,"
WhiteFOXEnt. Pvt. Ltd,"PrithiviChowk,","+977-61531782,+977-9856070654,"
Clover,"Kamaladi apex building,","014168619,9841966259,"
Yubak Brass Band Baja,"Chabahil,","9803037729,9803037729,"
Cmdfoodland,"Naxal Tangal,","00977-1-44384464415997,9851011734,"
Forever RK Photography,"Magargaun, Sanothimi, Bhaktapur, Nepal,","9841658461,9851158461,"
Javana Jewellery Pvt. Ltd,"Baber Mahal Revisited,","00977-1-4260369,,"
Neelez Fashion Boutique,"Kumaripati, Laltipur,","9801033880,9862375917,"
Baniya Flowers & Gift Shop,"Narayangopal Chowk, Maharajgunj Kathmandu 44600,","9860407429,,"
nabincinematography.com,"Devinagar-13, Nabin Tole,","+977-9865059388,+977-9844700093,"
Wedding FotoSewa Nepal,"Koteshwor,","9841628512,9841628512,"
Kapada Rent,"New Baneshwor, Shankhamul Marg, Pragati road,","unknown,981-85365209840068360,"
Sagrmatha Darshan Pvt. Ltd.,"New Baneshwor, Kathmandu,","9851025303,,"
Budhanilkantha Band Baja,"Budhanilkantha,","9841809961,9841809961,"
Wedding Waves,"Gairapatan 04 Pokhara,","9856062972,9806762972,"
Nepa-Sa,"House # 207,Sankata, Tebahal, New Road,Kathmandu,","977-1-5713604,977-9851023450,"
Budhanilkantha BandBaja,"budhanilkantha,","+977-984180996198497937589818933558,,"
Satya Sai Nursery,"Tikabhawan, tilottama-6, Rupendehi, Nepal,","071560205,9804408679,"
Aishwaryavideos - Candid wedding photographers in Coimbatore,"4/A1, N.G.Narayanasamy Street, New Siddhapudur, Coimbatore â 641 044.,","unknown,9842223291,"
Zigzag Digital Photo Studio,"Madhyapur Thimi-7, millroad,","6636014,9841213296,"
RKRAJ Photography,"Kalika-06, Kholesimal Bazaar, Bharatpur, Nepal, 44200,","9805891010,9805891010,"
AVINAWAN MEDIA PVT. LTD.,"Tebahal, New Road,","0157139715713919,,"
Hamromilan,"Baneshwor ,","unknown,,"
Virgo Fashion Studio & Collection,"Dhapakhel, Lalitpur,","9803450387,9803450387,"
Best Institute for Web Designing,"1 Debi Nibas Road, Near Motijhil Girl's High School","9433365039,,"
NepaliVivah,"Bagmati,","unknown,,"
NEW CHOICE TAILOR SHIRTING AND SUITING CENTER,"Kalanki Chowk, Besides GLOBAL IME Bank,","+977-1-4271193,,"
Wedding Story Nepal,"Baneshwor,","9813388999,9813388999,"
Mahavir kirana,"Dhangadhi chauraha kailali Nepal ,","091522705,,"
BAGMATI FLORA PVT. LTD.,"Kathmandu Plaza,","42451089841795954,,"
DAFFODIL FLOWERS SHOP,"Pulchowk, Lalitpur","5528114,,"
DAFFODILS FLOWERS SHOP,"Kamaladi,","443532920032145528114,,"
KOHINOOR FLOWERS AND GIFT SHOP,"Kathmandu Plaza,","4248064,,"
LUCKY FRESS FLOWERS N GIFT SHOP,"Kathmandu Plaza,","016915176,,"
THE FRESH FLOWER SHOPEE,"Kamaladi,","42442969851015344,,"
b. traders,"Tachpal,","unknown,,"
