Name,Address,Telephone
The Vesper House,"Jhamsikhel,","5009240,,"
Vokopoko,"Juneli Marg, Biratnagar,","9824357895,9824357895,"
Greenline Center Pvt. Ltd.,"Durbarmarg, Kathmandu, Nepal,","+97714239956,+9779616339957,"
Yellow House Resort,"Kalika, Gaindakot,","9806927163,9806927163,"
Rusty Garden,"Jhamsikhel Lalitpur,","+9779813928043,,"
Choice Mart,"Jadibuti kathmandu Nepal,","01-6924355,,"
JAWALAKHEL DISTILLERY PVT.LTD.,"Jawalakhel,","+977-1-5522010+977-1-5538875,,"
SPG Trading Pvt. Ltd.,"SG Tower, Thapathali,","014229922,,"
Namaste Mart Pvt. Ltd.,"Swoyambhu, Kimdol Taxi Stand,","01-4278914,00977-9818110550,"
nepaldelivery.com,"newbaneshwor, Kathamdndu,","9841473002,9851173002,"
Mezze by Roadhouse,"Mercantile Plaza, Durbarmarg,","01-4223087,,"
Himalayan Distillery (P) Ltd.,"Pulchowk, P.O. Box: 423, Ktm,","00977-1-552201055384605538875,,"
KG Enterprises,"Delhi,","+919211723444+919818445305+919717019659,+919211723444+919818445305+919717019659,"
The Nepal Distilleries (P) Ltd.,"Balaju, P.O. Box: 45, Ktm,","00977-1-43507254350988,,"
Highland Distillery Pvt. Ltd.,"Tripureswor, P.O. Box: 7207, Ktm,","00977-1-42657584245792,,"
Amrawati Madyashala (P) Ltd.,"Kalimati, P.O. Box: 929, Ktm,","00977-1-42728794270730,,"
Himalayan Distillery (P) Ltd.,"Parsa,","580315-17,,"
Scot & Scott's (Nepal) Pvt. Ltd.,"Kamaladi, P.O. Box: 21226, Ktm,","00977-1-42193514219350,,"
Shree Distillery (P) Ltd.,"Naxal, P.O. Box: 13860, Ktm,","00977-1-44163304428607,,"
United Breweries Nepal (P) Ltd.,"Lazimpat,","00977-1-4443072,,"
Green Line Centre (Pvt.) Ltd.,"Phora Durbar, Kanti Path,","+977-1-4257277,,"
D. R. Traders & Suppliers,"Lalitpur,","00977-1-55429509851060831,,"
Jawalakhel Distillery (P) Ltd.,"Jawalakhel,","00977-1-553887555220105522494,,"
Snowland Distillery Pvt. Ltd.,"Maharajgunj, P.O. Box: 8975 EPC 954,","00977-1-4417712,,"
Sumy Distillery P. Ltd.,"Maharajgunj, P.O. Box: 8975 EPC 5407,","00977-1-47208194720818,,"
Wines & Liquor Shop,"Buddha Marg,","525888525644,,"
Shree Distillery (P) Ltd.,"JX74+F64, E - W Hwy, Naya Belhani 33006","+977-56-555031,,"
K&K International,unknown,"00977-1-40055034005504,,"
Mark Davidson & Miracle Wines,"Kathmand,","00977-1-42528419841421259,,"
Golden Globe Liquors (P) Ltd.,unknown,"522470,,"
Nepal Liquors Pvt. Ltd.,"P.O. Box: 2, Morang,","526865524396,,"
Shree Sharada Distillery (P) Ltd.,"Bhanu Chowk,","520254520117,,"
Prime International & Highland Distillery,"Tripureshwor,","+977-1-4265758+977-1-4245794,,"
Sharada Distillery (P) Ltd.,unknown,"+977-33-529227,,"
Amrawati Madyasala (P) Ltd,"Sarlahi,","520002,,"
Chhimkeswori Enterprises,"New Road,","00977-1-42467144241769,,"
City Wine,"Pakanajol,","00977-1-62100054701363,,"
Eastern Nepal Distillery,"Jahada,","522579,,"
Golden Globe Liquors (P) Ltd.,"Tanki Sinuwari,","540488,,"
Jay Kali Traders,"Budhanilkantha,","00977-1-4376649,,"
Karnali Distillery P. Ltd.,"Khajurakhurd,","+977-1-520849,,"
Kaski Distillery,"Chhore Patan,","520110,,"
Lumbini Distillery,"Airport, Bhairahawa","520310,,"
ND Wines,"Narayan Gopal Chowk,","00977-1-47210289803098568,,"
New Blue Line Center,"New Baneshwor,","00977-1-4467480,,"
Osake Trade Concern,"Sundhara,","00977-1-4221413,,"
Palhi Distillery,"Bhairahawa, Bhairahawa","520629,,"
Sahara Traders,"Chhetrapati,","00977-1-42518409851041106,,"
Suman Madira Bikri Kendra,"Amarpath, Bhairahawa","540492,,"
Tiwari Store,"New Road,","00977-1-4267505,,"
Variety Wine Shop,"New Baneshwor,","00977-1-2151724,,"
