Name,Address,Telephone
Annapurna Foothills Treks & Expedition,"Narayantar, Jorpati,","014917745+977 9841579429,977 9860711710,"
Outshine Adventure Pvt.Ltd,"Thamel, pakanajol,","(+977)014701444,9801026351,"
Trekking Guide Team Adventure,"3rd Floor Puskar Hotel, Nursingh Chwok, Thamel, Kathmandu, Nepal,","9851229400+977 - 01- 4218807,+977 9851229400,"
Boundless Adventure (p) Ltd,"Thamel, Kathmandu, Nepal,","977-1-4701884+9779851033819,977-1-9851033819,"
Nepal Tours,"Lazimpat Road, Kathmandu, Nepal,","+97714002108+97715554471,9851090345,"
Himalayan Recreation Treks & Expedition Pvt. ltd,"kathmandu NEPAL,","97714388009,9779851101413,"
Etrip Nepal (p). Ltd.,"Gairidhara, Naxal, Katmandu, Nepal,","014419437,9851182434,"
Chhaimale Resort,"Ramche Bhanjyang-6, Kathmandu, Nepal,","01-4268121,98511814099860676495,"
Snepal Tours & Travel Pvt. Ltd.,"Thamel,","00977-1-4260072,+919873014569,"
HOTEL JAY VIJAY,"Sunauli, Butwal/Bhairahawa","523029,98470122119804482622,"
Star Adventure Asia Treks (P) Limited,"Boudha-6, Kathmandu, Nepal,","00977-1-4499244,00977-9803626021,"
Nepal Trekking Trails Pvt. Ltd.,"Naya Bazzar 17 Nepal,","01-4350828,9818852722,"
Everest Expeditions Nepal Pvt. Ltd.,"Budanilkantha-12, Kathmandu, Nepal, Kapan-1,","014820243,9841704019,"
Guided Expedition Pvt.Ltd.,"Gongabu,Nepal,","0097714361878,009779843537635,"
Nepal Glacier Treks and Expedition Pvt. Ltd.,"Amrit Marg, Thamel,","+977 1 4253208,9851026859,"
The Nepal Trekking Company (p).Ltd,"Yapikhya Marga,Thamel Kathmandu Nepal,","014 219082,+977 9841812218,"
Adventure Zambuling Treks (P) Ltd.,"Boudha, Kumarigal-7, Kathmandu, Nepal,","0097714467712,9851057116,"
Nepal Mother House Treks & Expedition Pvt. Ltd.,"Bhagwan Bahal, Thamel, House No: 125, Kathmandu, Nepal.,","0977-1-4510370,0977-9841368753,"
Accessible Adventure Pvt. Ltd,"Kaldhara, Thamel,","+97714701444+9779851058702,+9779801026351,"
D & D Treks International Pvt. Ltd,"JP MARG - 29, THAMEL,","01-4220295,9851004076,"
ENepal Trekking,"Thamel, Kathmandu, Nepal.,","014701051,9851017772,"
Friendship World Treks,"Budanilkantha-12, Kathmandu, Nepal,","+97714820951,+97714820951,"
Incredible Himalayan Sherpa Adventure Pvt.Ltd,"Amrit Marg st. Bhagwan Bahal, Thamel, ktm,","+977-1-4411641,+9779841071023,"
Outfitter Nepal Treks & Expedition P. Ltd.,"P.O.Box: 19058, Thamel, Kathmandu, Nepal,","0097714443103,009779851137380,"
Peregrine Treks and Expedition Pvt Ltd,"Nayabazar, Kathmandu, Nepal,","+97714700033+9779851052413,9851052413,"
Himalayan Exploration Treks PVT.LTD,"Khusibun -17, Naya Bazaar,","+977-1388913,+977-9841023371,"
Himalaya Darshan Treks Pvt. Ltd,"Kathmandu 44600, Nepal,","977-1-4823747,977-9841073239,"
Massif Holidays Pvt. Ltd.,"Palpasa Marga, Nayabazar,","+97714389823,9849088214,"
Mountain Mart Treks & Expedition (P) Ltd.,"Kaldhara Marg, Thamel, Kathmandu, Nepal,","01-4262199,9851082484,"
Nature Lovers Treks and Tours,"Tarkeshwar-9,","9851244768,9851244768,"
Nepal Mountain Hub Treks & Expedition Pvt. Ltd.,"Amrit Marg Kathmandu 44600,","0097714425830,009779843721720,"
Nepal Holiday Treks And Tours Pvt. Ltd,"Thamel, chowk Kathmandu ,","14700952,+9779843770916,"
Nepal Pyramids Trekking and Climbing,"Budanilkantha - 2, Bhadrakali Marg,","01 4370625,9851052003,"
The Nepal Trekking Company (p).Ltd,"Thamel Chhetrapati 16,Kathmandu Nepal,","014 219082,+977 9841812218,"
The Nepal Trekking Company (p).Ltd,"Thamel Chhetrapati 16,Kathmandu Nepal,","014 219082,+977 9841812218,"
The Nepal Trekking Company (p).Ltd,"Yapikhya Marga,Thamel Kathmandu Nepal,","014 219082,+977 9841812218,"
THe Nepal Trekking Company,"Chhetrapati Chowk, Thamel Kathmandu Nepal,","+977 014 219082,+977 9841812218/ 9810107286,"
Adventure 14 peaks nepal pvt.ltd,"Jayatha thamel bramakumari marg,","+977-1-4263911,+977-9841625206,"
ARV Holidays Pvt. Ltd.,"7th Floor, New Road Complex, New Road, Kathmandu,","08527006665,,"
Info Trekking Nepal,"Thamel, Kathmandu, Nepal,","9849074797,+977-1-4387710,"
Nepal Footprint Holiday P. Ltd.,"Chaksibari Marga 16 - Thamel, Kathmandu,","0097714701091,009779841459861,"
Team Himalaya pvt.Ltd.,"sorakhute 16,kathmandu Nepal.,","01-4387378,9849234266,"
Adventure Vision Treks and Travels Pvt. Ltd,"Amrit Marg Thamel,","9841120805,,"
Global Link Tour & Travel,"Bagmati,","014440560,9851195940,"
Himalayan Eco Trek & Tours,"Tridevi Marg,","+97714266382,+9779803478328,"
Himal Eco Treks Pvt. Ltd.,"Dhalku , kathmandu,","+977 01 4250061,9843253637,"
Mountain River Rafting,"Thamel, Kathmandu Nepal,","97714700770,9851088440,"
Pathfinder Treks & Expedition,"Paknajol thamel ,","+97714350244,+9779803397710,"
Rara Treks Tours and Travels P.Ltd,"Thamel, chhetrapati, Kathmandu, Nepal ,","+97714221650,9851177054,"
