Name,Address,Telephone
Gorkha Brewery Pvt. Ltd.,"Hattisar, P.O. Box: 4140, Ktm,","00977-1-444444544443214444323,,"
Club Platinum,"Yak & Yeti Hotel,","4248999 Ext. 2752,,"
Himalayan Brewery Pvt. Ltd.,"Sanepa, P.O. Box: 1448, Ktm,","00977-1-55527935552794,,"
MOUNT EVEREST BREWERY PVT. LTD.,"Exhibition Road,","42271264227098,,"
Mt. Everest Brewery (P) Ltd.,"Sinamangal,","00977-1-446191844622484464388,,"
PRASHANTA ENTERPRISES,"Main Road, Chitwan","520295,,"
United Breweries Nepal (P) Ltd.,"Hetauda Ind. Estate,","520452520451,,"
Club 2000,"Sundhara,","00977-1-4256779,,"
McBorg Nepal Pvt. Ltd.,"Sinamangal, P.O. Box: 23263, Ktm,","00977-1-20905104489285,,"
HIMALAYAN BREWERY LTD.,"Putalisadak,","44107914411888,,"
UNITED BREWERIES (NEPAL) PVT. LTD.,"Ind.State,","520286520450,,"
ANNAPURNA TRADE CENTRE,"Main Road, Chitwan","520139,,"
Arundaya Traders,"Main Road,","520847521183,,"
AURUNDAYA TRADERS,"Main Road, Chitwan","520847,,"
Babylon Discotheque,"Sundhara,","00977-1-4248755,,"
CHITWAN SUPPLY CENTRE,"Main Road, Chitwan","520139520847,,"
Club Dynasty,"Durbar Marg,","00977-1-4222686,,"
CLUB DYNASTY DISCOTHEQUE,unknown,"4222686,,"
Galaxy Dischotheque,"Hotel Everest,","00977-1-4780100 Ext. 7913,,"
Galaxy Disco Tec,"-,","00977-1-98412510819851017070,,"
GALAXY,"New Baneshwor,","4780100,,"
Ghiraiya Impex,"Shukra Path, P.O. Box: 4078, Ktm,","00977-1-42640724263972,,"
Himalayan Brewery Pvt. Ltd.,"Godawari,","00977-1-55605555560557,,"
Nepal Brewery Co. (P) Ltd.,"Industrial Estate,","520286520452,,"
Nepal Brewery Company,"Main Road,","522336,,"
NEPAL BREWEY COMPANY,"Main Road,","522336,,"
Platinum The Premium night Club,"Durbarmarg,","00977-1-425522742489999851040276,,"
PRAYUSH ENTERPRISES,"Sahidchowk, Chitwan","520529,,"
Sharma Son Brewery (P) Ltd.,"Shreepur,","522775,,"
SHARMASON BREWERY PVT.LTD.,"Shripur,","522775,,"
STAR DISCO,"Jawalakhel,","4491397,,"
The Black Pearl,"Hotel Yak & Yeti,","00977-1-42489994240520,,"
THE ROYAL DISCOTHEQUE,unknown,"4231771,,"
UNITED BREWERY NEPAL PVT. LTD.,"Ind.State,","520452520451,,"
Zhakash Dancing Pub,"Tripureshwor,","00977-1-2010461,,"
