Name,Address,Telephone
Mount Everest Homeo Medico Pvt Ltd,"RCT Market, Itahari Chowk,","025-582744,9842075941,"
Nepal Hypnosis Clinic and Training Center,"Bhat Bhateni, Dhalku,","+97714414779,9841231389,"
DXN NEPAL,"Butwal ,","9805478488,9847315795,"
Himali Tulsi Herbal Tea,"Banepa-6, Kavre,","011-663262,9849284030,"
Real Therapy and Beauty Point,"Samjhana Street,Thamel, Kathmandu 44600,","9801166651,9801166651,"
Patanjali Ayurveda Kendra Pvt. Ltd.,"Ring Road, Nagarjun,","+977-1-5970104+977-1-4674666+977-1-4674777,,"
TOUCHBeauty Laser Clinic,"Old Baneshwor,","0097714469302,9841549320,"
Aeron International Nepal,"Kathmandu Nepal,","009779801109909,009779841055795,"
Fleur Himalayan Ltd.,"Jeetpur, Simra (Bara), Nepal,","+977-1-5529059,,"
Himali Herbal Industries,"Kavre,","011-663262,9849284030,"
ROYALTRADERS,"DASS,","9810403604,,"
Bhaktapur Physiotherapy Clinic,"Jagati-2,","6612839,9849125781,"
Rachana Orhto-Neuro Rehabilitation Center,"Lagankhel, Lalitpur Opposite to Patan Hospital,","+97715004068,+9779840013209,"
AYURVEDA HEALTH HOME PVT. LTD.,"Dhapasi,","4358761,,"
CLASSICAL HERBAL GROUP NEPAL PVT. LTD.,"Dhapasi,","43637004355842,,"
Maharsi Ayurveda and Yoga Clinic,"Putalisadak, P.O. Box: 2869, Ktm,","00977-1-44308114358761,,"
Nepal Traditional Ayurvedic Medicinal Practitioner Association,"Mahabouddha,","00977-1-4223960,,"
Herbals Ondemand,"14747 N Northsight Blvd Suite 111, PMB 309,","1(702) 425-5214,1(702) 425-5214,"
Ayurveda Health Home,"Dhapasi, P.O. Box: 2869, Ktm,","00977-1-43587614380457,,"
Ayurveda Cure,unknown,"unknown,977-9841841966,"
Dr. Ram Mani Bhandari,"Jorpati-7, Kathmandu,","+9779841841966,,"
Karuna Healthcare,"Maharajgunj, P.O. Box: 11992, Ktm,","00977-1-4017511,,"
Pure Vision Sorig Healing & Research Center,"Boudha, P.O. Box: 26520, Ktm,","00977-1-44600589841687137,,"
AAYUSH ENGINEERING,"Shivashakti Ind. Estate, Ahmedabad","91-79-30918616,,"
AYURVEDA HEALTH HOME AND RESEARCH CENTRE,"Dhapasi,","4358761,,"
CHAMUNDA PHARMA MACHINERY PVT. LTD.,"Vatva, Ahmedabad","91-79-25842679/8425842712/13,,"
GORKHA AYURVED CO. PVT. LTD.,"Khusibu,","43527634382721,,"
GORKHA EXIM PVT. LTD.,"Balaju,","43577174357716,,"
GURUVED HERBALS AND AYURVEDIC PVT.LTD.,"Vatva, Ahmedabad","91-79- 26891118,,"
HIMALAYAN HERBS TRADER,"Baluwatar,","44321904442043,,"
N.N. HERBLE INDUSTRIES PVT. LTD.,"Tahachal,","42756644285807,,"
ROBEUS INTERNATIONAL PVT. LTD.,"Kathmandu,","4461288,,"
UAP PHARMA PVT. LTD.,"Gujrat Ind. Estate, Ahmedabad","91-2717-250944251120,,"
Ahava Ayurveda Medicine and Treatment Center,"Budhanilkantha,","00977-1-4376960,00977-9808015213,"
Nature's Health Solution Pvt. Ltd,"Bagdole-4,","00977-1-5001127,00977-984-113-3066,"
Patanjali Ayurveda Kendra Pvt. Ltd.,"Butwal (Branch), Bhairahawa","544714,,"
Tranquility Spa & Beauty Academy,"Lazimpat,","00977-1-4420424,00977-9851021261,"
Ahava Ayurveda,"Sidharta colony, Buddanilkanta,","977-9808015213,,"
