Name,Address,Telephone
Himalayan World Wide Educational Consultancy,"4th Floor of Himalayan Bank, Opposite to, BICC Hall, (South Gate ) New Baneshwor, Kathmandu 44600, Nepal,","+977 1-4785685,,"
7S Incorporates Pvt Ltd,"Lalitpur-4, Bagdol, Lalitpur,","+977 9847 693 124,+977 9847 693 124,"
Snepal Tours & Travel Pvt. Ltd.,"Thamel,","00977-1-4260072,+919873014569,"
AVS Tour & Travels Pvt. Ltd.,"Dhumbarahi Chowk ( Near Nepal Investment Bank),","+977-21-693075,+977-9805374034,"
Everest Flyers,"Pinglashthan, Gaushala, Kathmandu,","01-4113819,9849405110,"
Plan Nepal Travels & Tours (P) Ltd.,"Thamel, Bhagati bahal.,","+977-1-442232544223264435300,+977-98510 936829801044333,"
ALPS ADVENTURE TREK AND EXPEDITION PVT. LTD.,"Naxal-1, Kathmandu,","+977-01-4425993,9841293254,"
Golden Gate Holidays Travels & Treks Pvt. Ltd.,"3rd Floor, Prime Bank Building, New Baneshwor ,","+97714499761/4465760,+9779801020642,"
SAGAURAV JHUMKA TRAVEL & TOURS (P) LTD.,"Main Road, Night Bus Station, Jhumka,","025562186,9815361407,"
Dream Tibet Travel & Tours (P) Ltd,"Thamel-29, Kathmandu, Nepal,","+977 1 4444 339,9851162422,"
Prahar Holidays pvt. ltd.,"Naxal-01, Nagpokhari,","+977-01-442684144268844426860,9801094800123456,"
Summit Trooper Treks & Expeditions Pvt. Ltd.,"Ward No. 1 Kingsway, Level 3 Landmark Apartments, Kathmandu, Nepal,","+977 14444227,+977 9851030705,"
Luxury Travels and Tours Pvt Ltd,"Narayanchaur, Naxal, Kathmandu Metropolitan City-1, Nepal,","01-4446127,,"
Miracle Career Consult,"MCC House, Dillibazar,","+97714436022,+9779851056103,"
Mountain Movers Pvt. Ltd.,"Narsinghchowk, Thamel,","014264759,9818370840,"
PEC ATTESTATION & APOSTILLE SERVICES,"F3, SAHAJANAND COPLEX, Near Associate Petrol Pump, CG Road, Ahmedabad 380006,","079 40396163,9879872707,"
HIGH SPIRIT TREKS AND EXPEDITION NEPAL PVT. LTD.,"Thamel,","+977-1-4701084,+977-9851033257,"
Diana Trekking Pvt. Ltd.,"Chaksibari Marga, Thamel-26, Kathmandu ,","977-01-4700890,9779851057890,"
GREEN APPLE INC. PVT LTD,"APPLE BUILDINGS ,DILLIBAZAR-33,","977 1 4430511,977 98510 88370,"
TUN Travel,"Thamel, P.O. Box: 21688,","2439230898,,"
Seven Star Trekking & Tours Pvt. Ltd,"Thamel,","+977-1-4265559,+977-9851138559,"
Expert Education & Visa Services,"Level 5, The Glass House, Putalisadak Kathmandu,","(+977) 14 433 355,,"
PEC Attestation & Appostile Services,"33/15, Prashant Building, Karve Road, Opp Abasaheb Garware College, Pune 411004,","02049027000,9404450674,"
