Name,Address,Telephone
Online Saathi,"Koteshwor, Kathmandu, Nepal,","+977-01-5147281,9812370139,"
MUNCHA HOUSE,"New Road,","977-1-5535757977-1-553941442214704255479+977 1-5550877,,"
Caravan Readymade Company Private Limited,"Baburam Acharya Sadak,Setopul, Old Baneshwor,,","9841017539+977 9851097552,9851097552,"
Til Ganga Eye Centre,"Gaushala, Bagmati Bridge P. O. Box # 561,","+977-1-597 0048,,"
KathmanduClothing.com,"Hotel Marga, Lazimpat Road 29,","+97714005037,+97714005037,"
Reliance Spinning Mills Ltd.,"Basantapur, P.O. Box: 545, Ktm,","00977-1-42415044245905+97714241853,,"
Daraz Nepal,"Kathmandu, Central Development Region,","+977 980 1292 929,,"
Vision Concern Optics and Eye Clinic,"Lazimpat, Kathmandu, Opposite to Machapucchre Bank,","977-016914720,9851061108,"
SmartDoko Pvt Ltd,"Kathmandu, Nepal,","9801013311,,"
Big Shop Nepal,"Bhotebahal Kathmandu,","9851246802,9851246802,"
PROM GIRL NEPAL,"Boudhanath Sadak, Gokarneshwor 44600, Nepal,","+977 9861016182,+977 9861016182,"
Elegant Fashion,"Shop No 318, 3rd Floor, BishalBazar, NewRoad,","9816235720,9816235720,"
Bag/Suitcase Repair,"Thimi, Dakshinbarahi marg, Bhaktapur ,","9851097552,9851097552,"
Caravan Readymade Company private limited,"Naya Thimi, Dakshinbarahi Marg,house no 21,","977 9841017539+977 9851097552,977 9851097552,"
Divya Suppliers and Distributions,"Bhotebahal,Kathmandu,","9851065580,9823155942,"
Enroz Group P. Ltd: Online shopping in Nepal,"Old Baneshwor, Kathmandu, Nepal,","01-4487312,,"
Klod Fashion Exquisite Boutique,"new road chiplidhunga, behind purnima hall pokhar nepal ,","+977-61-521800,+977-61-521-800,"
Visual Line Opticals Contact Lens & Eye Clinic,"Bansbari road, Narayan Gopal Chowk, Kathmandu, nepal,","9860344968,9860344968,"
Threadpaints Store,"JHAMSIKHEL CHOWK, JHAMSIKHEL, LALITPUR,","(+977) 01-5013588,,"
Add Link It Solution,"Bharatpur-3, Sheedchowk,","9867854777,9867854777,"
Clovia Nepal,"Dhobichour-17,","4251345,9823051898,"
Greedytraveller,"House no- 18, Gate no- 1, surya chandra colony, kandaghari, kathmandu, 44600,","9801018909,,"
Janaki Homestore,"Lekhnath Marg 77, Sarouchiya,","9802809000021516055021511931,9802809000,"
Neelez Fashion Boutique,"Kumaripati, Laltipur,","9801033880,9862375917,"
Lumbini Eye care Optical and contact lens Clinic,"Tilottama-5, Manigram, Rupandehi,","071562885,9857035765,"
Mahaguthi Craft with Conscience,"Kupondole, Lalitpur,","552160755331975532981,,"
Mero Nana,"Gokarneshwor,","015134223,9841305562,"
