Name,Address,Telephone
Chabahil Drishti Eye Care Center and Opticals,"Chabahil Chowk,","014470144,014470144,"
OpticProduct Distributors,"OpticProduct Distributors(à¤à¤¶à¥à¤®à¤¾ à¤ªà¤¸à¤²), Maiti Devi Marg, Kathmandu 44600,","4434870,9803567567,"
"Drishti Eye Care, Baneshwor","New Baneshwor, Madan Bhandari Path,","01-4783994,9802623444,"
Rachana Eye Care & Optical,"Rapti Road, Hetauda, nepal,","9745080770,9855020517,"
citi eyewears,"Chakku Bakku Mandir Marg. Opposite to BICC. New Baneshwor. Kathmandu, Nepal.,","unknown,9841687596,"
Vision First Opticals & Eye Clinic,"Narayangopal Chowk, Maharajgunj, Kathmandu, Nepal,","00977-1-4011507,9860344968,"
Metro City Opticals,"Maitidevi ,","01-4429983,9860805547,"
BUDDHA OPTICAL,"Minbhawan,","016910519,,"
KHUMBU HIMALAYA INTERNATIONAL TRADE PVT. LTD.,"Naxal,","4442554,,"
LENSCRAFT OPTICALS AND CONTACT LENS CLINIC,"Jamal,","42695494246933,,"
LENSCRAFT THE OPTICAL SHOP,"Khichapokhari,","42426184250902,,"
NATIONAL OPTICAL AND CONTACT LENS CLINIC,"Khichapokhari,","4222917,,"
VISION CARE CENTRE,"Maharajgunj,","016915588,,"
M. K. NETRA JYOTI OPTICAL HOUSE,"Gaushala,","4469772,,"
NEW NEVIES CORNER,"Khichapokhari,","4221971,,"
KAWA CHASMA GHAR,"Narayangadh, Chitwan","520851,,"
BRIGHT VISION OPTICAL SHOP,"Khichapokhari,","4269172,,"
CHASHMA PASAL,"Tilganga,","4486715,,"
DIVINE VISION,"Chabahil,","44676869841300113,,"
EVEREST OPTICALS,"Tripureshwor,","4258356,,"
FINE OPTICAL CENTRE,"Gaushala,","4497185,,"
FRIENDSHIP OPTICAL CENTRE,"Chabahil,","4460351,,"
I.K. EMPORIUM,"Bishalbazar,","98414843779841305096,,"
I,"Khichapokhari,","4222055,,"
KANTU STORE AND OPTICALS,"Khichapokhari,","4247344,,"
LUMBINI DENTAL AND OPTICAL HALL,"Bank Road, Butwal/Bhairahawa","520793,,"
MIRA MEDICO PHARMA AND OPTICAL CENTER,"Mitrapark,","4468145,,"
MONIKA OPTICALS,"Dillibazar,","4427371,,"
NAWDURGA CHASHMA PASAL,"Narayangadh, Chitwan","5271009845087425,,"
NEPAL OPTICAL PRODUCTS,"Krishnagalli, Lalitpur","5522292,,"
NEPAL OPTICAL CENTRE,"Bank Road, Butwal/Bhairahawa","52542698470754339847075424,,"
NEPAL OPTICAL COMPANY,"Pyukha,","4263671,,"
NEW MODERN OPTICALS,"Bagbazar,","9841240410,,"
OPTIC NERVE,"Khichapokhari,","4247556,,"
OPTICAL CENTER,"Asan,","4249620,,"
PIONEER OPTICALS,"Asan,","4250232,,"
SHANTI OPTICAL CENTER,"Main Road,","526839,,"
SHYAM OPTICAL,"Sahid Chowk, Chitwan","9845042321,,"
TAMRAKAR OPTICALS,"Kalimati,","4274196,,"
THE SPECTS SHOP,"Asan,","4250313,,"
THE OPTIC HOME,"Asan,","4250313,,"
VISUALS,"Khichapokhari,","4228075,,"
