Name,Address,Telephone
Doko Recyclers Pvt Ltd,"Sanothimi,","+977-9851115974+977 9802071515,+977-98511159749818176065,"
Metro Pest Control Service,"Dhapasi,","9818679752,9863553355,"
Modern Cleaning,"Balkumari-9,","977-1-5186684 5186681,9801084561 9801084563,"
Prudential Services and Trading Pvt. Lt.,"chabahill,","01-4484776,98404686189842211970,"
Nepal Cleaning Solution,"Koteshwor,","+977 4610724,+977 9843968230,"
Cleaning Service Nepal,"Chabahil,","9861607898,9861607898,"
Concept Vision Hospitality Services Pvt.Ltd.,"Kalanki-14,","+977 14277401,+977 9851101205,"
Damak Fast Cleaning Services Pvt. Ltd.,"Chyadokan, Purbali Tol,, 250M,","9818156923,9860009303,"
HerChaha,"Chandragiri - 3, Thankot,","9880775724,9880775724,"
Kashyap Creative Services Pvt. Ltd.,"Chandragiri 12, Balambhu, Kathmandu,","9857072060,,"
Lumbini Laundry house & Cleaning,"Manigram-5,","9803353147,98101645089847265263,"
Nuza Cleaning,"Swayambhu,Bijeshwori,","977-01-4284350,9801098947,"
HELPING SOCIETY TRADING PVT LTD,"Kathmandu Metropolitan 25, Chittadhar Marg, Tengal, Kathmandu,","014249226,9840253927,"
Number One Pest Control Pvt. Ltd.,"Chandol Kathmandu,","9857077772,9857077772,"
DISTAR HOME APPLIANCES PVT. LTD.,"Mahabaudha,","4246113,,"
Yamraj Pest Control Nepal,"new road,","9843141616,,"
G. T. INTERNATIONAL FACILITY SERVICE PVT. LTD.,"Satdobato, Lalitpur,","015555039,9849591683,"
IBase Technologies,"Computer Bazar, Ground Floor, Putalisadak, Kathmandu,","01-4421983,,"
ANKUSH TRADERS,"BIRGANJ,BHANSAR,","9802901341,9855021589,"
Billion Glass house,"Simalchaur-8, pokhara,","061527255,9856029005,"
Karcher Center Nepal,"M9V3+WRF, Sinamangal Rd,","+977-1-6204673,,"
Everestline Laundry Machinery Imports,"Satdobato, P.O. Box: 8975 EPC 345,","00977-1-5541240,,"
PACIFIC COMMERCIAL CO. PVT. LTD.,"Putalisadak,","44305254431525,,"
SKY LAKE CARPET AND HANDICRAFTS,"Bouddha,","20701892071224484053,,"
Subha Shree Traders,"Maharajgunj, Basundhara,","014354909,9841111379,"
MAHESH OVERSEAS ENTERPRISES/ HEMANT TRADE CENTRE PVT. LTD.,"Khichapokhari,","42500664249880,,"
N.K. RUGS INDUSTRIES,"Bouddha,","44953499851026942,,"
Spectrum Production Pvt. Ltd.,"Ramshah Path,","00977-1-422805942277602291107,,"
Spectrum Dye Works (P) Ltd.,"Ramshah Path,","42280594227760,,"
SPECTRUM DYE WORKS PVT. LTD.,"Putalisadak,","42277604228059,,"
Sugam Express,unknown,"unknown,,"
TEPPICH WASCHEN WELT,"New Baneshwor,","44929444251482,,"
Eco Clean,"NO :256,Nathan Layout, Near Venkittapuram Bus Stop, NSR Road, Saibaba Colony, Coimbatore â 641 025.","09043434311,09042013001,"
J.P. CARPET INDUSTRIES,"Hattigauda,","44875524370426,,"
PIONEER APPLIANCES,"Bhotebahal,","42120574261178,,"
QUALITY CARPET WASHING INDUSTRIES PVT. LTD.,"Kathmandu,","42477154485458,,"
DURGA AGRO VETERINERY CENTER,"Kavre,","663373,,"
Supershine Laundry & Dry Cleaners,"Paknajol,","00977-1-43839394361939,,"
