Name,Address,Telephone
NEPAL INVESTMENT AND SECURITIES TRADING PVT. LTD.,"Ghumti Kumari Marg,","+977-1-4495450+977-1-44480072+977-1-4228229,,"
ARUN SECURITIES PVT.LTD.,"Putalisadak,","016916470,,"
Baig Brothers,"944-B, Mirza Abdul Rauf Road Sialkot Cantt Pakistan,","0092 52 4603203-4,0092 300 6166187,"
Raj Sharma Traders and Consulting Agency Pvt Ltd,"Lazimpat,","+977014426258,+9779813920555,"
Online gharbazar,"New Baneshwor,","9851035201,,"
Ayurvedic Cosultancy,"Adarsh Nager,","9819255537,,"
Global Education Service,"Newroad (Near Munchha House) ,","01-4240869,,"
MIDAS STOCK BROKING CO. PVT. LTD.,"Kamaladi Mode,","+977 1 424 0089+977 1-4240115,,"
PRIMO SECURITIES PVT. LTD.,"49/8, Shanker Dev Marg, Putalisadak,","+977-1-4168164+977-1-4168175,,"
SAGARMATHA SECURITIES PVT. LTD.,"Kalikasthan, dillibazar,","+977-1-4439315+977-14433316,,"
SHREE KRISHNA SECURITIES,"3rd Floor, Alliance Tower Charkhal Road Dillibazar,","+977-1-4441225+977-1-4441226+977-1-4441228,,"
SILPA SECURITIES PVT.LTD,"Pashupati Sadak,","+977-1-4255782+977-1-4255078,,"
Tamrakar Corporate Group (TCG),"Mibachhen 15, Bhaktapur,","+977-(0)1-6618985,+977-9851194085,"
Jay Bajrang construction,"Bafal-13, Kathmandu,","9801000550,9801083664,"
ANKUSH TRADERS,"BIRGANJ,BHANSAR,","9802901341,9855021589,"
HOTEL PRAKASH AND PRAKASH,"Belhiya,Siddhartha Nagar,Bhairawaha","071-418310418311,0097798044114889855064529,"
ESSEN CONSTRUCTION,"S-2 / A-42, 43, 44-Mancheswar Ind. Estate ,","2588877,9437503369,"
Easy Job Solution Pvt.Ltd,"Chardobato-10,","011-691270,9823247009/9843185418,"
J.F. SECURITIES PVT. LTD.,"Kamaladi Putalisadak, Kathmandu,","4442912,,"
MALLA AND MALLA STOCK BROKING CO. PVT. LTD.,"Hattisar, lalupate marga, way of Ramesh Malla clinic,","44320884425750,,"
MARKET SECURITIES AND EXCHANGE PVT. LTD.,"Khichapokhari,","4248973,91-9322140684,"
NIKHIL SECURITIES PVT. LTD.,"Kathmandu,","4421726,91-9322140684,"
KUMARI SECURITIES PVT. LTD.,"Mahabaudha,","42265574418036,,"
TRISULI SECURITIES AND INVESTMENT LTD.,"P82F+FFV, New Plaza Galli,","+977-1-4540709,,"
ANNAPURNA SECURITIES SERVICE PVT. LTD.,"Putalisadak,","44236924419051,,"
ASHUTOSH BROKERAGE AND SECURITIES PVT. LTD.,"Khichapokhari,","4220276,,"
NEPAL STOCK HOUSE PVT. LTD.,"Anamnagar,","42658884255732,,"
OM SECURITIES AND ALLIED SERVICES PVT. LTD.,"Maharajgunj,","44313864412386,,"
OPEL SECURITIES PVT. LTD.,"Putalisadak,","4423509,,"
PRAGYAN SECURITIES AND ALLIED SERVICE PVT. LTD.,"Kamalpokhari,","016226890,,"
PRAIMO SECURITIES PVT.LTD.,"Putalisadak,","4242375,,"
SHIVASHAKTI STOCK AND INVESTMENT PVT. LTD.,"Kamaladi,","4221123,,"
SIPLA SECURITIES PVT. LTD.,"Khichapokhari,","4255728,,"
SIPRAVI SECURITIES PVT. LTD.,"Kupandole, Lalitpur","5530701,,"
STOCKBROKAR OPAL SECURITIES INVESTMENT PVT.LTD.,"Putalisadak,","4239273,,"
SWAITA SEKURITIES PVT. LTD.,"Putalisadak,","4444791,,"
TRISUL SECURITIES AND INVETMENT LTD.,"Putalisadak,","4440709,,"
YETI SECURITIES CO. LTD.,"Babarmahal,","4493195,,"
