Name,Address,Telephone
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
Century Commercial Bank Ltd.,"Putalisadak,","00977-1-4420982+977-1-444-5062,,"
"P. R. Dhakal & Associates, Chartered Accountants","""Nirmal Shanti Bhawan"", No 74, 1st Floor, Zero KM,","977 - 61-550449,9856014200,"
B.R.B. Management Service Pvt. Ltd.,"Mahadevsthan Marga-32, Koteshwor,","01-4600105,9849027448,"
Chaitanya Instutitue of Management,"Chaitanya CA Aryan Complex Shankhamul, New Baneshwor Kathmandu, Nepal,","+977-1-478171447824274787235,9851146100,"
Thrive Management Advisory Solution P. Ltd,"Shantinagar, New Baneshwor, Kathmandu, Nepal,","009779851151675,009779801151675,"
Four Ace Business Solutions Pvt. Ltd.,"Sorhakhutte,","01-4361444,,"
Goodluck Glocal Pvt. Ltd,"Ikalu tower, Shankhamul, New baneshwor,","01-4786324,9818877980,"
K. K. Outsourcing Pvt. Ltd.,"Babarmahal, Kathmandu,","01-5707166,,"
Lead Academy For Science And Management Technology,"Bharatpur-10,Chitwan,","056-524344,9849852605,"
Bindabasini Sewa Kendra,"Hetauda-2, Makwanpur,","057523704,9855071022,"
Zenith Business Consultancy,"New Road,","9817727325,9817727325,"
BRSS & ASSOCIATES | Chartered Accountants,"4th Floor, Everest Bank Building, Bagdole, Lalitpur, Nepal,","+977-16226783,9862839459,"
KB Chitrakar & Co,"Jwagal, Lalitpur ,","+977-1-52610115261013,,"
NEPAL ACCOUNTANCY COMPANY (P) LTD.,"Putalisadak,","+97714532562,+9779851311062,"
Thrill Adventure And Business Hub,"Purano Sinamangal -32, Him Ganesh Marg,","9851170781,9851170781,"
"T. Karki & Associates, chartered Accountants","Awati Marg, Putalisadak,","014232213,9801080031,"
BIC Technology- Tigg,"Manbhawan, Lalitpur,","+977 9801236610,,"
Eastern Software Systems Pvt. Ltd,"Nepal Partner: CNC Private Ltd 280 Thirbum Sadak,","977-4416530,,"
Green Tick Nepal Pvt. Ltd.,"4th Floor Mahalaxmi Complex Prayag Marg Minbhavan Nepal,","01-4620741,,"
MBK & Co. [Audit Firm],"Kathmandu,","015158287,9808301180,"
Accurate Consultants Pvt Ltd,"Samakhushi Town Planning,","01-4361204,9849833825,"
Khatapana,"Bagmati,","+9779818098098,,"
KSP Chartered Consutants Pvt. Ltd,"New Baneshwor Chowk,","9860732504,,"
Mero Lekha Pvt. Ltd.,"Kathmandu Metropolitan City, ward No. 10, Buddhanagar Kathmandu,","01-4781048,9851187000,"
San Forth Institute of Advanced Studies,"Shanker Dev Marg, Putalisadak,","00977-1-6204976,00977-9813691909,"
MBK & Co.[Registered Auditor Firm in Nepal],"Tokha-08 Kathmandu Nepal,","9865052087,9865052087,"
P. Lunia & Associates,"Hanuman Das Road, Biratnagar - 8,","021-526113,9852020322,"
R K Phuyal & Associates,"New Baneshwor,","9851203839,,"
Zenith Business Consultancy,"Pako New Road,","9849966156,,"
Ramod & Company,"Kathmandu 31 Putalisadak, Kathmandu, GPO Box 20674,","014168265,9841292449,"
Subedi & Company,"Thamel, P.O. Box: 10234, Ktm Fourth floor of Agricultural Development Bank Ltd,","00977-1-4253226,+9779851034522,"
T R Upadhya & Co.,"124 Lal Colony Marg, Lal Durbar, Kathmandu, Neoal,","00977-1-44109274414695,,"
A.B. & Company,"Bangemudha, P.O. Box: 19909, Ktm,","00977-1-4254960,00977-9851034830,"
BRS NEUPANE AND COMPANY,"Naxal,","44113144411910,,"
Pandey & Co.,"Samakhusi, P.O. Box: 712, Ktm,","00977-1-43517164351313,,"
Taxation International Nepal (Pvt.) Ltd.,"New Road, P.O. Box: 8162, Ktm,","00977-1-4219475,,"
The Institute of Chartered Accountants of Nepal (ICAN),"Babar Mahal, P.O. Box: 5289, Ktm,","00977-1-42691304258569,,"
Knowledge Academy,"Putalisadak,","00977-1-41681224168217,00977-9841914926,"
CAI Pvt. Ltd.,"Putalisadak, P.O. Box: 21764, Ktm,","00977-1-416805141583124168073,,"
College of Financial Education,"Putalisadak,","00977-1-4233752,,"
Dhruba Prasad Lamsal,"Janakpath-12, Bhairahawa","9847021995,,"
Ecta Management Academy,"Putalisadak,","00977-1-2013298016204425,,"
EIFA Management Academy Pvt. Ltd.,"Putalisadak,","00977-1-44422256204425,,"
Registered Auditor,"Sorhakhutte, Kathmandu, Nepal,","01-4361444,,"
INFORMAL SECTOR RESEARCH AND STUDY CENTER,"Kamaladi,","4429324,,"
Sankalpa Professional Academy Pvt. Ltd.,"New Baneshwor, P.O. Box: 12751, Ktm,","00977-1-478488047854684782941,,"
Shepherd Biz Advisory,"Bagmati,","+977 9867478501,,"
Three H Management,"Kamalpokhari, P.O. Box: 19483, Ktm,","00977-1-4422805,,"
"AB & Associates, Chartered Accountants","2nd Floor, Sayami House, Anamnagar, Kathmandu, Nepal,","+977 1 4770528,985606122298010292739846002441,"
Ramod & Company,"GPO Box 20674, Putalisadak, kathmandu,","01-4168265,9841292449,"
B. K. Laama & Associates,"Lazimpat, P.O. Box: 4106, Ktm,","00977-1-4423393,00977-9841505836,"
P. P. & Company,"New Road, P.O. Box: 1585, Ktm,","00977-1-42662744232138,00977-951045182,"
AMAR BISTA AND ASSOCIATES,"Buddhanagar,","4782175,,"
A. P. PRADHAN AND COMPANY,"Chabahil,","44682169841237522,,"
Bhumi Lama & Company,"Thamel, P.O. Box: 1435, Ktm,","00977-1-44236184424807,,"
BHUMI LAMA AND COMPANY,"Thamel,","44236184424807,,"
B. Paudel & Co.,"GPO: 2343, Ktm, New Plaza,","44212774771148,,"
Daman & Co.,"Maharajgunj, P.O. Box: 5812, Ktm,","00977-1-43750959851088437,,"
D.R.& Co.,"Naxal, P.O. Box: 10990, Ktm,","00977-1-443250744453319851027525,,"
D. R. Khanal & Co.,"Naxal, P.O. Box: 10990, Ktm,","00977-1-443250744453319851024555,,"
D.R. KHANAL AND CO.,"Naxal,","44325074445331,,"
D. S. & Company,"Tebahal, P.O. Box: 9555, Ktm,","00977-1-42462844246285,,"
L. N. Pandey & Co.,"New Baneshwor, P.O. Box: 8003, Ktm,","00977-1-4780487,,"
M. Bajracharya & Co.,"GPO: 10990, Ktm, Naxal,","443250744453319851027525,,"
Mitra & Sharma Co.,"Paknajal, P.O. Box: 11472, Ktm,","00977-1-47016864435965,,"
MITRA AND SHARMA CO.,"Paknajol,","44359654439686,,"
Mukunda Prasad Sharma,"Baneshwor, P.O. Box: 19669, Ktm,","00977-1-4473964,,"
Nirmal and Company,"New Road,","00977-1-4221030,,"
P. R. BHANDARY AND COMPANY,"Dillibazar,","44235504419364,,"
Rabi & Company,"Anamnagar, P.O. Box: 23027, Ktm,","00977-1-9841301403,,"
Raj & Company,"Thapathali, P.O. Box: 3292, Ktm,","00977-1-4247885,,"
RAJ AND COMPANY,"Jawalakhel, Lalitpur","5552020,,"
R Bajrachaya & Company,"Kamalpokhari, P.O. Box: 1989, Ktm,","00977-1-44288874421684,,"
R. B. Kumar & Co.,"Samakhushi,","00977-1-4360476,,"
S. R. PANDEY AND CO.,"Putalisadak,","44212774420167,,"
S. R. Tamrakar & Company,"Yetkha Bahal,","00977-1-42630359841284234,,"
Sushil & Sons Pvt. Ltd.,"Ghattekulo, P.O. Box: 7936, Ktm,","00977-1-4770678,,"
The Institute of Chartered Accountants of Nepal (ICAN),"Biratnagar (Liason),","537195,,"
TOURAVIA CONSULTANCY SERVIVES,"Lazimpat,","4418145,,"
TPJ,"Khichapokhari,","42501454228510,,"
Binayak & Co. Pvt. Ltd.,"Sanepa,","00977-1-9841627582,00977-9849124065,"
B.K. & Company,"Hattigauda, P.O. Box: 5862, Ktm,","00977-1-4374722,00977-9851051408,"
N. Gautam & Associates,"Dhapasi,","00977-1-43711324350839,00977-9851046332,"
P.P. & Co.,"New Road,","00977-1-42662744232138,00977-9851045182,"
Professional Career Academy Pvt. Ltd.,"Jawalakhel,","00977-1-55297815554362,00977-9849551235,"
S. Bjaracharya & Co.,"Dallu, Chhauni, P.O. Box: 11745, Ktm,","00977-1-4286764,00977-9851093185,"
ACHARYA AND ASSOCIATES,"Chitwan,","561036,,"
Alfa Professional Audit Service,"Kupondole,","55281714226036,,"
Anil's Auditing Company,"Chabahil, P.O. Box: 10391, Ktm,","00977-1-44682169841237522,,"
BARAL K AND ASSOCIATES,"Bagbazar,","423304020050099841413471,,"
BASANTA POUDEL,"Anamnagar,","4421277,,"
Bhusal & Company,"Balaju, P.O. Box: 20967, Ktm,","00977-1-402656646713949841255139,,"
BHUSAL AND COMPANY,"Balaju,","40265669841255139,,"
BN DAHAL AND COMPANY,"New Baneshwor,","0162220999841250937,,"
D.P. Dahal & Audit Co.,"Putalisadak, P.O. Box: 20236, Ktm,","00977-1-4216225,,"
D.S. AND COMPANY,"Khichapokhari,","42462844246285,,"
D. Upreti & Company,"Tinkune, P.O. Box: 12698, Ktm,","00977-1-9851056595,,"
G. P. Pandey & Co.,unknown,"00977-1-9851049715,,"
KALIKA AUDITING CO.,"Kathmandu,","4360987,,"
Kushal & Audit Company,"P.O. Box: 21650, Ktm,","00977-1-4244427,,"
Mahesh & Co.,"Bijulibazar,","00977-1-446188944625679851053023,,"
Mahesh and Co.,"Bijulibazar,","00977-1-446188944625679851053023,,"
MAHESH AND COMPANY,"Thapathali,","4260489,,"
M. K. Subedi & Associates,"Janpath Tole, P.O. Box: 278, Brt,","536101,,"
N. Amatya & Co.,"Ramshah Path, GPO Box: 467,","+977-1-4418267,,"
National College of Chartered Accountant,"Kumaripati,","00977-1-554333601-2221661,,"
Nepal Quality Management Service (P.) Ltd.,"Dillibazar, P.O. Box: 4014, Ktm,","00977-1-44463664424110,,"
Om Tax Consultancy (P) Ltd.,"Putalisadak, P.O. Box: 9124, Ktm,","00977-1-4221171,,"
P. Acharya & Co.,"Putalisadak,","00977-1-4420059,,"
Parshuram Dahal,"New Road, P.O. Box: 1585, Ktm,","00977-1-42662749851027927,,"
Pushkar Bhurtel,"New Road, P.O. Box: 1585, Ktm,","00977-1-42662749851045182,,"
Rajib Bhattarai & Company,"Putalisadak,","00977-1-443076320010239851020916,,"
R. Raghubanshi & Co.,"Dhobhidhara, P.O. Box: 8975 EPC 5306,","00977-1-44176694411966,,"
R. S. & Associates,"Daubahal, P.O. Box: 320, Ltp,","00977-1-55394839851024589,,"
R. S. Audit & Tax,"Jawalakhel,","00977-1-552107055243394780266,,"
R. S. THAKUR AND COMPANY,"Kupandole, Lalitpur","5526902,,"
R. Thapa & Company,"P.O. Box: 10537, Ktm,","00977-1-44682469851007001,,"
S. BAJRACHARYA AND COMPANY,"Chhauni,","4286764,,"
Shan & Co.,"Dhapasi,","00977-1-43711329851046332,,"
Shrestha Bajracharya & Company,"Lazimpat, P.O. Box: 2992, Ktm,","00977-1-20810994427846,,"
SHRESTHA BAJRACHARYA AND CO.,"Lazimpat,","2081099,,"
The Institute of Chartered Accountants of Nepal (ICAN),"Butwal (Liason), Bhairahawa","622574,,"
Tripura Associates,"Sinamangal, P.O. Box: 5904, Ktm,","00977-1-9851026105,,"
TRIPURA AUDIT FIRM,"Sinamangal,","4485520,,"
Umesh Bazagai,"Madyapur Thimi,","00977-1-20411379851009012,,"
J. B. Rajbhandary & DiBins,"Sherpa Mal, Durbar Marg,","+977 1-4228352,,"
Business Registration in Nepal,"Sundhara, Kathmandu,","9841463194,,"
B. K. Lamsal & Co.,"Bhagwati Bahal, P.O. Box: 11870, Ktm,","00977-1-4410351,,"
A.K. SHRESTHA AND CO.,"Putalisadak,","4410584,,"
AUDIT NEPAL,"Lazimpat,","4423393,,"
Barahi & Company,"Lalitpur, P.O. Box: 10088, Ktm,","00977-1-5535364,,"
B.B.RAJBHANSARY AND CO.,"Putalisadak,","4226557,,"
BRS AND COMPANY,"Putalisadak,","4226557,,"
Centre For Economic & Technical Studies,"Dhobighat, P.O. Box: 3174, Ktm,","00977-1-5538114,,"
Chand & Company,"Baneshwor, P.O. Box: 21663, Ktm,","00977-1-44939322002949,,"
"G. K. Agrawal & Co,","Tripureshwor,","00977-1-4245408,,"
KRISHNA ARYAL AND COMPANY,"Baneshwor,","4482262,,"
L.N. PANDEY AND CO.,"New Baneshwor,","4780487,,"
PANDEY AND COMPANY,"Galkopakha,","43517164351313,,"
P.L. SHRESTHA AND COMPANY,"Putalisadak,","44212774420167,,"
P. P. Sharma & Co.,"Tebahal,","00977-1-42212554252064,,"
RABI AND COMPANY,"Anamnagar,","9841301403,,"
R. K. RAUT AND CO.,"Battisputali,","4486290,,"
Shiva Ram Joshi,"Chauni, P.O. Box: 12770, Ktm,","00977-1-42782349851053804,,"
SHREE JAGANNATH,"Baneshwor,","44939324478570,,"
S.R. TAMARAKAR AND COMPANY,"Yetkha,","42630354259054,,"
Professor Academy for CA Education,"Sahid Chowk,","056-523595,9845046006,"
Ankit & Company,unknown,"522846,,"
A Pradhan & Company,"Chabahil,","00977-1-4468216,,"
ASSOCIATES OF LAWYERS AND CONSULTANTS,"Thamel,","44433819851044409,,"
BHAGIRATH AND COMPANY,"New Baneshwor,","20410489851098310,,"
Binod Baral & Company (P) Ltd.,"Prithvi Chowk,","521756520870,,"
B. J. & Company,"New Baneshwor,","00977-1-4782666,,"
Chiranjibi & Company,"Tersapatti,","521955522281,,"
CREATIVE MANAGEMENT SOLUTION PVT. LTD.,"Thamel,","4423957,,"
Dipak Rana Magar,"Sundhara,","42556509851053240,,"
D. N. S. Audit Firm,"New Baneshwor,","00977-1-4469203,,"
Dwa Brothers & Company,"Tersapatti,","521955530541,,"
EG ACT PVT. LTD.,"Kathmandu Plaza,","4168630,,"
Ganga Bahadur Pachhai,"Dhapasi, P.O. Box: 7557, Ktm,","00977-1-4372777,,"
Ghana Shyam Shrestha & Co.,"Balaju, P.O. Box: 8654, Ktm,","00977-1-435018443592899851020633,,"
GHAN SHYAM SHRESTHA AND COMPANY,"New Bus Stand,","43501844359289,,"
Gyan & Co.,"New Road,","00977-1-42483449851035589,,"
H. K. Shrestha & Company,"Lazimpat,","00977-1-44285079851047942,,"
Jagadamba Audit Firm,"Chikanmugal,","00977-1-4243095,,"
JENISH AND COMPANY,"Buddhanagar,","47804214780445,,"
KARMACHARYA AUDITOR FIRM,"Koteshwor,","4154144,,"
KAYAL AND COMPANY,"New Baneshwor,","4781115,,"
Keshav Raj Dhakal,"Nag Dhunga,","521801,,"
MEC School of Chartered Accountancy,"Maharajgunj,","00977-1-43787006200789,,"
NCCA,"Kumaripati,","00977-1-5543336,,"
NEPAL AUDIT AND FINANCIAL CONSULTING SERVICES,"Lazimpat,","4413599,,"
P.P. AND COMPANY,"New Road,","42662744232138,,"
Purna Bahadur Chand,"Sinamangal, P.O. Box: 21663, Ktm,","00977-1-4493932,,"
Puspa & Company Audit Firm,"Miruwa,","522408,,"
Rimal & Co.,"Maijubahal,","00977-1-4486754,,"
R. M. KHATIWADA AND COMPANY,"Battisputali,","4474841,,"
R.P. BHATTARAI AND COMPANY,"Sukha Nagar, Butwal/Bhairahawa","5500935425609847033893,,"
R.S. SHRESTHA AND COMPANY,"New Road,","44212774417806,,"
SB & Company,"Gwarko,","00977-1-5542289,,"
S. B. Shrestha & Co.,"Thamel,","00977-1-4701409,,"
Shaligram Poudyal,"Bhojad, Chitwan,","522008,,"
Shyam Auditing Firm,"New Baneshwor,","00977-1-4487869,,"
Shyam Raj Pant,"Gaurighat, P.O. Box: 13566, Ktm,","00977-1-4486320,,"
SHYAM RAJ PANT REGISTER AUDITOR,"Gaurighat,","4486320,,"
The Institute of Chartered Accountants of Nepal (ICAN),unknown,"051-522660,,"
T.M. SUBEDI AND CO.,"New Baneshwor,","47802664780990,,"
"Whitestone International Pvt., Ltd.","Bijuli Bazar, P.O. Box: 9402, Ktm,","00977-1-2296461,,"
Yagya Bahadur Karki,"Batule Chour,","440415,,"
