Name,Address,Telephone
Airwell Nepal Pvt. Ltd.,"Budhnagar, Kathmandu,","9851054683+977 9851136944,9808100093,"
Electro - Ref Tech Pvt. Ltd,"Kupondol, Lalitpur ,","01-5260961,9818776832,"
Air conditioner Suppliers,"Near Mali Petrol Pump, Kalimati,","01-4276114,9808100093,"
Air Conditioning Suppliers Nepal,"Near Mali Petrol Pump, Kalimati,","9801004440,9808100093,"
R.K. TECHNICAL INSTITUTE,"Kalimati kathmandu,","951247534 01-4274217,9818397534,"
S. B manokamana electric parts,"Prithivichowk,","+977 061-540136,+977 9866041811,"
Ans Electricals And Electric Workshop,"M9V8+QJ Kathmandu, Nepal,","+9779849999128,+9779849999128,"
Airwell Nepal Pvt. Ltd.,"Budhanagar, Kathmandu,","9808100093,9851054683,"
S. Sahara Trade Service,"Maharajgunj,","01-4427012,9801030700,"
Emizen Engineering Pvt.Ltd,"BaghBazar,","01-4241856,01-4242084,"
Renu Trade Link,"Near Mali Petrol Pump, Kalimati,","9840027100,9808100093,"
