Name,Address,Telephone
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
CompuTeX IT Solution,"rambazar-10, Pension Camp way, gauri marga,","9818320706,9818320706,"
Arun Smart Interactive Services,"Shantinagar-4, Nepal,","9844431480,9844431480,"
Tech Care Infosys,"Gokarneshwor-11, Namgyal Bus Park,","+97714801214,,"
S & P Computer Pvt. Ltd.,"New Road,","00977-1-4247774,9841025776,"
Quick Fix Pvt. Ltd,"Adharsnagar-13, Birgunj, Parsa, Nepal ,","+9779855038080,+9779801716000,"
BIG COMPUTER INSTITUTE,"Damauli, Tanahun,","065-562580,9846776817,"
Sky Net Computer,"chandranigahpur,","9866047122,9817273850,"
Bluefin Technologies,"Damauli Tanahun,","065-562601,9851233334,"
Technotronic Solution Pvt. Ltd.,"Naya Marga,","9779845288888,9845288888,"
Dynamic IT Solution Pvt.Ltd.,"Butwal-7, Amarpath,","071-541095,9851185027,"
One Touch Solution,"Pulchowk (near by Global Bank , behind Alaka Hospital),","01 54 54 107,98511-57582,"
Techno Savvys,"Jaycees Chowk, Near Sadak Bivag Gate,","023-585947,97723585947,"
MEGATECH TRADE GROUP,"3rd floor, King's Way Tower, Ghantaghar,","977-1-4233501,977-9801110303,"
Computer Repair and Maintaince,"Kawasoti-10, Magarkot,","078540507,9847560762,"
IT Security Nepal,"New Baneshwor Opposite to Rastriya Banijya Bank Kathmandu, Nepal,","977-01-2299324/25,9851165508,"
Universal Institute,"Pako, Newroad,","01-4246260,9851198723,"
Habre Nepal,"Tara Marg, Sinamangal-9, Kathmandu, Nepal,","9849172075,,"
Argon Pvt. Ltd.,"Sanubharang, Nagarjung-2,","unknown,+977 9851244787,"
IT Solution,"Taalchowk, Lekhnath and Lakeside, Pokhara,","unknown,9846618997,"
UNI-TECH COMPUTER,"Birgunj ranighat -13 parsa nepal,","unknown,9845255206,"
D Minus Engineering,"Tripureshwor, kathmnadu,","9849987898,9801052650,"
Printronix Computing Solution Pvt. Ltd.,"Pako NewRoad,","014212402,9841380626,"
Rijalco Suppliers,"Chabahil,","01-4497777,9849707713,"
CAS Techno Sales Pvt. Ltd,"CAS Building, New Plaza, Putalisadak,","977-1- 4440271-24430858,,"
Deep Digital Pvt.Ltd,"Putalisadak,","4421402,9851075365,"
IT Global Pvt. Ltd,"Putalisadak,","4418184,9802078520,"
Logix Digital System,"Putalisadak,","01-4439793,,"
Techno Care Services Pvt. Ltd.,"Damkal Chowk, Pulchowk, Lalitpur,","01-5534897,9841733597,"
New Nepal Computer Care,"Rupani Road,","unknown,+977-9804752133,"
RS CYBER,"kirtipur-18, town planing,","014331325,9843152515,"
CodeSoch,"0 K.M.,","9806719087,,"
Pooja Computer Institution,"Chhireshwarnath Municipality, Dhanusha,","041540092,9844311047,"
SHREE NAWDURGA SUPPLIERS,"Mishra market, Shib Chowk, Janakpurdham,","041590042,98443119139807807261,"
DreamPC,"Putalisadak,","4231434,9841222634,"
MEGAtech,"Main road,","+977-21-572000,+977-982-0756280,"
Multimedia Computer,"Ranighat-12, Birgunj,","9845257460,9809138772,"
Sky Infosys,"mainroad, Hetauda-10, Makawanpur,","+977-57526933,+9779855068933,"
Cyrus Education,"Biratnagar-09, College Road, Nepal,","+977-9829327775,,"
Generation Next Communications Pvt. Ltd.,"Durbar Marg,","00977-1-42208644220872+977-1-2222672,,"
Supreme Trade Suppliers,"RTO Road, Pokhara-7,","9846279797,96177337129814195499,"
Best IT Solution Nepal (Bits Nepal),"Ratopul, Battisputali,","014478584,9841249043,"
Global Infosys,"Sevoke Road,","+9779801552555,98015525559852652555,"
Redox International,"NewRoad,","015713535,9841434734,"
SAMARI IT SOLUTION PVT. LTD.,"Kathmandu,","20033094215848,9851125789,"
Alpha Computer,"Kapleshwor Street,Pulchowk,","+977 9702022539,,"
GLOBAL LINK TECHNOLOGY Pvt. Ltd,"Thapathali, Kathmandu, Nepal.,","01-410057201-410057301-4100574,,"
New Apple International,"new road muncha house gali,","9801180976,9841480967,"
SUPERPRO SOLUTION,"PAKO NEWROAD KATHMANDU ,","09808694701,09808694701,"
Nepal IT Services,"Thapagaun Marga, Balaju Kathmandu,","unknown,,"
Mainframe IT Solution,"new road,","9851098496,9810478075,"
TEJ BINAYAK COMPUTER HOUSE AND CYBER,"GOTHATAR-3,","01-4993406,9843340527,"
IT TRADE RESOLUTION PVT.LTD,"Basantapur-23,","00977-014230102,9851085343,"
Unique Cyber,"Janakpur Hospital Road,","+977-41526004,9844023247,"
Prakash AC Maintenance and Electric Work,"Samjhana chowk , Near Todi bhawan ,","unknown,+977-9852028203,"
IT COMPUTER INSTITUTE,"Dumre Bazaar, Tanahun, Nepal","unknown,9856060489,"
Nano Technology,"Nocha,","unknown,9842428188,"
Pulse Inc.,"New Road,","00977-1-4224840,00977-9851007915,"
