Name,Address,Telephone
Karuna Homecare Pvt Ltd,"kupondole 1, lalitpur,","9862909360,9818381318,"
Krishna international,"Udyog Marg, Hattiban, Dhapakhel, Kathmandu Valley,,","+977 1 5250282,+977 9802540001,"
Heal Home Care,"Balwatar, Kathmandu; Daya Shanti Sadan 4th-Floor,","01-4444400,98510614709851222996,"
Peace Care Home Pvt. Ltd.,"Tokha Road, Greenland (near Grande International Hospital),","977 1-5159289,,"
Epic Career & Visa Services,"Newplaza, Putalisadak,","01-4445064/65,9813371564,"
Medilink Homecare Pvt Ltd,"Jawalakhel ,","5529052,9861001820,"
24 Hour Nursing Care Center,"Panipokhari, Lazimpart, Kathmandu-3,","+977-14425595,+977-9801195792,"
Doctors on call pvt.ltd,"kamalpokhari,kathmandu,","014011666/777,9801115832,"
Acupressure Health Care System Centre,"shop 383 lllrd flor bishal bazar [super market] new road ktm.,","9808178851,+977-98081788519808195157,"
DoctorsinNepal.com,"Mahrendrapool Pokhara,","unknown,00919967777911,"
Educare Abroad Consult Pvt. Ltd,"Kalimati, Kathmandu,","+977-01-4288243,+977-9851139992,"
HOMEOPATHIC CLINIC,"JADIBUTI , NAREPHANT- KATHMANDU-35,","01- 6922531,9841008609,"
Chitwan Hospital Pvt. Ltd.,"MCJJ+F5W, East West Highway,","+977-56-527101+977-56-522202,,"
SIDDHI POLYCLINIC,"Dillibazar, Charkhal,","+977-1-4510604,,"
"Birlamedisoft Pvt, Ltd","111, Gulmohar Centre Point,,","919021156156,919021156156,"
HIMAL NURSING HOME PVT. LTD.,"Thirbom Sadak, Chardobato, Gyaneshwor,","+977-1-4415076+977-1-4419672+977-1-4436348,,"
PrimaCare - Homecare & Clinic Furniture,South Africa,"0218014675,,"
Welcare Physiotherapy,"Maitidevi,","9851243555,9851243555,"
Birat Nursing Home,"F78H+H87, Kamal Pokhari Marg,","+977-1-531042+977-1-571042,,"
SARVANGA SWASTHYA SADAN PVT. LTD.,"Lalitpur,","+977-1-5524996,,"
BLUE CROSS NURSHING HOME PVT. LTD.,"Tripureshwor,","42617964262027,,"
Ciwec Clinic,"GPO: 12895, Ktm, Durbarmarg,","42285314241732,,"
Healthy Medication,"street 2, bank road,","unknown,,"
"Norvic-Escorts Health Care & Research Centre, Nepal","GPO: 14126, Ktm, Thapathali,","4258554,,"
Siddhartha Hospital Ltd.,"Putalisadak,","442695944269604426961,,"
OM HOSPITAL AND RESEARCH CENTRE PVT. LTD.,"Chabahil,","44661794466178,,"
Orchid Care Home,"Bansbari,","00977-1-43791424378845,,"
Self-Help Institution of Awareness for Health-Nepal (SIAHN),"GPO: 8974 CPC 241, Koteshwor,","4462832,,"
The Recovering Group,"Banasthali-16, Balaju,","977-014351870,,"
ANAMNAGAR POLY CLINIC AND RESEARCH CENTER PVT. LTD.,"Anamnagar,","42463514219221,,"
Blue Cross Nursing Home Pvt. Ltd.,"GPO: 3168, Ktm, Tripureshwor,","42620274261796,,"
Himal Hospital & Research Centre,"GPO: 4748, Ktm, Gyaneshwor,","44150764419672,,"
KANTIPUR DIAGNOSTIC CENTRE,"Kathmandu,","42304784247212,,"
KATHMANDU ORTHOPAEDIC AND POLY CLINIC,"Lazimpat,","4443386,,"
NATIONAL KEDNEY CENTRE,"Naxal,","4429866,,"
Sangrila Nursing Home (P) Ltd.,"Anannagar, P.O. Box: 8975 EPC 5923,","00977-1-42260364218783,,"
SANGRILA NURSING HOME,"Anamnagar,","4218783,,"
SHREE INTERNATIONAL CLINIC AND RESEARCH CENTRE PVT. LTD.,"Panipokhari,","44290234439512,,"
SUBHAM HOSPITALS AND DIAGNOSIS CENTRE PVT. LTD.,"New Baneshwor,","4780257,,"
Deep Jyoti Nursing Campus,"ghorahi, Dang","082-560047,9851087902,"
SEXOLOGIST DOCTORS CLINIC PVT. LTD.,"Putalisadak,","4240321,,"
APOLLO POLY CLINIC,"Maitidevi,","44223974435886,,"
BANESHWOR POLYCLINIC,"Baneshwor,","44652644471479,,"
Kathmandu Dental Nursing Home,"Jyatha,","42567094251352,,"
Mediplus health Care Centre,"P7GW+8PJ, Sai Baba Marg,","+977-1-4961077,,"
PADMA NUSING HOME PVT. LTD.,"New Road,","520159523048,,"
SUNAPATI POLY CLINIC AND HEALTH CENTER PVT. LTD.,"New Baneshwor,","4490217,,"
YOSAS NATUROPATHY CLINIC,"Lagankhel, Lalitpur","553608455263375532846,,"
CHHETRAPATI FREE CLINIC,"Chhetrapati,","4215580,,"
U AND P POLY CLINIC PVT. LTD.,"Subidhanagar,","44950434479228,,"
AROGYA NIWAS CLINIC,"Minbhawan,","4249227,,"
ASIA PACIFIC POLY CLINIC PVT. LTD.,"Thapathali,","4257565,,"
ASIAN MEDICAL DIAGONOSTIC CENTER PVT. LTD.,"Samakhushi,","43551794361203,,"
HIMALAYA INT,"Thamel,","4225455,,"
HIMALAYAN INTERNATIONAL CLINIC,"Thamel,","4225455,,"
3M HOSPITAL CO. LTD.,"Jawalakhel, Lalitpur","55347135543241,,"
NEPAL FERTILITY CARE CENTRE,Lalitpur,"5525044,,"
SAGARMATHA POLY CLINIC AND DIAGNOSTIC CENTRE PVT. LTD.,"Kalimati,","4277627,,"
SIDDGARTHA APOLLO HOSPITAL,"Kamaladi,","44269594426961,,"
SKIN CARE CENTRE PVT. LTD.,"Laldurbar,","4413500,,"
ANNAPURNA NURSING HOME PVT. LTD.,"Bagbazar,","42225734232329,,"
ASALI POLYCLINIC PVT. LTD.,"Naxal,","4432852,,"
AWADH NARAYAN MEMORIAL CLINIC,"Sanihat,","522611522996,,"
AYURVED AND YOGA CLINIC,"Putalisadak,","4228795,,"
BASANTA EYE CLINIC,"Adarshnagar,","522539,,"
CAPITAL PVT. X-RAY,"Narayangadh, Chitwan","520357,,"
CARE MEDICAL CENTR,"Janakpur,","520230,,"
Community Recovery Centre,"PO Box: 3042 Bhatbhateni,","977-1-4419435977-1-4419434,,"
CUREX DIAGNOSTIC CENTRE PVT. LTD.,"Putalisadak,","4430814,,"
Dr. Rajeev Raj Manandhar,"blue cross nursing home, tripuresworstar hospital, sanepa,","4262027,,"
Drug Abuse Prevention Association,"Thapathali,","977-1-4226556,,"
DYNASTY MEDICAL CENTRE PVT. LTD.,"Maharajgunj,","4355295,,"
EVEREST NURSING HOME PVT. LTD.,"New Baneshwor,","47812944783024,,"
EVEREST HEALTH CARE AND TRAINING CENTRE,"Nepalgunj Road,","524274,,"
EYE CLINIC,"Ratnapark,","42225044228789,,"
Freedom Centre,"P.O. Box: 3450, Lalitpur","977-1-5522126977-1-5521193,,"
GASTRO ENDOSCOPY DIAGONOSTIC CLINIC,"Kathmandu,","4415076,,"
GRAMIN SHWASTHA SHITCHA TATHA SEWA KENDRA,"Gokarna,","4490657,,"
HARGAN,"Jawalakhel, Lalitpur","55230205539675,,"
HARI OM HEALTH CARE CENTER,"Khichapokhari,","4230742,,"
HIGHPOKSIYA MEDICAL,"Baluwatar,","4435245,,"
INDRACHOWK POLY CLINIC,"Indrachowk,","4229016,,"
ISAN BAL NURSING HOME AND PRASUTI GRIHA PVT. LTD.,"Basundhara,","43545374381962,,"
JANTA HOMOEO CLINIC,"Bhrikuti Mandap,","42498229841458020,,"
KALIMATI CLINIC,"Kalimati,","4271873,,"
KALIKA HOMEO PHARMECY,"Chauraha, Butwal/Bhairahawa","54966298471397749847252130,,"
KASTMANDAP HEALTH CARE CENTER,"Battisputali,","4482652,,"
KATHMANDU POLYCLINIC AND DINOSTIC CENTRE,"Tripureshwor,","42611674276814,,"
Lagu Padadha Diruddha Nepal Patrakar,"Lazimpat,","977-1-4415272,,"
LORD BODHA HOMOEOPATHIC CLINIC,Lalitpur,"66105626611260,,"
LUMBINI NURSING HOMES,"Mahendrachowk, Butwal/Bhairahawa","541641,,"
MANOHARA SAMUDAYIK SWASTHYA KENDRA,"Lokanthali,","6634169,,"
MEDICARE PATHOLOGY,"Putalisadak,","42278954241189,,"
