Name,Address,Telephone
Kotaa Dhuku Oil Store,"Balaju, Kathmandu, Nepal,","01-435044401-4350555,9851036056,"
Jay Hanuman Trade Concern,"Jay Hanuman Trade Concern, Birtamode, beside Mega complex, jhapa, Nepal,","023-530212,,"
Purwanchal Lube Oil Pvt. Ltd.,"Biratchowk,","021-545127545137545637,9852020915,"
Kailash Oil Distributors,"Narayangarh,","523724523165,,"
Mali Oil Stores,"Kalimati, P.O. Box: 4111, Ktm,","00977-1-427048642722384283241,,"
Prabin Oil Store,"Gatthaghar,","00977-1-66327406632827,,"
Trilochan Enterprises Pvt.Ltd,"Panipokhari,","00977-1-4002794,9841623395,"
Krishna Enterprises Traders Pvt. Ltd.,"M779+R22,","+977-25-580704,,"
Namaste Oil Store,"Gwarko,","00977-1-55471775531439,,"
Nepal Petroleum Pvt. Ltd.,"Babarmahal, P.O. Box: P.O. Box 567, ktm,","00977-1-42745344278608,,"
Unique Fuel Centre,"Balkumari,","00977-1-5531524,,"
Manakamana Oil Store,"Buddha Chowk,","522419520433,,"
Millan Brother's Supplier's,"Sukhanagar,","071-541660,9857020067,"
3 Brothers Oil Stores,"New Baneshwor,","00977-1-4781957,,"
Chakrapath Fuel Center,"Balaju,","00977-1-4358802,,"
Everest Fuel Distributors,"Balaju,","00977-1-4359437,,"
Gandaki Oil Mill (P) Ltd.,"Mahendra Pool, P.O. Box: 215, Pkr,","525525520645521066,,"
Ganesh Auto Mobile,unknown,"023-540129541057,,"
Jawalakhel Petrol Pump,"Jawalakhel, P.O. Box: 742, Ltp,","00977-1-55329959851026106,,"
Syarsekali Oil Distributors Traders,unknown,"581719581429,,"
Adarsh Byapar Syndicate,"Birendra Chowk,","520712,,"
Adarsha Bandhu Petro Pump,"Bhansar Road,","520261,,"
Adarsha Oil Stores,"Prithvi Chowk,","520206,,"
Ambay Oil,"Baikunthapuri, Malekhu, Dhading","010-529158,,"
Ambay Petroleum,"Naikap,","00977-1-4310398,,"
Arun Petroleum Trading Center,"P.O. Box: 1, Dharan,","520053520015522703,,"
Atal Brothers,unknown,"580151,,"
Bagmati Oil Suppliers,"Thimi,","00977-1-66306256613790,,"
Bagmati Petro Centre,"Subidha Nagar,","00977-1-44707984484003,,"
Bal Kumari Petrol Pump,"Pulchowk,","00977-1-5527716,,"
Balaram Das Oil Stores,"Main Road,","520446,,"
Ban Devi Oil Store,unknown,"010-560030,,"
Bandana Oil Store,"Koteshwor,","00977-1-44793104480771,,"
Barahi Enterprises,"Koteshwor,","00977-1-4474031,,"
Basundhar Oil Store (P) Ltd.,"Dhapasi,","00977-1-4356566,,"
Bhadrakali Oil Stores,"Banjha Patan,","523827,,"
Bhari Oil Store,"Milan Chowk, Bhairahawa","540475,,"
Bheri Oil Store,"Bilaspur,","520439,,"
Bidhabasini Oil Store,"Murli,","522327,,"
Bidien Oil Industry,"Naya Bazar,","520383520283,,"
Bishowash Oil Distributors,"Malepatan,","523788,,"
Bolbom Oil Stores,unknown,"023-540087,,"
Brihaspati Oil Store,"Naya Bazar,","520648,,"
Butwal Diesel Centre,"Ward 8, Bhairahawa","540076,,"
Chandeshwor Oil Store,unknown,"661391,,"
Chandra Surya Oil Distributors,"Nawalpur,","520430,,"
Chhabdi Barahi Oil Distributors,"Dumre Bazar, Tanahu","065-580009,,"
Churiya Oil Stores,"Chowki Tole,","520341,,"
Dhanusa Oil Stores,"Mills Area,","520611,,"
Dhital Oil Traders,unknown,"525828,,"
Dhulikhel Stores,unknown,"490258,,"
Dilip Trade Center,unknown,"580591580187581517,,"
Dra Brothers P. Ltd.,"Pulchowk,","520221,,"
Durga Oil Supplier,"Buddha Chowk, Bhairahawa","521743524092,,"
Durga Diesel Supplier,"Buddha Chowk, Bhairahawa","521743,,"
Ganapati Fuel Center,unknown,"533655,,"
