Name,Address,Telephone
Adventure White Mountain Pvt.Ltd,"Thamel ,","+977144111982,+9779851154520,"
Buddha Air Pvt. Ltd,"jawalakhel, lalitpur,","5521015,,"
Vehicle Consult Pvt. Ltd.,"Biratnagar, Pipal Chowk,","9851166880,9851166880,"
Air Transport Support Centre,"Sinamangal,","00977-1-4472998,,"
Nepal Airlines Corporation,"Doms. Airport,","00977-1-4470668,,"
Tribhuvan International Airport,"General Manager,","00977-1-4477161,,"
Tribhuvan International Airport,"Press Room,","00977-1-4472298,,"
Airport Branch Offices,"Dang, Dang","082-520024,,"
Airport Branch Offices,"Dhangadi, Kailali","091-521219,,"
Airport Branch Offices,"Doti, Doti","094-420111,,"
Airport Branch Offices,"Jhapa, Jhapa","023-520075,,"
Airport Branch Offices,unknown,"099-521956,,"
Airport Branch Offices,"Simara, Bara","053-520110,,"
Airport Branch Offices,"Surkhet, Surkhet","083-520202,,"
Airport Branch Offices,"Bhairahawa, Bhairahawa","520110,,"
Airport Branch Offices,"Airport Project,","520571,,"
AIRPORT OUT OF VALLEY,"Biratnagar,","461641,,"
Branch Offices,unknown,"520044,,"
Nepal Airlines Corporation,"Tower,","00977-1-4477160,,"
Nepal Airlines Corporation,"Turminal Duty Office,","00977-1-4477163,,"
Tribhuvan International Airport,"Airport Security Guard Office,","00977-1-4495751,,"
Tribhuvan International Airport,"Airport Terminal Duty Service,","00977-1-4477163,,"
Tribhuvan International Airport,"Civil Maintenance,","00977-1-4475272,,"
Tribhuvan International Airport,"Deputy Aerodrome Officer,","00977-1-4477163,,"
Tribhuvan International Airport,"Domestic,","00977-1-4470668,,"
Tribhuvan International Airport,"Exchange Enquiry,","00977-1-4471933,,"
Tribhuvan International Airport,"Fire Service,","00977-1-4470275,,"
Tribhuvan International Airport,"Int'l Enquiry,","00977-1-44703114473779,,"
Tribhuvan International Airport,"New Terminal Building-VIP Room,","00977-1-44859734477163,,"
Tribhuvan International Airport,"Sinamangal,","00977-1-44719334728344472835,,"
Tribhuvan International Airport,"VVIP Lounge,","00977-1-4473320,,"
Tribhuwan International Airport,"Airport,","00977-1-44719334472256,,"
