Name,Address,Telephone
Neon Institute of Gaming & Hospitality Pvt. Ltd.,"ANAMNAGAR, GHATTEKULO MARGA, KATHMANDU,","+977-144770477,,"
Casino Rad,"Lazimpat,","+977-1-4411818,980-3034488,"
Alternative Technology,"Kupondole,","545015,,"
Casino Nepal,"Tahachal,","00977-1-4280588,,"
Casino Shangri-La,"Lazimpat, P.O. Box: 655, Ktm,","00977-1-4439727 (12 Lines),,"
Nepal Recreation Centre Pvt. Ltd.,"Tahachal, P.O. Box: 2063, Ktm,","00977-1-42728924285631,,"
Casino Anna,"Durbar Marg,","00977-1-4228650,,"
Casino Everest,"New Baneshwor,","00977-1-4780925,,"
Casino Royale,"Durbar Marg,","00977-1-4438619,,"
Casino Tara,"Hyatt Regency,","00977-1-4482517,,"
CASINO ANNA HOTEL DE L,"Durbarmarg,","42286504227812,,"
CASINO ROYAL HOTEL YAK AND YETI,unknown,"44345074228481,,"
Namobuddha Tibetan Thangka Industry,"P.O.Box # 66,","610931614392,,"
CASINO ROYAL,"Durbarmarg,","4438619,,"
Casino Venus,"Lainchaur,","00977-1-44329104442035,,"
