Name,Address,Telephone
Outshine Adventure Pvt.Ltd,"Thamel, pakanajol,","(+977)014701444,9801026351,"
Nepal Tours,"Lazimpat Road, Kathmandu, Nepal,","+97714002108+97715554471,9851090345,"
Archaic Nepal Adventure,"Paknajol Street, Ext. Thamel,","+977-1-4364083,,"
High Himalayan Trekking and Expedition,"Bhagawanbahal Marga,Thamel,","+977 1 4415120,+977 98 51031394,"
Volunteer and Internship Foundation Nepal,"Banasthali kathmandu,","+977-9843290700,,"
Etrip Nepal (p). Ltd.,"Gairidhara, Naxal, Katmandu, Nepal,","014419437,9851182434,"
PREMIER TOURS AND TRAVELS,"NAGPOKHARI NEAR JAI NEPAL HALL,","+977-01-444335801-4437919,9849078549,"
Snepal Tours & Travel Pvt. Ltd.,"Thamel,","00977-1-4260072,+919873014569,"
Everest Expeditions Nepal Pvt. Ltd.,"Budanilkantha-12, Kathmandu, Nepal, Kapan-1,","014820243,9841704019,"
Nepal Glacier Treks and Expedition Pvt. Ltd.,"Amrit Marg, Thamel,","+977 1 4253208,9851026859,"
The Nepal Trekking Company (p).Ltd,"Yapikhya Marga,Thamel Kathmandu Nepal,","014 219082,+977 9841812218,"
Budget Adventure Treks & Expedition,"J.P. Road, Chhetrapati, Thamel, Kathmandu,","00977-1-4262169,00977 - 9841326314 (24 hours),"
"Professional freelancer trek/tour guide in Pokhara, Nepal","Lakeside-6,Pokhara, Nepal,","009779846058846,009779846058846,"
Himalaya Trip Pvt. Ltd.,"Bagwan Bahal Marg,Thamel ,Kathmandu,Nepal,","977-1-4429434,9851196388,"
ENepal Trekking,"Thamel, Kathmandu, Nepal.,","014701051,9851017772,"
Friendship World Treks,"Budanilkantha-12, Kathmandu, Nepal,","+97714820951,+97714820951,"
Outfitter Nepal Treks & Expedition P. Ltd.,"P.O.Box: 19058, Thamel, Kathmandu, Nepal,","0097714443103,009779851137380,"
Peregrine Treks and Expedition Pvt Ltd,"Nayabazar, Kathmandu, Nepal,","+97714700033+9779851052413,9851052413,"
Himalaya Darshan Treks Pvt. Ltd,"Kathmandu 44600, Nepal,","977-1-4823747,977-9841073239,"
Nepal Mountain Hub Treks & Expedition Pvt. Ltd.,"Amrit Marg Kathmandu 44600,","0097714425830,009779843721720,"
The Nepal Trekking Company (p).Ltd,"Yapikhya Marga,Thamel Kathmandu Nepal,","014 219082,+977 9841812218,"
THe Nepal Trekking Company,"Chhetrapati Chowk, Thamel Kathmandu Nepal,","+977 014 219082,+977 9841812218/ 9810107286,"
Nepal Footprint Holiday P. Ltd.,"Chaksibari Marga 16 - Thamel, Kathmandu,","0097714701091,009779841459861,"
Nepal Holiday Trek and Expedition,"Thamel, kathmandu,","+97714414328,+9779851003754,"
Himalayan Eco Trek & Tours,"Tridevi Marg,","+97714266382,+9779803478328,"
Himal Eco Treks Pvt. Ltd.,"Dhalku , kathmandu,","+977 01 4250061,9843253637,"
Rara Treks Tours and Travels P.Ltd,"Thamel, chhetrapati, Kathmandu, Nepal ,","+97714221650,9851177054,"
The Nepal Trekking Company (p).Ltd,"Thamel Chhetrapati 16,Kathmandu Nepal,","014 219082,+977 9841812218,"
Ace Holidays Travel & Adventure,"Bhagawatibahal, Thamel,","+9779806848760,+9779806848760,"
Adventure White Himalaya Treks,"Thamel Marg,","+9779851036498,,"
Plan Nepal Travels & Tours (P) Ltd.,"Thamel, Bhagati bahal.,","+977-1-442232544223264435300,+977-98510 936829801044333,"
Adventure Mountain Treks and Expedition Pvt. Ltd,"Nayabazar-16,","9841720005,9841720005,"
Trekking Trail Nepal,"Thamel 26 ,","014411662,9818008337,"
Tushita International Travel & Tours Pvt. Ltd.,"Lazimpat, Kathmandu,","00977 1 4002025,00977 9851101339,"
Himkala Adventure,"Lekhnath Marga - 28,","+9779841376470,+9779841376470,"
Sineru Serviced Apartments,"Tokha Road, Dhapasi,","01-5125023,+977-9801098946,"
eTripNepal.com (eTripNepal Travels),"Maharajgunj,","97714721139,977147211399779841899588,"
Real Adventure Nepal,"Thamel,","44 44 618,9801035699,"
Treks Himalaya,"P.O.Box: 23044, Thamel, Kathmandu, Nepal,","9841433205,9841433205,"
Mountain Movers Pvt. Ltd.,"Narsinghchowk, Thamel,","014264759,9818370840,"
Treks Himalaya Pvt. Ltd.,"Thamel, Kathmandu, Nepal,","0097714700422,0097714700422,"
Hike Himalaya Treks & Expeditions Pvt. Ltd.,"Gokarneshwor-15,Kathmandu,Nepal,","+97714916076,9813209399,"
Mountain Fuji Adventure Pvt. Ltd,"G.P.O. Box# 8974, CPC 167, Tridevimarg, Thamel, Kathmandu, Nepal,","977 1 4438118,977 9851018068977 9851050313977 9851057312,"
Shin Haru Treks and Expedition (P) Ltd,"Chaksibari Marga, J. P Road, Thamel-29, Kathmandu,","+977-1-42613334257266,98510419549841541573,"
Plan Nepal Travels & Tours (P) Ltd.,"Thamel, Ktm, Nepal,","00977 -1- 443530044223254422326,+977- 9801093862,"
Shakti Treks and Expedition Nepal,"Lazimpat ,","0097714428552,009779851026424,"
Mount 8850,"Thamel, Kathmandu,","0977 9843746611,,"
Nepal Gateway Trekking Pvt.Ltd,"Thamel,","977-1-4412103,+977-985105520 (Ram)+977-9841986923(Raj),"
Mountain Climb,"Chakrapath, Kathmandu,","unknown,9813876393,"
Skyline Treks & Expedition (P) Ltd.,"14221, Kathmandu Nepal,","0097714212737,009779851065082,"
Kundalini Travel Nepal Pvt. Ltd.,"Sundhara,","00977-1-42531284254398,00977-9851102129,"
The Nepal Trekking Company,"Yapikhya Marga, Chhetrapati Kathmandu Nepal,","977 014 219082,977 9810107287,"
